Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,rater_position,response_ratings
4,1658857860675,26/07/2022 17:51:00,6842664,3,1,Somewhat Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,2,For,It is important to receive the vaccine to protect your health and the health of others.,Hesitant,5
5,1658857865595,26/07/2022 17:51:05,6842664,3,2,Strongly Disagree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",3,For,Protects others around you from catching the virus?,Hesitant,1
6,1658857869171,26/07/2022 17:51:09,6842664,3,3,Strongly Disagree,statements,1,Most days,Most months,32,Female,A levels,2,For,there are a load of people receiving the vaccine it's safe.,Hesitant,1
7,1658857872884,26/07/2022 17:51:12,6842664,3,4,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,2,Against,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,Hesitant,7
8,1658857875748,26/07/2022 17:51:15,6842664,3,5,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,3,Against,It will have serious consequences on peoples health.,Hesitant,7
9,1658857884972,26/07/2022 17:51:24,6842664,3,6,Neither Agree nor Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,3,Against,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Hesitant,4
10,1658857887682,26/07/2022 17:51:27,6842664,3,7,Strongly Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,3,Against,The vaccine was man made,Hesitant,7
11,1658857892087,26/07/2022 17:51:32,6842664,3,8,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,1,Against,The vaccine is not safe to receive.,Hesitant,7
12,1658857893660,26/07/2022 17:51:33,6842664,3,9,Strongly Disagree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,3,For,It protects everyone,Hesitant,1
13,1658857896739,26/07/2022 17:51:36,6842664,3,10,Strongly Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,1,For,The more people who get vaccinated the sooner the restrictions will be lifted.,Hesitant,1
14,1658857902553,26/07/2022 17:51:42,6842664,3,11,Strongly Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,2,Against,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Hesitant,7
15,1658857904992,26/07/2022 17:51:44,6842664,3,12,Strongly Disagree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,1,For,Its the only way to stop the spread of the virus,Hesitant,1
16,1658857907592,26/07/2022 17:51:47,6842664,3,13,Strongly Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,1,Against,It hasnt been tested for long enough,Hesitant,7
18,1658857917847,26/07/2022 17:51:57,6842664,3,15,Strongly Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,1,For,To protect me from becoming seriously ill if I caught Covid,Hesitant,1
19,1658857922083,26/07/2022 17:52:02,6842664,3,16,Somewhat Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,3,Against,Im unsure of the long term affects,Hesitant,5
20,1658857924863,26/07/2022 17:52:04,6842664,3,17,Strongly Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",3,For,the long term benefits outweigh the temporary side-effects,Hesitant,1
