Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,rater_position,response_ratings
3,1651663770931,04/05/2022 11:29:30,6404832,4,1,Strongly Agree,statements,48,Rarely,Rarely,28,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Remain,To trade easily with other EU counties.,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,7
4,1651663778220,04/05/2022 11:29:38,6404832,4,2,Somewhat Agree,statements,43,Rarely,A few times a year,28,Male,"Undergraduate degree (BSc, BA)",1,Leave,immigration control- being part of EU has made the country over crowded,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,5
5,1651663780642,04/05/2022 11:29:40,6404832,4,3,Somewhat Agree,statements,43,Rarely,A few times a year,28,Male,"Undergraduate degree (BSc, BA)",2,Remain,There is good access to the markets within the EU,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,5
6,1651663783345,04/05/2022 11:29:43,6404832,4,4,Somewhat Agree,statements,44,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",3,Leave,To help control our own economy and create more job opportunites for our people,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,5
7,1651663786517,04/05/2022 11:29:46,6404832,4,5,Strongly Agree,statements,41,Never,Never,26,Female,Vocational Training / Apprenticeship,2,Leave,To work on Britain and focus on our country,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,7
8,1651663789127,04/05/2022 11:29:49,6404832,4,6,Neither Agree nor Disagree,statements,46,Rarely,Never,65,Female,"Undergraduate degree (BSc, BA)",3,Remain,No freedom of movement,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,LEAVE,4
9,1651663790954,04/05/2022 11:29:50,6404832,4,7,Somewhat Agree,statements,45,Never,Rarely,35,Female,"Undergraduate degree (BSc, BA)",3,Leave,Less immigration or controlled immigration,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,5
10,1651663794843,04/05/2022 11:29:54,6404832,4,8,Neither Agree nor Disagree,statements,49,Rarely,Rarely,22,Female,A levels,2,Remain,Could be easier for the country to get food/goods,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,LEAVE,4
11,1651663798847,04/05/2022 11:29:58,6404832,4,9,Strongly Agree,statements,42,Rarely,Most months,59,Male,GCSEs,1,Leave,Our own laws which had been eroded,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,LEAVE,7
12,1651663801268,04/05/2022 11:30:01,6404832,4,10,Strongly Agree,statements,41,Never,Never,26,Female,Vocational Training / Apprenticeship,3,Leave,'-To have more control of our laws and regulations and the security of Britain,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,LEAVE,7
