Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,rater_position,response_ratings
3,1647021842059,11/03/2022 18:04:02,6024356,2,1,Strongly Disagree,statements,50,A few times a year,A few times a year,19,Male,No formal qualifications,1,Against,I just like the taste of meat and portray it as unsubstitutable,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,1
4,1647021848866,11/03/2022 18:04:08,6024356,2,2,Disagree,statements,44,Once or twice a year,Rarely,22,Female,"Undergraduate degree (BSc, BA)",1,Against,you will become protein and b12 deficient,Somewhat Agree,NA,Disagree,Somewhat Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,2
5,1647021853507,11/03/2022 18:04:13,6024356,2,3,Disagree,statements,50,A few times a year,A few times a year,19,Male,No formal qualifications,2,Against,I think meat is a very fundamental product in human diet,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,2
6,1647021855654,11/03/2022 18:04:15,6024356,2,4,Strongly Disagree,statements,44,Once or twice a year,Rarely,22,Female,"Undergraduate degree (BSc, BA)",2,For,"have more energy, to slim down",Somewhat Agree,NA,Disagree,Somewhat Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
7,1647021859176,11/03/2022 18:04:19,6024356,2,5,Strongly Agree,statements,50,A few times a year,A few times a year,19,Male,No formal qualifications,1,For,One does not want to support hurting animals,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,7
8,1647021863340,11/03/2022 18:04:23,6024356,2,6,Disagree,statements,50,A few times a year,A few times a year,19,Male,No formal qualifications,3,Against,I do not see any benefits from going vegan/vegetarian,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,2
9,1647021866674,11/03/2022 18:04:26,6024356,2,7,Agree,statements,47,Rarely,Rarely,NA,Female,No formal qualifications,1,For,I'm free to choose my type of food,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,6
10,1647021870477,11/03/2022 18:04:30,6024356,2,8,Agree,statements,46,Most months,Most months,21,Male,A levels,3,For,It makes you feel better mentally,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,6
11,1647021886517,11/03/2022 18:04:46,6024356,2,9,Somewhat Agree,statements,42,Rarely,Once or twice a year,21,Male,"Undergraduate degree (BSc, BA)",3,Against,Animal cruelty is being looked after so it doesn't happen that often on farms.,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Vegan,5
12,1647021890322,11/03/2022 18:04:50,6024356,2,10,Strongly Agree,statements,44,Once or twice a year,Rarely,22,Female,"Undergraduate degree (BSc, BA)",3,Against,"veganism is an ethical ideology, not a diet",Somewhat Agree,NA,Disagree,Somewhat Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,7
13,1647021894107,11/03/2022 18:04:54,6024356,2,11,Disagree,statements,41,Rarely,Once or twice a year,24,Female,"Undergraduate degree (BSc, BA)",1,For,It reduces the consumption of water,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,2
14,1647021896184,11/03/2022 18:04:56,6024356,2,12,Agree,statements,41,Rarely,Once or twice a year,24,Female,"Undergraduate degree (BSc, BA)",2,For,Don't kill more inocent animals,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,6
15,1647021900160,11/03/2022 18:05:00,6024356,2,13,Strongly Agree,statements,45,Most weeks,Most months,22,Male,"Postgraduate degree (MSc, MA, MPhil)",3,For,"We humans, are given the choice to live in harmony or to harm nature, I choose the first",Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,7
16,1647021906809,11/03/2022 18:05:06,6024356,2,14,Neither Agree nor Disagree,statements,45,Most weeks,Most months,22,Male,"Postgraduate degree (MSc, MA, MPhil)",3,Against,"I know that if I stop eating meat, I'll experience health issues.",Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,4
17,1647021909854,11/03/2022 18:05:09,6024356,2,15,Strongly Agree,statements,47,Rarely,Rarely,NA,Female,No formal qualifications,2,Against,We shouldn't find it strange who's vegan,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,7
18,1647021913820,11/03/2022 18:05:13,6024356,2,16,Neither Agree nor Disagree,statements,45,Most weeks,Most months,22,Male,"Postgraduate degree (MSc, MA, MPhil)",1,Against,"I like meat, I won't stop eating it just because people tell me to.",Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,4
19,1647021918219,11/03/2022 18:05:18,6024356,2,17,Strongly Disagree,statements,43,Rarely,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",3,Against,"I believe that only pets (cats,dogs...) should be considered equal to humans.",Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
20,1647021921256,11/03/2022 18:05:21,6024356,2,18,Strongly Agree,statements,47,Rarely,Rarely,NA,Female,No formal qualifications,1,Against,"Being vegan is a choice, and we are free to choose it or not",Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,7
