Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,rater_position,response_ratings,position_conf,position_conf_num
3,1659960000000,08/08/2022 11:05,6893760,2,1,Neither Agree nor Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,2,For,"A member of my family can catch anything really easily , so I want to do this to help keep them safe",Hesitant,4,NA,NA
4,1659960000000,08/08/2022 11:05,6893760,2,2,Strongly Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",3,For,Doctors are trying to help,Hesitant,7,NA,NA
5,1659960000000,08/08/2022 11:05,6893760,2,3,Somewhat Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",3,Against,There are too many on the market at the moment,Hesitant,5,NA,NA
7,1659960000000,08/08/2022 11:05,6893760,2,5,Strongly Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",1,For,Reduced risk of getting COVID.,Hesitant,1,NA,NA
8,1659960000000,08/08/2022 11:05,6893760,2,6,Disagree,statements,8,Most months,Most months,20,Male,A levels,2,For,To protect others by giving herd immunity.,Hesitant,2,NA,NA
9,1659960000000,08/08/2022 11:05,6893760,2,7,Strongly Disagree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",2,Against,The government is trying to control us through this vaccine,Hesitant,1,NA,NA
10,1659960000000,08/08/2022 11:05,6893760,2,8,Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,1,For,I am scared and if this vaccine will help then I'll do it,Hesitant,2,NA,NA
11,1659960000000,08/08/2022 11:05,6893760,2,9,Neither Agree nor Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",2,For,I am aware of the risks and complications of contracting xovid 19 and wish to protect myself and others,Hesitant,4,NA,NA
12,1659960000000,08/08/2022 11:05,6893760,2,10,Strongly Disagree,statements,8,Most months,Most months,20,Male,A levels,1,Against,The government is trying to microchip me,Hesitant,1,NA,NA
13,1659960000000,08/08/2022 11:05,6893760,2,11,Somewhat Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,3,Against,I am scared and I don't believe that the Vaccine will help me,Hesitant,3,NA,NA
14,1659960000000,08/08/2022 11:05,6893760,2,12,Strongly Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",2,For,It will help to protect the most vulnerable groups in our society.,Hesitant,1,NA,NA
15,1659960000000,08/08/2022 11:05,6893760,2,13,Neither Agree nor Disagree,statements,8,Most months,Most months,20,Male,A levels,1,For,To gain immunity against COVID 19.,Hesitant,4,NA,NA
16,1659960000000,08/08/2022 11:05,6893760,2,14,Strongly Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",2,Against,Concerns about the truthfulness of the pandemic and the true motivations behind mass vaccination.,Hesitant,1,NA,NA
17,1659960000000,08/08/2022 11:06,6893760,2,15,Strongly Agree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,For,"Vaccines are important, they help us all live safely and healthily",Hesitant,7,NA,NA
18,1659960000000,08/08/2022 11:06,6893760,2,16,Neither Agree nor Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,3,For,Alot of people have died from getting Covid and I want to keep my self safe and I trust it,Hesitant,4,NA,NA
19,1659960000000,08/08/2022 11:07,6893760,2,17,Neither Agree nor Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",3,For,The risk of dying from covid reduces with a vaccine.,Hesitant,4,NA,NA
20,1659960000000,08/08/2022 11:07,6893760,2,18,Strongly Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",2,Against,I don't want any of the side effects on me or my family,Hesitant,7,NA,NA
21,1659960000000,08/08/2022 11:07,6893760,2,19,Neither Agree nor Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",2,Against,The vaccines are not safe enough yet,Hesitant,4,NA,NA
22,1659960000000,08/08/2022 11:07,6893760,2,20,Neither Agree nor Disagree,statements,8,Most months,Most months,20,Male,A levels,3,For,To help end the negative social impact of the virus such as lockdowns and online education,Hesitant,4,NA,NA
23,1659960000000,08/08/2022 11:07,6893760,2,21,Strongly Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",1,Against,The covid 19 vaccines are a conspiracy,Hesitant,1,NA,NA
24,1659960000000,08/08/2022 11:07,6893760,2,22,Strongly Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,For,It's one of the only ways we will return to normal life,Hesitant,1,NA,NA
25,1659960000000,08/08/2022 11:07,6893760,2,23,Neither Agree nor Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,2,Against,Future side effects are unknown,Hesitant,4,NA,NA
26,1659960000000,08/08/2022 11:07,6893760,2,24,Strongly Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",2,For,Reduced risk of passing on COVID.,Hesitant,1,NA,NA
27,1659960000000,08/08/2022 11:07,6893760,2,25,Neither Agree nor Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,2,Against,Someone has told me there experience is bad which has now put me of the idear,Hesitant,4,NA,NA
28,1659960000000,08/08/2022 11:07,6893760,2,26,Somewhat Agree,statements,3,Rarely,A few times a year,55,Female,A levels,1,Against,Hasn't been tested for long enough,Hesitant,5,NA,NA
29,1659960000000,08/08/2022 11:07,6893760,2,27,Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,1,For,I want to have it for my own and my familyâs protection,Hesitant,2,NA,NA
30,1659960000000,08/08/2022 11:07,6893760,2,28,Somewhat Agree,statements,3,Rarely,A few times a year,55,Female,A levels,3,For,I want to help in defeating this virus,Hesitant,5,NA,NA
31,1659960000000,08/08/2022 11:08,6893760,2,29,Somewhat Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",2,Against,"The outcomes of the virus are not significant for that person, therefore the risk of the vaccine is greater than the risk of covid 19 side effects",Hesitant,3,NA,NA
32,1659960000000,08/08/2022 11:08,6893760,2,30,Neither Agree nor Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",2,For,The vaccines are safe enough to use,Hesitant,4,NA,NA
33,1659960000000,08/08/2022 11:08,6893760,2,31,Strongly Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",1,For,It is the only way we can effectively eliminate the virus from the world.,Hesitant,1,NA,NA
34,1659960000000,08/08/2022 11:08,6893760,2,32,Neither Agree nor Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",3,Against,The risks of side effects to su h as blood clots with vaccines are too high.,Hesitant,4,NA,NA
35,1659960000000,08/08/2022 11:08,6893760,2,33,Neither Agree nor Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",3,For,More vaccinations will hopefully mean less admissions and deaths and less pressure on the nhs,Hesitant,4,NA,NA
36,1659960000000,08/08/2022 11:08,6893760,2,34,Strongly Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",2,For,Many people have got it and have survived,Hesitant,7,NA,NA
37,1659960000000,08/08/2022 11:08,6893760,2,35,Somewhat Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",1,For,They wish for life to return to normal and the best way to achieve this is maximum uptake,Hesitant,3,NA,NA
38,1659960000000,08/08/2022 11:08,6893760,2,36,Somewhat Agree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",1,Against,They believe we have not had enough time to develop an effective vaccine.,Hesitant,5,NA,NA
39,1659960000000,08/08/2022 11:08,6893760,2,37,Strongly Agree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,Against,I believe that the vaccine is ineffective or rushed,Hesitant,7,NA,NA
40,1659960000000,08/08/2022 11:08,6893760,2,38,Agree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,For,It's important to protect the people you love who are a higher risk than you,Hesitant,6,NA,NA
41,1659960000000,08/08/2022 11:08,6893760,2,39,Disagree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",1,For,It's the right thing to do to protect everyone else,Hesitant,2,NA,NA
42,1659960000000,08/08/2022 11:08,6893760,2,40,Strongly Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",3,For,Being vaccinated is reassuring,Hesitant,1,NA,NA
43,1659960000000,08/08/2022 11:09,6893760,2,41,Neither Agree nor Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",1,Against,Do not want to be used as a government experiment - there has not been enough testing and the safety is not known.,Hesitant,4,NA,NA
44,1659960000000,08/08/2022 11:09,6893760,2,42,Strongly Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",3,Against,I'm a healthy young adult and I'd rather they give my dose to someone else who is more vulnerable,Hesitant,7,NA,NA
45,1659960000000,08/08/2022 11:09,6893760,2,43,Neither Agree nor Disagree,statements,8,Most months,Most months,20,Male,A levels,3,Against,I'm young and healthy so why should I get vaccinated?,Hesitant,4,NA,NA
46,1659960000000,08/08/2022 11:09,6893760,2,44,Neither Agree nor Disagree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",1,For,It's been tried and tested and has been approved by many doctors around the world,Hesitant,4,NA,NA
47,1659960000000,08/08/2022 11:09,6893760,2,45,Strongly Disagree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",3,For,I want to reduce the risk of myself catching the virus at work,Hesitant,1,NA,NA
48,1659960000000,08/08/2022 11:09,6893760,2,46,Somewhat Agree,statements,8,Most months,Most months,20,Male,A levels,2,Against,there are negative side effects,Hesitant,5,NA,NA
49,1659960000000,08/08/2022 11:09,6893760,2,47,Neither Agree nor Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,2,For,I want to help society,Hesitant,4,NA,NA
50,1659960000000,08/08/2022 11:09,6893760,2,48,Strongly Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,Against,I am one of those idiots who thinks I will become magnetic or have trackers in me,Hesitant,1,NA,NA
51,1659960000000,08/08/2022 11:09,6893760,2,49,Neither Agree nor Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,1,Against,They have herd there could be side effects,Hesitant,4,NA,NA
53,1659960000000,08/08/2022 11:09,6893760,2,51,Strongly Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,Against,I think that the vaccine is fake,Hesitant,1,NA,NA
54,1659960000000,08/08/2022 11:09,6893760,2,52,Somewhat Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",3,Against,They are unsafe and can cause long-term effects.,Hesitant,3,NA,NA
55,1659960000000,08/08/2022 11:09,6893760,2,53,Strongly Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",3,Against,Concerns about fertility and the population control conspiracy.,Hesitant,1,NA,NA
56,1659960000000,08/08/2022 11:09,6893760,2,54,Somewhat Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",1,Against,It's not qualified or tested enough,Hesitant,5,NA,NA
57,1659960000000,08/08/2022 11:10,6893760,2,55,Neither Agree nor Disagree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",2,For,I want to protect my family and be able to see them again,Hesitant,4,NA,NA
58,1659960000000,08/08/2022 11:10,6893760,2,56,Strongly Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,3,Against,Unless everyone has it then what is the point,Hesitant,1,NA,NA
59,1659960000000,08/08/2022 11:10,6893760,2,57,Strongly Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",2,Against,The vaccines contain trackers that allow the government to control us.,Hesitant,1,NA,NA
60,1659960000000,08/08/2022 11:10,6893760,2,58,Somewhat Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",1,Against,"It was developed too quickly, I think they should have taken more time on it",Hesitant,5,NA,NA
61,1659960000000,08/08/2022 11:10,6893760,2,59,Somewhat Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",3,For,Less restrictions on behaviour due to immunity.,Hesitant,3,NA,NA
62,1659960000000,08/08/2022 11:10,6893760,2,60,Agree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",3,Against,The vaccines don't work and will not be affective,Hesitant,6,NA,NA
63,1659960000000,08/08/2022 11:10,6893760,2,61,Strongly Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",1,For,It's essential to be vaccinated to regain normality.,Hesitant,1,NA,NA
64,1659960000000,08/08/2022 11:10,6893760,2,62,Somewhat Agree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",1,Against,"Concerns about dangerous side effects, such as blood clots and neurological damage.",Hesitant,5,NA,NA
3,1659960000000,08/08/2022 11:05,6893770,2,1,Strongly Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",2,For,Reduced risk of passing on COVID.,Hesitant,1,NA,NA
4,1659960000000,08/08/2022 11:05,6893770,2,2,Strongly Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",2,For,Many people have got it and have survived,Hesitant,7,NA,NA
5,1659960000000,08/08/2022 11:05,6893770,2,3,Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",3,For,More vaccinations will hopefully mean less admissions and deaths and less pressure on the nhs,Hesitant,2,NA,NA
6,1659960000000,08/08/2022 11:05,6893770,2,4,Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,3,Against,I am scared and I don't believe that the Vaccine will help me,Hesitant,2,NA,NA
7,1659960000000,08/08/2022 11:05,6893770,2,5,Disagree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",3,For,I want to reduce the risk of myself catching the virus at work,Hesitant,2,NA,NA
8,1659960000000,08/08/2022 11:05,6893770,2,6,Strongly Agree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,Against,I believe that the vaccine is ineffective or rushed,Hesitant,7,NA,NA
9,1659960000000,08/08/2022 11:05,6893770,2,7,Neither Agree nor Disagree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",1,For,It's the right thing to do to protect everyone else,Hesitant,4,NA,NA
10,1659960000000,08/08/2022 11:05,6893770,2,8,Somewhat Agree,statements,6,Rarely,Most days,34,Male,GCSEs,1,Against,They have herd there could be side effects,Hesitant,5,NA,NA
11,1659960000000,08/08/2022 11:05,6893770,2,9,Agree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",2,Against,The vaccines are not safe enough yet,Hesitant,6,NA,NA
12,1659960000000,08/08/2022 11:06,6893770,2,10,Strongly Agree,statements,8,Most months,Most months,20,Male,A levels,2,Against,there are negative side effects,Hesitant,7,NA,NA
13,1659960000000,08/08/2022 11:06,6893770,2,11,Strongly Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,For,It's one of the only ways we will return to normal life,Hesitant,1,NA,NA
14,1659960000000,08/08/2022 11:06,6893770,2,12,Agree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",1,Against,Do not want to be used as a government experiment - there has not been enough testing and the safety is not known.,Hesitant,6,NA,NA
15,1659960000000,08/08/2022 11:06,6893770,2,13,Agree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",1,Against,"Concerns about dangerous side effects, such as blood clots and neurological damage.",Hesitant,6,NA,NA
16,1659960000000,08/08/2022 11:06,6893770,2,14,Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",3,Against,I'm a healthy young adult and I'd rather they give my dose to someone else who is more vulnerable,Hesitant,6,NA,NA
17,1659960000000,08/08/2022 11:06,6893770,2,15,Strongly Agree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",3,Against,The vaccines don't work and will not be affective,Hesitant,7,NA,NA
18,1659960000000,08/08/2022 11:06,6893770,2,16,Strongly Agree,statements,1,Rarely,A few times a year,26,Female,"Undergraduate degree (BSc, BA)",2,Against,I don't want any of the side effects on me or my family,Hesitant,7,NA,NA
19,1659960000000,08/08/2022 11:06,6893770,2,17,Strongly Agree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",2,Against,"The outcomes of the virus are not significant for that person, therefore the risk of the vaccine is greater than the risk of covid 19 side effects",Hesitant,7,NA,NA
20,1659960000000,08/08/2022 11:06,6893770,2,18,Neither Agree nor Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,2,Against,Someone has told me there experience is bad which has now put me of the idear,Hesitant,4,NA,NA
21,1659960000000,08/08/2022 11:06,6893770,2,19,Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,3,For,Alot of people have died from getting Covid and I want to keep my self safe and I trust it,Hesitant,2,NA,NA
22,1659960000000,08/08/2022 11:06,6893770,2,20,Somewhat Disagree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",3,For,Less restrictions on behaviour due to immunity.,Hesitant,3,NA,NA
23,1659960000000,08/08/2022 11:06,6893770,2,21,Agree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",3,Against,Concerns about fertility and the population control conspiracy.,Hesitant,6,NA,NA
24,1659960000000,08/08/2022 11:06,6893770,2,22,Strongly Disagree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",2,For,I am aware of the risks and complications of contracting xovid 19 and wish to protect myself and others,Hesitant,1,NA,NA
25,1659960000000,08/08/2022 11:06,6893770,2,23,Somewhat Agree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",2,Against,The government is trying to control us through this vaccine,Hesitant,5,NA,NA
26,1659960000000,08/08/2022 11:06,6893770,2,24,Disagree,statements,2,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,For,It's important to protect the people you love who are a higher risk than you,Hesitant,2,NA,NA
27,1659960000000,08/08/2022 11:07,6893770,2,25,Strongly Disagree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",1,For,It's been tried and tested and has been approved by many doctors around the world,Hesitant,1,NA,NA
28,1659960000000,08/08/2022 11:07,6893770,2,26,Strongly Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",3,For,The risk of dying from covid reduces with a vaccine.,Hesitant,1,NA,NA
29,1659960000000,08/08/2022 11:07,6893770,2,27,Strongly Disagree,statements,9,Rarely,Most days,38,Male,"GCSEs,Vocational Training / Apprenticeship",3,For,Being vaccinated is reassuring,Hesitant,1,NA,NA
30,1659960000000,08/08/2022 11:07,6893770,2,28,Strongly Disagree,statements,6,Rarely,Most days,34,Male,GCSEs,2,For,"A member of my family can catch anything really easily , so I want to do this to help keep them safe",Hesitant,1,NA,NA
31,1659960000000,08/08/2022 11:07,6893770,2,29,Somewhat Agree,statements,3,Rarely,A few times a year,55,Female,A levels,3,Against,Unless everyone has it then what is the point,Hesitant,5,NA,NA
32,1659960000000,08/08/2022 11:07,6893770,2,30,Somewhat Disagree,statements,8,Most months,Most months,20,Male,A levels,1,For,To gain immunity against COVID 19.,Hesitant,3,NA,NA
33,1659960000000,08/08/2022 11:07,6893770,2,31,Neither Agree nor Disagree,statements,4,Most months,Most months,20,Female,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",3,Against,There are too many on the market at the moment,Hesitant,4,NA,NA
34,1659960000000,08/08/2022 11:07,6893770,2,32,Somewhat Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,3,For,I want to help in defeating this virus,Hesitant,3,NA,NA
35,1659960000000,08/08/2022 11:07,6893770,2,33,Strongly Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",2,Against,The vaccines contain trackers that allow the government to control us.,Hesitant,1,NA,NA
36,1659960000000,08/08/2022 11:07,6893770,2,34,Strongly Agree,statements,10,Most months,Most weeks,35,Non-binary,"Postgraduate degree (MSc, MA, MPhil)",2,Against,Concerns about the truthfulness of the pandemic and the true motivations behind mass vaccination.,Hesitant,7,NA,NA
37,1659960000000,08/08/2022 11:07,6893770,2,35,Neither Agree nor Disagree,statements,3,Rarely,A few times a year,55,Female,A levels,2,For,I want to help society,Hesitant,4,NA,NA
38,1659960000000,08/08/2022 11:07,6893770,2,36,Somewhat Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",2,For,It will help to protect the most vulnerable groups in our society.,Hesitant,3,NA,NA
39,1659960000000,08/08/2022 11:07,6893770,2,37,Somewhat Agree,statements,5,Rarely,A few times a year,31,Female,"Undergraduate degree (BSc, BA)",3,Against,The risks of side effects to su h as blood clots with vaccines are too high.,Hesitant,5,NA,NA
40,1659960000000,08/08/2022 11:07,6893770,2,38,Strongly Disagree,statements,7,Once or twice a year,A few times a year,20,Female,"GCSEs,A levels",1,For,It is the only way we can effectively eliminate the virus from the world.,Hesitant,1,NA,NA
