Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658857851010,26/07/2022 17:50:51,1658857850820,1,26/07/2022 18:50:50,93981,5,task-an6x,NA,23317299,6842664,NA,complete,NA,62e0290f0c684fdd45ba3692,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,800x331,NA,ITT Ratings,3,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658857853551,26/07/2022 17:50:53,1658857853436,1,26/07/2022 18:50:53,93981,5,task-an6x,NA,23317299,6842664,NA,complete,NA,62e0290f0c684fdd45ba3692,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,800x331,NA,ITT Ratings,3,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658857860505,26/07/2022 17:51:00,1658857860294,1,26/07/2022 18:51:00,93981,5,task-an6x,NA,23317299,6842664,NA,complete,NA,62e0290f0c684fdd45ba3692,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,800x331,NA,ITT Ratings,3,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,1,1,1,Screen 1,advancementZone,continue_button,6825,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1658857860675,26/07/2022 17:51:00,1658857860547,1,26/07/2022 18:51:00,93981,5,task-an6x,NA,23317299,6842664,NA,complete,NA,62e0290f0c684fdd45ba3692,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,800x331,NA,ITT Ratings,3,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,26,1,1,Screen 1,continueButton,response_rating_scale_likert_active,235.9999999999991,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It is important to receive the vaccine to protect your health and the health of others.,1,17/05/2021 11:04,17/05/2021 11:12,483,Most days,Most weeks,31,Female,-99,GCSEs,4,2,Against,For
5,1658857865595,26/07/2022 17:51:05,1658857865495,1,26/07/2022 18:51:05,93981,5,task-an6x,NA,23317299,6842664,NA,complete,NA,62e0290f0c684fdd45ba3692,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,800x331,NA,ITT Ratings,3,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,15,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4932,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Protects others around you from catching the virus?,1,17/05/2021 10:56,17/05/2021 11:11,875,Most days,Most weeks,24,Female,-99,"Undergraduate degree (BSc, BA)",2,3,Against,For
6,1658857869171,26/07/2022 17:51:09,1658857869057,1,26/07/2022 18:51:09,93981,5,task-an6x,NA,23317299,6842664,NA,complete,NA,62e0290f0c684fdd45ba3692,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,800x331,NA,ITT Ratings,3,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,8,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3544,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,there are a load of people receiving the vaccine it's safe.,1,17/05/2021 10:58,17/05/2021 11:09,624,Most days,Most months,32,Female,-99,A levels,1,2,Against,For
7,1658857872884,26/07/2022 17:51:12,1658857872756,1,26/07/2022 18:51:12,93981,5,task-an6x,NA,23317299,6842664,NA,complete,NA,62e0290f0c684fdd45ba3692,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,800x331,NA,ITT Ratings,3,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,35,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3681.000000000002,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,1,17/05/2021 10:58,17/05/2021 11:12,875,Most weeks,Most days,32,Female,-99,A levels,6,2,Against,Against
8,1658857875748,26/07/2022 17:51:15,1658857875580,1,26/07/2022 18:51:15,93981,5,task-an6x,NA,23317299,6842664,NA,complete,NA,62e0290f0c684fdd45ba3692,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,800x331,NA,ITT Ratings,3,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,24,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2810,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It will have serious consequences on peoples health.,1,17/05/2021 11:04,17/05/2021 11:12,483,Most days,Most weeks,31,Female,-99,GCSEs,4,3,Against,Against
9,1658857884972,26/07/2022 17:51:24,1658857884742,1,26/07/2022 18:51:24,93981,5,task-an6x,NA,23317299,6842664,NA,complete,NA,62e0290f0c684fdd45ba3692,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,800x331,NA,ITT Ratings,3,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,30,6,1,Screen 1,continueButton,response_rating_scale_likert_active,9148,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,1,17/05/2021 10:35,17/05/2021 11:12,2227,A few times a year,A few times a year,32,Female,-99,A levels,5,3,Against,Against
10,1658857887682,26/07/2022 17:51:27,1658857887553,1,26/07/2022 18:51:27,93981,5,task-an6x,NA,23317299,6842664,NA,complete,NA,62e0290f0c684fdd45ba3692,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,414x896,800x331,NA,ITT Ratings,3,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,60,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2793.9999999999964,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine was man made,1,17/05/2021 11:06,17/05/2021 11:14,491,Once or twice a year,Most months,34,Male,-99,GCSEs,10,3,Against,Against
