Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
33,1658860000000,26/07/2022 17:44,1658860000000,1,26/07/2022 18:44,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,16,31,1,Screen 1,continueButton,response_rating_scale_likert_active,2023,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Bad experience with vaccines in the past.,1,17/05/2021 13:03,17/05/2021 13:12,530,Most months,Most months,31,Male,-99,A levels,93,1,Against,Against
61,1658860000000,26/07/2022 17:45,1658860000000,1,26/07/2022 18:45,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,30,59,1,Screen 1,continueButton,response_rating_scale_likert_active,4509,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Don't trust BoJo to act in our best interests,1,17/05/2021 13:05,17/05/2021 13:14,525,Most weeks,Most months,30,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",95,3,Against,Against
21,1658860000000,26/07/2022 17:43,1658860000000,1,26/07/2022 18:43,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,50,19,1,Screen 1,continueButton,response_rating_scale_likert_active,2217,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am concerned about Covid-19 and don't want to get it.,1,17/05/2021 12:44,17/05/2021 13:17,1970,Rarely,Most months,26,Male,-99,"Undergraduate degree (BSc, BA)",98,2,Against,For
24,1658860000000,26/07/2022 17:43,1658860000000,1,26/07/2022 18:43,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,58,22,1,Screen 1,continueButton,response_rating_scale_likert_active,4728,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am fit and healthy so do not need it,1,17/05/2021 13:15,17/05/2021 13:22,438,Most months,Most months,35,Female,-99,A levels,100,1,Against,Against
25,1658860000000,26/07/2022 17:43,1658860000000,1,26/07/2022 18:43,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,41,23,1,Screen 1,continueButton,response_rating_scale_likert_active,2479,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am scared of any side effects,1,17/05/2021 12:55,17/05/2021 13:16,1272,Rarely,Rarely,36,Female,-99,GCSEs,97,2,Against,Against
10,1658860000000,26/07/2022 17:43,1658860000000,1,26/07/2022 18:42,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,19,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2753,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am scared of not having it.,1,17/05/2021 13:03,17/05/2021 13:12,530,Most months,Most months,31,Male,-99,A levels,93,1,Against,For
31,1658860000000,26/07/2022 17:44,1658860000000,1,26/07/2022 18:44,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,10,29,1,Screen 1,continueButton,response_rating_scale_likert_active,2569,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I could be Allergic to ingredients,1,17/05/2021 13:08,17/05/2021 13:12,265,Never,Never,27,Female,-99,GCSEs,92,1,Against,Against
48,1658860000000,26/07/2022 17:45,1658860000000,1,26/07/2022 18:45,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,40,46,1,Screen 1,continueButton,response_rating_scale_likert_active,2179,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't trust it because it is rushed,1,17/05/2021 12:55,17/05/2021 13:16,1272,Rarely,Rarely,36,Female,-99,GCSEs,97,1,Against,Against
3,1658860000000,26/07/2022 17:42,1658860000000,1,26/07/2022 18:42,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,47,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6557,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't trust vaccines in general.,1,17/05/2021 12:44,17/05/2021 13:17,1970,Rarely,Most months,26,Male,-99,"Undergraduate degree (BSc, BA)",98,2,Against,Against
56,1658860000000,26/07/2022 17:45,1658860000000,1,26/07/2022 18:45,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,7,54,1,Screen 1,continueButton,response_rating_scale_likert_active,2738,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't want to die and this vaccine will protect me and my family,1,17/05/2021 12:36,17/05/2021 13:08,1951,A few times a year,Most months,64,Female,-99,GCSEs,91,1,Against,For
46,1658860000000,26/07/2022 17:44,1658860000000,1,26/07/2022 18:44,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,36,44,1,Screen 1,continueButton,response_rating_scale_likert_active,2562,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't want to put anything in my body which I feel is unsafe,1,17/05/2021 13:02,17/05/2021 13:14,721,Never,Most weeks,20,Female,-99,A levels,96,3,Against,Against
47,1658860000000,26/07/2022 17:45,1658860000000,1,26/07/2022 18:45,93981,5,task-fbpo,NA,23317121,6842624,NA,complete,NA,62e02746e3c8ddd07ae80ba0,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1920x1080,1920x927,NA,ITT Ratings,3,against,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,42,45,1,Screen 1,continueButton,response_rating_scale_likert_active,4762,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I fear it will give me covid rather than protect against it,1,17/05/2021 12:55,17/05/2021 13:16,1272,Rarely,Rarely,36,Female,-99,GCSEs,97,3,Against,Against
