Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658859117068,26/07/2022 18:11:57,1658859115976,1,26/07/2022 19:11:55,93981,5,task-ig1e,NA,23317809,6842811,NA,complete,NA,62e02e365fba70e54c66ea85,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1280x800,1064x675,NA,ITT Ratings,3,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658859121470,26/07/2022 18:12:01,1658859120520,1,26/07/2022 19:12:00,93981,5,task-ig1e,NA,23317809,6842811,NA,complete,NA,62e02e365fba70e54c66ea85,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1280x800,1064x675,NA,ITT Ratings,3,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,1,1,1,Screen 1,advancementZone,continue_button,4438,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658859127478,26/07/2022 18:12:07,1658859126535,1,26/07/2022 19:12:06,93981,5,task-ig1e,NA,23317809,6842811,NA,complete,NA,62e02e365fba70e54c66ea85,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1280x800,1064x675,NA,ITT Ratings,3,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,50,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5955,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It's a way of getting life back to normal,1,17/05/2021 11:17,17/05/2021 11:26,535,Most weeks,Most weeks,29,Female,-99,A levels,28,2,Against,For
4,1658859129750,26/07/2022 18:12:09,1658859128815,1,26/07/2022 19:12:08,93981,5,task-ig1e,NA,23317809,6842811,NA,complete,NA,62e02e365fba70e54c66ea85,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1280x800,1064x675,NA,ITT Ratings,3,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,44,2,1,Screen 1,continueButton,response_rating_scale_likert_active,2243,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Plenty of case studies,1,17/05/2021 11:17,17/05/2021 11:25,451,Never,Never,28,Female,-99,A levels,27,2,Against,For
5,1658859132389,26/07/2022 18:12:12,1658859131464,1,26/07/2022 19:12:11,93981,5,task-ig1e,NA,23317809,6842811,NA,complete,NA,62e02e365fba70e54c66ea85,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1280x800,1064x675,NA,ITT Ratings,3,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,30,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2614,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,You can still get the virus,1,17/05/2021 11:11,17/05/2021 11:24,795,Most days,Most months,25,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",25,3,Against,Against
6,1658859134271,26/07/2022 18:12:14,1658859133344,1,26/07/2022 19:12:13,93981,5,task-ig1e,NA,23317809,6842811,NA,complete,NA,62e02e365fba70e54c66ea85,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1280x800,1064x675,NA,ITT Ratings,3,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,19,4,1,Screen 1,continueButton,response_rating_scale_likert_active,1850,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is the best way to protect yourself and your loved ones,1,17/05/2021 11:20,17/05/2021 11:23,190,Most weeks,Most weeks,25,Female,-99,Vocational Training / Apprenticeship,23,1,Against,For
7,1658859139472,26/07/2022 18:12:19,1658859138543,1,26/07/2022 19:12:18,93981,5,task-ig1e,NA,23317809,6842811,NA,complete,NA,62e02e365fba70e54c66ea85,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1280x800,1064x675,NA,ITT Ratings,3,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,21,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5170,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,the pro's out weigh the con's of the vaccine,1,17/05/2021 11:20,17/05/2021 11:23,190,Most weeks,Most weeks,25,Female,-99,Vocational Training / Apprenticeship,23,3,Against,For
8,1658859142410,26/07/2022 18:12:22,1658859141480,1,26/07/2022 19:12:21,93981,5,task-ig1e,NA,23317809,6842811,NA,complete,NA,62e02e365fba70e54c66ea85,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1280x800,1064x675,NA,ITT Ratings,3,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,27,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2910,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Everyone else is getting it and I don't want to be left behind.,1,17/05/2021 10:52,17/05/2021 11:24,1936,Most weeks,Most days,64,Male,-99,No formal qualifications,24,3,Against,For
9,1658859147678,26/07/2022 18:12:27,1658859146599,1,26/07/2022 19:12:26,93981,5,task-ig1e,NA,23317809,6842811,NA,complete,NA,62e02e365fba70e54c66ea85,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1280x800,1064x675,NA,ITT Ratings,3,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,5,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5090,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Will it even work given the virus is changing all the time,1,17/05/2021 11:09,17/05/2021 11:22,779,Most months,Most months,45,Female,-99,GCSEs,21,2,Against,Against
10,1658859166706,26/07/2022 18:12:46,1658859165775,1,26/07/2022 19:12:45,93981,5,task-ig1e,NA,23317809,6842811,NA,complete,NA,62e02e365fba70e54c66ea85,computer,Desktop or Laptop,Windows 10,Firefox 102.0,1280x800,1064x675,NA,ITT Ratings,3,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,11,8,1,Screen 1,continueButton,response_rating_scale_likert_active,19139,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The doctors are not to be trusted as they're only interested in increasing the daily infection rate counts.,1,17/05/2021 11:10,17/05/2021 11:23,785,A few times a year,Rarely,19,Male,-99,A levels,22,2,Against,Against
