Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658859220651,26/07/2022 18:13:40,1658859220243,1,26/07/2022 19:13:40,93981,5,task-k2dt,NA,23317869,6842833,NA,complete,NA,62e02eb90072f3948b769dbb,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,375x667,667x325,NA,ITT Ratings,3,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658859221530,26/07/2022 18:13:41,1658859221219,1,26/07/2022 19:13:41,93981,5,task-k2dt,NA,23317869,6842833,NA,complete,NA,62e02eb90072f3948b769dbb,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,375x667,667x325,NA,ITT Ratings,3,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,1,1,1,Screen 1,advancementZone,continue_button,908,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658859239956,26/07/2022 18:13:59,1658859239631,1,26/07/2022 19:13:59,93981,5,task-k2dt,NA,23317869,6842833,NA,complete,NA,62e02eb90072f3948b769dbb,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,375x667,667x325,NA,ITT Ratings,3,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,18,1,1,Screen 1,continueButton,response_rating_scale_likert_active,18371,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The fast development was due to China sharing the COVID shape to the world so that it would reduce the time to research.,1,17/05/2021 12:08,17/05/2021 12:22,862,Rarely,Most months,20,Female,-99,A levels,63,3,Against,Against
4,1658859245835,26/07/2022 18:14:05,1658859245535,1,26/07/2022 19:14:05,93981,5,task-k2dt,NA,23317869,6842833,NA,complete,NA,62e02eb90072f3948b769dbb,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,375x667,667x325,NA,ITT Ratings,3,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,26,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5874,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Full confidence in the safety of the vaccination program,1,17/05/2021 12:03,17/05/2021 12:23,1164,Most weeks,Most days,34,Male,-99,A levels,64,2,Against,For
5,1658859249061,26/07/2022 18:14:09,1658859248720,1,26/07/2022 19:14:08,93981,5,task-k2dt,NA,23317869,6842833,NA,complete,NA,62e02eb90072f3948b769dbb,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,375x667,667x325,NA,ITT Ratings,3,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,59,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3158.9999999999964,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Vaccinations still won't return life back to normal,1,17/05/2021 12:18,17/05/2021 12:35,1078,Never,Never,34,Female,-99,No formal qualifications,70,2,Against,Against
6,1658859250506,26/07/2022 18:14:10,1658859250172,1,26/07/2022 19:14:10,93981,5,task-k2dt,NA,23317869,6842833,NA,complete,NA,62e02eb90072f3948b769dbb,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,375x667,667x325,NA,ITT Ratings,3,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,50,4,1,Screen 1,continueButton,response_rating_scale_likert_active,1429,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am an elderly person,1,17/05/2021 12:22,17/05/2021 12:34,730,Once or twice a year,Most weeks,59,Male,-99,Vocational Training / Apprenticeship,68,2,Against,For
7,1658859253679,26/07/2022 18:14:13,1658859253283,1,26/07/2022 19:14:13,93981,5,task-k2dt,NA,23317869,6842833,NA,complete,NA,62e02eb90072f3948b769dbb,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,375x667,667x325,NA,ITT Ratings,3,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,10,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3070,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Unsure of side effects,1,17/05/2021 12:13,17/05/2021 12:20,381,Most weeks,Most months,36,Male,-99,A levels,62,1,Against,Against
8,1658859263090,26/07/2022 18:14:23,1658859262736,1,26/07/2022 19:14:22,93981,5,task-k2dt,NA,23317869,6842833,NA,complete,NA,62e02eb90072f3948b769dbb,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,375x667,667x325,NA,ITT Ratings,3,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,24,6,1,Screen 1,continueButton,response_rating_scale_likert_active,9423,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,General disbelief in the effectiveness of requirement to be vaccinated in the first place,1,17/05/2021 12:03,17/05/2021 12:23,1164,Most weeks,Most days,34,Male,-99,A levels,64,3,Against,Against
9,1658859265656,26/07/2022 18:14:25,1658859265316,1,26/07/2022 19:14:25,93981,5,task-k2dt,NA,23317869,6842833,NA,complete,NA,62e02eb90072f3948b769dbb,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,375x667,667x325,NA,ITT Ratings,3,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,8,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2549.9999999999927,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To be able to go out and see elderly relatives.,1,17/05/2021 12:13,17/05/2021 12:18,332,Rarely,Rarely,31,Male,-99,"Undergraduate degree (BSc, BA)",61,2,Against,For
10,1658859271178,26/07/2022 18:14:31,1658859270800,1,26/07/2022 19:14:30,93981,5,task-k2dt,NA,23317869,6842833,NA,complete,NA,62e02eb90072f3948b769dbb,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,375x667,667x325,NA,ITT Ratings,3,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,2,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5456,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
