Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658857111615,26/07/2022 17:38:31,1658857108215,1,26/07/2022 18:38:28,93981,5,task-lkrz,NA,23317044,6842601,NA,complete,NA,62e0266533de3203ec785a61,mobile,undefined undefined,Android 10,Chrome 103.0.5060.114,846x412,798x332,NA,ITT Ratings,3,against,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658857118810,26/07/2022 17:38:38,1658857115452,1,26/07/2022 18:38:35,93981,5,task-lkrz,NA,23317044,6842601,NA,complete,NA,62e0266533de3203ec785a61,mobile,undefined undefined,Android 10,Chrome 103.0.5060.114,846x412,798x284,NA,ITT Ratings,3,against,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,1,1,1,Screen 1,advancementZone,continue_button,7034,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658857141072,26/07/2022 17:39:01,1658857137721,1,26/07/2022 18:38:57,93981,5,task-lkrz,NA,23317044,6842601,NA,complete,NA,62e0266533de3203ec785a61,mobile,undefined undefined,Android 10,Chrome 103.0.5060.114,412x846,412x622,NA,ITT Ratings,3,against,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,17,1,1,Screen 1,continueButton,response_rating_scale_likert_active,22175.70000001788,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,That I am concerned about unknown long term affects,1,17/05/2021 11:08,17/05/2021 11:16,512,Rarely,A few times a year,39,Female,-99,A levels,13,2,Against,Against
4,1658857152914,26/07/2022 17:39:12,1658857149536,1,26/07/2022 18:39:09,93981,5,task-lkrz,NA,23317044,6842601,NA,complete,NA,62e0266533de3203ec785a61,mobile,undefined undefined,Android 10,Chrome 103.0.5060.114,412x846,412x622,NA,ITT Ratings,3,against,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,39,2,1,Screen 1,continueButton,response_rating_scale_likert_active,9197.30000001192,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't want to be scared of catching covid-19 anymore,1,17/05/2021 10:22,17/05/2021 11:19,3415,Most weeks,Rarely,26,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",16,3,Against,For
5,1658857159595,26/07/2022 17:39:19,1658857156226,1,26/07/2022 18:39:16,93981,5,task-lkrz,NA,23317044,6842601,NA,complete,NA,62e0266533de3203ec785a61,mobile,undefined undefined,Android 10,Chrome 103.0.5060.114,846x412,798x284,NA,ITT Ratings,3,against,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,43,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5022.0999999940395,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I haven't bothered to do my research and I blindly trust everything I'm told by authorities.,1,17/05/2021 11:07,17/05/2021 11:21,851,Most days,Most days,59,Female,-99,A levels,17,1,Against,For
6,1658857181369,26/07/2022 17:39:41,1658857178020,1,26/07/2022 18:39:38,93981,5,task-lkrz,NA,23317044,6842601,NA,complete,NA,62e0266533de3203ec785a61,mobile,undefined undefined,Android 10,Chrome 103.0.5060.114,846x412,798x284,NA,ITT Ratings,3,against,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,55,4,1,Screen 1,continueButton,response_rating_scale_likert_active,21708.59999999404,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I'm a sheep, baaa, I follow the herd",1,17/05/2021 11:04,17/05/2021 11:22,1027,A few times a year,A few times a year,38,Male,-99,GCSEs,19,1,Against,For
7,1658857186091,26/07/2022 17:39:46,1658857182753,1,26/07/2022 18:39:42,93981,5,task-lkrz,NA,23317044,6842601,NA,complete,NA,62e0266533de3203ec785a61,mobile,undefined undefined,Android 10,Chrome 103.0.5060.114,412x846,412x622,NA,ITT Ratings,3,against,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,16,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4603.0999999940395,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine has not been tested enough,1,17/05/2021 11:08,17/05/2021 11:16,512,Rarely,A few times a year,39,Female,-99,A levels,13,1,Against,Against
8,1658857196859,26/07/2022 17:39:56,1658857193503,1,26/07/2022 18:39:53,93981,5,task-lkrz,NA,23317044,6842601,NA,complete,NA,62e0266533de3203ec785a61,mobile,undefined undefined,Android 10,Chrome 103.0.5060.114,412x846,412x622,NA,ITT Ratings,3,against,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,52,6,1,Screen 1,continueButton,response_rating_scale_likert_active,8643.199999988079,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It is unsafe as it has been produced too quickly,1,17/05/2021 11:04,17/05/2021 11:22,1027,A few times a year,A few times a year,38,Male,-99,GCSEs,19,1,Against,Against
9,1658857207061,26/07/2022 17:40:07,1658857203714,1,26/07/2022 18:40:03,93981,5,task-lkrz,NA,23317044,6842601,NA,complete,NA,62e0266533de3203ec785a61,mobile,undefined undefined,Android 10,Chrome 103.0.5060.114,412x846,412x622,NA,ITT Ratings,3,against,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,40,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7591.90000000596,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It's completely unnecessary for a seasonal flu virus with a better-than 99% survival rate.,1,17/05/2021 11:07,17/05/2021 11:21,851,Most days,Most days,59,Female,-99,A levels,17,1,Against,Against
10,1658857217042,26/07/2022 17:40:17,1658857213690,1,26/07/2022 18:40:13,93981,5,task-lkrz,NA,23317044,6842601,NA,complete,NA,62e0266533de3203ec785a61,mobile,undefined undefined,Android 10,Chrome 103.0.5060.114,412x846,412x622,NA,ITT Ratings,3,against,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,10,8,1,Screen 1,continueButton,response_rating_scale_likert_active,7861.5,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,There aren't enough studies to show the effectiveness oft hem,1,17/05/2021 11:01,17/05/2021 11:15,865,Rarely,Rarely,28,Female,-99,"No formal qualifications,Undergraduate degree (BSc, BA)",12,1,Against,Against
