Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658858403845,26/07/2022 18:00:03,1658858403735,1,26/07/2022 19:00:03,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658858414030,26/07/2022 18:00:14,1658858413892,1,26/07/2022 19:00:13,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,1,1,1,Screen 1,advancementZone,continue_button,10024.799999952316,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658858436988,26/07/2022 18:00:36,1658858436930,1,26/07/2022 19:00:36,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,47,1,1,Screen 1,continueButton,response_rating_scale_likert_active,23002.39999985695,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,No two adults have had the vaccine then created a baby that has then been born without any issues - there simply has not been enough time so it is impossible to say if that baby would be ok.,1,17/05/2021 11:32,17/05/2021 11:42,618,Never,Rarely,57,Male,-99,A levels,38,2,Against,Against
4,1658858443361,26/07/2022 18:00:43,1658858443210,1,26/07/2022 19:00:43,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,36,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6253.200000047684,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I would prefer a more natural method of treating covid should I catch it,1,17/05/2021 11:15,17/05/2021 11:34,1100,Rarely,Never,28,Female,-99,"Undergraduate degree (BSc, BA)",36,3,Against,Against
5,1658858447389,26/07/2022 18:00:47,1658858447299,1,26/07/2022 19:00:47,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,37,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4075.299999952316,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Getting the vaccine will protect me and others and play a key part in curbing the pandemic,1,17/05/2021 11:15,17/05/2021 11:34,1100,Rarely,Never,28,Female,-99,"Undergraduate degree (BSc, BA)",36,1,Against,For
6,1658858453145,26/07/2022 18:00:53,1658858453039,1,26/07/2022 19:00:53,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,12,4,1,Screen 1,continueButton,response_rating_scale_likert_active,5717.5,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,RNA vaccines aren't safe: In initial trials of the RNA technology resulted in the death of all the animals it was trialed on. This untested method of vaccination will likely damage human immune system,1,17/05/2021 11:15,17/05/2021 11:30,899,Most weeks,Most weeks,61,Male,-99,"Postgraduate degree (MSc, MA, MPhil)",32,3,Against,Against
7,1658858457725,26/07/2022 18:00:57,1658858457592,1,26/07/2022 19:00:57,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,20,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4535.099999904633,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"if you don't care of yourself, please think about your grandmother, diabetic mother, high risked neighbour.",1,17/05/2021 10:14,17/05/2021 11:30,4578,Most weeks,A few times a year,30,Female,-99,Vocational Training / Apprenticeship,33,2,Against,For
8,1658858460638,26/07/2022 18:01:00,1658858460565,1,26/07/2022 19:01:00,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,42,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2950.2999999523163,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine is causing more damage to young people than the virus would,1,17/05/2021 11:31,17/05/2021 11:38,434,Most weeks,Most days,46,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",37,3,Against,Against
9,1658858468472,26/07/2022 18:01:08,1658858468359,1,26/07/2022 19:01:08,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,44,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7776.100000143051,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I donÕt want to be sick,1,17/05/2021 11:31,17/05/2021 11:38,434,Most weeks,Most days,46,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",37,2,Against,For
10,1658858474043,26/07/2022 18:01:14,1658858473969,1,26/07/2022 19:01:13,93981,5,task-mn1e,NA,23317487,6842717,NA,complete,NA,62e02b74b1af90a37049ed6c,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,3,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,60,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5596.900000095367,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Why have the producers of the vaccine been exonerated from any form of liability arising from any effect/death as a result of taking the vaccine, if they're saying its safe and effective?",1,17/05/2021 11:08,17/05/2021 11:43,2086,Most days,Most days,28,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",40,3,Against,Against
