Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658858034292,26/07/2022 17:53:54,1658858035381,1,26/07/2022 18:53:55,93981,5,task-s8ki,NA,23317349,6842672,NA,complete,NA,62e029a9367c432837a5b771,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x937,NA,ITT Ratings,3,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658858051438,26/07/2022 17:54:11,1658858052564,1,26/07/2022 18:54:12,93981,5,task-s8ki,NA,23317349,6842672,NA,complete,NA,62e029a9367c432837a5b771,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x937,NA,ITT Ratings,3,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,1,1,1,Screen 1,advancementZone,continue_button,17105.399999976158,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658858058389,26/07/2022 17:54:18,1658858059520,1,26/07/2022 18:54:19,93981,5,task-s8ki,NA,23317349,6842672,NA,complete,NA,62e029a9367c432837a5b771,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x937,NA,ITT Ratings,3,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,60,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6943.699999928474,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Even after the vaccine, you are not guaranteed immunity.",1,17/05/2021 12:02,17/05/2021 12:17,926,Rarely,A few times a year,30,Female,-99,"Undergraduate degree (BSc, BA)",60,3,Against,Against
4,1658858063385,26/07/2022 17:54:23,1658858064494,1,26/07/2022 18:54:24,93981,5,task-s8ki,NA,23317349,6842672,NA,complete,NA,62e029a9367c432837a5b771,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x937,NA,ITT Ratings,3,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,49,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4959.300000071526,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Want to get back to normal,1,17/05/2021 12:07,17/05/2021 12:14,400,Most weeks,Rarely,28,Female,-99,"Undergraduate degree (BSc, BA)",58,1,Against,For
5,1658858074771,26/07/2022 17:54:34,1658858075892,1,26/07/2022 18:54:35,93981,5,task-s8ki,NA,23317349,6842672,NA,complete,NA,62e029a9367c432837a5b771,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x937,NA,ITT Ratings,3,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,37,3,1,Screen 1,continueButton,response_rating_scale_likert_active,11389.099999904633,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Lessen severity of symptoms for myself,1,17/05/2021 11:56,17/05/2021 12:05,555,A few times a year,A few times a year,25,Female,-99,A levels,56,1,Against,For
6,1658858078027,26/07/2022 17:54:38,1658858079153,1,26/07/2022 18:54:39,93981,5,task-s8ki,NA,23317349,6842672,NA,complete,NA,62e029a9367c432837a5b771,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x937,NA,ITT Ratings,3,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,38,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3253.5,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Lessen chance of spreading it,1,17/05/2021 11:56,17/05/2021 12:05,555,A few times a year,A few times a year,25,Female,-99,A levels,56,2,Against,For
7,1658858086724,26/07/2022 17:54:46,1658858087845,1,26/07/2022 18:54:47,93981,5,task-s8ki,NA,23317349,6842672,NA,complete,NA,62e029a9367c432837a5b771,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x937,NA,ITT Ratings,3,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,15,5,1,Screen 1,continueButton,response_rating_scale_likert_active,8685.400000095367,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Vaccines are good, regardless of how new or experimental they are",1,17/05/2021 11:32,17/05/2021 12:00,1684,Rarely,Most months,43,Female,-99,"Undergraduate degree (BSc, BA)",52,3,Against,For
8,1658858093086,26/07/2022 17:54:53,1658858094206,1,26/07/2022 18:54:54,93981,5,task-s8ki,NA,23317349,6842672,NA,complete,NA,62e029a9367c432837a5b771,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x937,NA,ITT Ratings,3,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,48,6,1,Screen 1,continueButton,response_rating_scale_likert_active,6352.299999952316,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Not a risk group for covid,1,17/05/2021 12:07,17/05/2021 12:14,400,Most weeks,Rarely,28,Female,-99,"Undergraduate degree (BSc, BA)",58,3,Against,Against
9,1658858095959,26/07/2022 17:54:55,1658858097080,1,26/07/2022 18:54:57,93981,5,task-s8ki,NA,23317349,6842672,NA,complete,NA,62e029a9367c432837a5b771,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x937,NA,ITT Ratings,3,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,56,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2859,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to feel safer,1,17/05/2021 11:59,17/05/2021 12:15,955,Most months,Rarely,58,Female,-99,"GCSEs,A levels",59,2,Against,For
10,1658858098648,26/07/2022 17:54:58,1658858099771,1,26/07/2022 18:54:59,93981,5,task-s8ki,NA,23317349,6842672,NA,complete,NA,62e029a9367c432837a5b771,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x937,NA,ITT Ratings,3,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,58,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2684.2000000476837,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Produced too quickly,1,17/05/2021 12:02,17/05/2021 12:17,926,Rarely,A few times a year,30,Female,-99,"Undergraduate degree (BSc, BA)",60,1,Against,Against
