Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658860274224,26/07/2022 18:31:14,1658860274127,1,26/07/2022 19:31:14,93981,5,task-xidh,NA,23318236,6842948,NA,complete,NA,62e032c3d5f8373be766ea87,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1280x800,1241x606,NA,ITT Ratings,3,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658860282740,26/07/2022 18:31:22,1658860282665,1,26/07/2022 19:31:22,93981,5,task-xidh,NA,23318236,6842948,NA,complete,NA,62e032c3d5f8373be766ea87,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1280x800,1241x606,NA,ITT Ratings,3,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,1,1,1,Screen 1,advancementZone,continue_button,8494,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658860289479,26/07/2022 18:31:29,1658860289413,1,26/07/2022 19:31:29,93981,5,task-xidh,NA,23318236,6842948,NA,complete,NA,62e032c3d5f8373be766ea87,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1280x800,1241x606,NA,ITT Ratings,3,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,18,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6726,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't like taking vaccines,1,17/05/2021 12:50,17/05/2021 13:00,608,Rarely,Rarely,32,Male,-99,GCSEs,83,3,Against,Against
4,1658860299109,26/07/2022 18:31:39,1658860299028,1,26/07/2022 19:31:39,93981,5,task-xidh,NA,23318236,6842948,NA,complete,NA,62e032c3d5f8373be766ea87,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1280x800,1241x606,NA,ITT Ratings,3,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,31,2,1,Screen 1,continueButton,response_rating_scale_likert_active,9597,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am concerned I will get covid and die,1,17/05/2021 12:56,17/05/2021 13:03,426,Most weeks,Most weeks,37,Female,-99,"Undergraduate degree (BSc, BA)",85,1,Against,For
5,1658860306244,26/07/2022 18:31:46,1658860306172,1,26/07/2022 19:31:46,93981,5,task-xidh,NA,23318236,6842948,NA,complete,NA,62e032c3d5f8373be766ea87,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1280x800,1241x606,NA,ITT Ratings,3,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,36,3,1,Screen 1,continueButton,response_rating_scale_likert_active,7123,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I do not trust the pharmaceutical companies producing the vaccines, nor the government, who are pushing them.",1,17/05/2021 12:51,17/05/2021 13:05,836,Rarely,A few times a year,33,Female,-99,"Undergraduate degree (BSc, BA)",86,3,Against,Against
6,1658860314879,26/07/2022 18:31:54,1658860314764,1,26/07/2022 19:31:54,93981,5,task-xidh,NA,23318236,6842948,NA,complete,NA,62e032c3d5f8373be766ea87,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1280x800,1241x606,NA,ITT Ratings,3,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,63,4,1,Screen 1,continueButton,response_rating_scale_likert_active,8573,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The  pharmaceutical companies make no profit from this they genuinely want to help,1,17/05/2021 12:51,17/05/2021 13:08,1010,Rarely,Rarely,31,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",90,3,Against,For
7,1658860321980,26/07/2022 18:32:01,1658860321900,1,26/07/2022 19:32:01,93981,5,task-xidh,NA,23318236,6842948,NA,complete,NA,62e032c3d5f8373be766ea87,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1280x800,1241x606,NA,ITT Ratings,3,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,4,5,1,Screen 1,continueButton,response_rating_scale_likert_active,7118,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It is not safe to take as there have been adverse effects,1,17/05/2021 12:50,17/05/2021 12:55,305,Never,Never,32,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",81,1,Against,Against
8,1658860326271,26/07/2022 18:32:06,1658860326203,1,26/07/2022 19:32:06,93981,5,task-xidh,NA,23318236,6842948,NA,complete,NA,62e032c3d5f8373be766ea87,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1280x800,1241x606,NA,ITT Ratings,3,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,30,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4287,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,risk vs benefit - benefits don't outweigh the risks associated,1,17/05/2021 12:56,17/05/2021 13:03,426,Most weeks,Most weeks,37,Female,-99,"Undergraduate degree (BSc, BA)",85,3,Against,Against
9,1658860330526,26/07/2022 18:32:10,1658860330451,1,26/07/2022 19:32:10,93981,5,task-xidh,NA,23318236,6842948,NA,complete,NA,62e032c3d5f8373be766ea87,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1280x800,1241x606,NA,ITT Ratings,3,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,38,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4231,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I believe it's selfish to not take it, so comply.",1,17/05/2021 12:51,17/05/2021 13:05,836,Rarely,A few times a year,33,Female,-99,"Undergraduate degree (BSc, BA)",86,2,Against,For
10,1658860333934,26/07/2022 18:32:13,1658860333851,1,26/07/2022 19:32:13,93981,5,task-xidh,NA,23318236,6842948,NA,complete,NA,62e032c3d5f8373be766ea87,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1280x800,1241x606,NA,ITT Ratings,3,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,53,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3386,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I trust my own immune system,1,17/05/2021 12:55,17/05/2021 13:08,764,Most months,Most weeks,40,Female,-99,A levels,89,2,Against,Against
