Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658935707880,27/07/2022 15:28:27,1658935707795,1,27/07/2022 16:28:27,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658935712235,27/07/2022 15:28:32,1658935712200,1,27/07/2022 16:28:32,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,1,1,1,Screen 1,advancementZone,continue_button,4276.5,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658935717574,27/07/2022 15:28:37,1658935717556,1,27/07/2022 16:28:37,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,30,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5301.4000000003725,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,1,17/05/2021 10:35,17/05/2021 11:12,2227,A few times a year,A few times a year,32,Female,-99,A levels,5,3,Against,Against
4,1658935721241,27/07/2022 15:28:41,1658935721222,1,27/07/2022 16:28:41,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,28,2,1,Screen 1,continueButton,response_rating_scale_likert_active,3611.60000000149,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,1,17/05/2021 10:35,17/05/2021 11:12,2227,A few times a year,A few times a year,32,Female,-99,A levels,5,1,Against,Against
5,1658935728198,27/07/2022 15:28:48,1658935728186,1,27/07/2022 16:28:48,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,47,3,1,Screen 1,continueButton,response_rating_scale_likert_active,6921,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",1,17/05/2021 10:47,17/05/2021 11:14,1618,Most days,Most days,54,Male,-99,Vocational Training / Apprenticeship,8,2,Against,Against
6,1658935730422,27/07/2022 15:28:50,1658935730413,1,27/07/2022 16:28:50,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,33,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2186.9000000003725,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to be able to fly for holidays this summer.,1,17/05/2021 10:35,17/05/2021 11:12,2227,A few times a year,A few times a year,32,Female,-99,A levels,5,3,Against,For
7,1658935734448,27/07/2022 15:28:54,1658935734423,1,27/07/2022 16:28:54,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,19,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3965.800000000745,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Its the only way to stop the spread of the virus,1,17/05/2021 10:56,17/05/2021 11:12,973,Most weeks,Most weeks,49,Female,-99,GCSEs,3,1,Against,For
8,1658935739148,27/07/2022 15:28:59,1658935739139,1,27/07/2022 16:28:59,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,10,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4667.5999999996275,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,1,17/05/2021 10:56,17/05/2021 11:11,875,Most days,Most weeks,24,Female,-99,"Undergraduate degree (BSc, BA)",2,1,Against,Against
9,1658935742563,27/07/2022 15:29:02,1658935742549,1,27/07/2022 16:29:02,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,27,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3372.4000000003725,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We must have the vaccine in order to return to normality.,1,17/05/2021 11:04,17/05/2021 11:12,483,Most days,Most weeks,31,Female,-99,GCSEs,4,3,Against,For
10,1658935748616,27/07/2022 15:29:08,1658935748601,1,27/07/2022 16:29:08,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,7,8,1,Screen 1,continueButton,response_rating_scale_likert_active,6014.5,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,i was fine are a few days.,1,17/05/2021 10:58,17/05/2021 11:09,624,Most days,Most months,32,Female,-99,A levels,1,1,Against,For
11,1658935751063,27/07/2022 15:29:11,1658935751047,1,27/07/2022 16:29:11,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,22,9,1,Screen 1,continueButton,response_rating_scale_likert_active,2406.800000000745,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine is not safe to receive.,1,17/05/2021 11:04,17/05/2021 11:12,483,Most days,Most weeks,31,Female,-99,GCSEs,4,1,Against,Against
12,1658935754318,27/07/2022 15:29:14,1658935754302,1,27/07/2022 16:29:14,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,3,10,1,Screen 1,continueButton,response_rating_scale_likert_active,3219.300000000745,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Disagree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
13,1658935758435,27/07/2022 15:29:18,1658935758420,1,27/07/2022 16:29:18,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,18,11,1,Screen 1,continueButton,response_rating_scale_likert_active,4073.39999999851,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Im unsure of the long term affects,1,17/05/2021 10:56,17/05/2021 11:12,973,Most weeks,Most weeks,49,Female,-99,GCSEs,3,3,Against,Against
14,1658935760692,27/07/2022 15:29:20,1658935760672,1,27/07/2022 16:29:20,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,9,12,1,Screen 1,continueButton,response_rating_scale_likert_active,2205.800000000745,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,it will help you protect yourself.,1,17/05/2021 10:58,17/05/2021 11:09,624,Most days,Most months,32,Female,-99,A levels,1,3,Against,For
15,1658935765491,27/07/2022 15:29:25,1658935765476,1,27/07/2022 16:29:25,94050,2,task-an6x,NA,23334654,6847612,NA,complete,NA,62e1597b17a7a6b5800471ca,computer,Desktop or Laptop,Linux x86_64,Chrome 98.0.4758.102,1366x768,1356x629,NA,ITT Ratings,3,For,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1hes,batch1hes,13,13,1,Screen 1,continueButton,response_rating_scale_likert_active,4766.9000000003725,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Protects you against the virus so that you have immunity against it,1,17/05/2021 10:56,17/05/2021 11:11,875,Most days,Most weeks,24,Female,-99,"Undergraduate degree (BSc, BA)",2,1,Against,For
