Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658936175292,27/07/2022 15:36:15,1658936176453,1,27/07/2022 16:36:16,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658936181236,27/07/2022 15:36:21,1658936182441,1,27/07/2022 16:36:22,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,1,1,1,Screen 1,advancementZone,continue_button,5901.299999713898,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658936187700,27/07/2022 15:36:27,1658936188837,1,27/07/2022 16:36:28,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,45,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6371.200000286102,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I feel I can trust those who made the vaccine,1,17/05/2021 12:55,17/05/2021 13:16,1272,Rarely,Rarely,36,Female,-99,GCSEs,97,3,Against,For
4,1658936192104,27/07/2022 15:36:32,1658936193313,1,27/07/2022 16:36:33,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,38,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4456.400000095367,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It will give me immunity against covid,1,17/05/2021 13:02,17/05/2021 13:14,721,Never,Most weeks,20,Female,-99,A levels,96,2,Against,For
5,1658936196010,27/07/2022 15:36:36,1658936197128,1,27/07/2022 16:36:37,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,26,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3796.2000002861023,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Its important to stop the NHS being overun,1,17/05/2021 13:03,17/05/2021 13:12,586,Rarely,Once or twice a year,49,Male,-99,"Postgraduate degree (MSc, MA, MPhil)",94,2,Against,For
6,1658936200795,27/07/2022 15:36:40,1658936201985,1,27/07/2022 16:36:41,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,8,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4837.400000095367,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I trust the scientists, doctors, and government when they say I need it",1,17/05/2021 12:36,17/05/2021 13:08,1951,A few times a year,Most months,64,Female,-99,GCSEs,91,2,Against,For
7,1658936204397,27/07/2022 15:36:44,1658936205551,1,27/07/2022 16:36:45,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,5,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3538.800000190735,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,it causes blood clots and other side effects,1,17/05/2021 12:36,17/05/2021 13:08,1951,A few times a year,Most months,64,Female,-99,GCSEs,91,2,Against,Against
8,1658936221710,27/07/2022 15:37:01,1658936222861,1,27/07/2022 16:37:02,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,24,6,1,Screen 1,continueButton,response_rating_scale_likert_active,17290.900000095367,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Not everyone needs to be vaccinated to have the population ok with it.,1,17/05/2021 13:03,17/05/2021 13:12,586,Rarely,Once or twice a year,49,Male,-99,"Postgraduate degree (MSc, MA, MPhil)",94,3,Against,Against
9,1658936225777,27/07/2022 15:37:05,1658936226927,1,27/07/2022 16:37:06,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,4,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4050.699999809265,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,the vaccine hasn't been tested for the number of years required to know for certain whether it will cause serious side effects in the future,1,17/05/2021 12:36,17/05/2021 13:08,1951,A few times a year,Most months,64,Female,-99,GCSEs,91,1,Against,Against
10,1658936230853,27/07/2022 15:37:10,1658936232057,1,27/07/2022 16:37:12,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,44,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5113.599999904633,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to eradicate covid completely,1,17/05/2021 12:55,17/05/2021 13:16,1272,Rarely,Rarely,36,Female,-99,GCSEs,97,2,Against,For
11,1658936234166,27/07/2022 15:37:14,1658936235308,1,27/07/2022 16:37:15,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,10,9,1,Screen 1,continueButton,response_rating_scale_likert_active,3234.599999904633,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I could be Allergic to ingredients,1,17/05/2021 13:08,17/05/2021 13:12,265,Never,Never,27,Female,-99,GCSEs,92,1,Against,Against
12,1658936236299,27/07/2022 15:37:16,1658936237348,1,27/07/2022 16:37:17,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,39,10,1,Screen 1,continueButton,response_rating_scale_likert_active,2026.1999998092651,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I feel safer with it,1,17/05/2021 13:02,17/05/2021 13:14,721,Never,Most weeks,20,Female,-99,A levels,96,3,Against,For
13,1658936240597,27/07/2022 15:37:20,1658936241802,1,27/07/2022 16:37:21,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,2,11,1,Screen 1,continueButton,response_rating_scale_likert_active,4439.599999904633,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
14,1658936245711,27/07/2022 15:37:25,1658936246866,1,27/07/2022 16:37:26,94050,2,task-fbpo,NA,23334901,6847691,NA,complete,NA,62e15b3cf525ba4c20425ba1,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,3,For,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10hes,batch10hes,3,12,1,Screen 1,continueButton,response_rating_scale_likert_active,5048.400000095367,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Disagree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
