Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658935606628,27/07/2022 15:26:46,1658935606399,1,27/07/2022 16:26:46,94050,2,task-ig1e,NA,23334598,6847596,NA,complete,NA,62e158e39a5f40c64449fbc4,tablet,Apple iPad,iOS 15.5,Chrome 103.0.5060.63,768x1024,1024x768,NA,ITT Ratings,3,For,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658935614950,27/07/2022 15:26:54,1658935614743,1,27/07/2022 16:26:54,94050,2,task-ig1e,NA,23334598,6847596,NA,complete,NA,62e158e39a5f40c64449fbc4,tablet,Apple iPad,iOS 15.5,Chrome 103.0.5060.63,768x1024,1024x768,NA,ITT Ratings,3,For,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,1,1,1,Screen 1,advancementZone,continue_button,8270,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658935627221,27/07/2022 15:27:07,1658935627041,1,27/07/2022 16:27:07,94050,2,task-ig1e,NA,23334598,6847596,NA,complete,NA,62e158e39a5f40c64449fbc4,tablet,Apple iPad,iOS 15.5,Chrome 103.0.5060.63,768x1024,1024x768,NA,ITT Ratings,3,For,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,56,1,1,Screen 1,continueButton,response_rating_scale_likert_active,12261.999999999998,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,in case employers say you have to be vaccinated to work,1,17/05/2021 11:19,17/05/2021 11:26,432,Once or twice a year,Most months,37,Female,-99,A levels,29,2,Against,For
4,1658935638325,27/07/2022 15:27:18,1658935638140,1,27/07/2022 16:27:18,94050,2,task-ig1e,NA,23334598,6847596,NA,complete,NA,62e158e39a5f40c64449fbc4,tablet,Apple iPad,iOS 15.5,Chrome 103.0.5060.63,768x1024,1024x768,NA,ITT Ratings,3,For,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,23,2,1,Screen 1,continueButton,response_rating_scale_likert_active,11067,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I am concerned the vaccine has been released too soon, not enough testing.",1,17/05/2021 10:52,17/05/2021 11:24,1936,Most weeks,Most days,64,Male,-99,No formal qualifications,24,2,Against,Against
5,1658935641857,27/07/2022 15:27:21,1658935641661,1,27/07/2022 16:27:21,94050,2,task-ig1e,NA,23334598,6847596,NA,complete,NA,62e158e39a5f40c64449fbc4,tablet,Apple iPad,iOS 15.5,Chrome 103.0.5060.63,768x1024,1024x768,NA,ITT Ratings,3,For,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,43,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3485,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Produced quickly and effectively,1,17/05/2021 11:17,17/05/2021 11:25,451,Never,Never,28,Female,-99,A levels,27,1,Against,For
6,1658935646996,27/07/2022 15:27:26,1658935646778,1,27/07/2022 16:27:26,94050,2,task-ig1e,NA,23334598,6847596,NA,complete,NA,62e158e39a5f40c64449fbc4,tablet,Apple iPad,iOS 15.5,Chrome 103.0.5060.63,768x1024,1024x768,NA,ITT Ratings,3,For,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,33,4,1,Screen 1,continueButton,response_rating_scale_likert_active,5087,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,You can travel to countries without quarantine period,1,17/05/2021 11:11,17/05/2021 11:24,795,Most days,Most months,25,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",25,3,Against,For
7,1658935652021,27/07/2022 15:27:32,1658935651830,1,27/07/2022 16:27:31,94050,2,task-ig1e,NA,23334598,6847596,NA,complete,NA,62e158e39a5f40c64449fbc4,tablet,Apple iPad,iOS 15.5,Chrome 103.0.5060.63,768x1024,1024x768,NA,ITT Ratings,3,For,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,39,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5019,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Everyone else is having the vaccine,1,17/05/2021 11:12,17/05/2021 11:25,781,Most weeks,Most months,44,Male,-99,A levels,26,3,Against,For
8,1658935656108,27/07/2022 15:27:36,1658935655908,1,27/07/2022 16:27:35,94050,2,task-ig1e,NA,23334598,6847596,NA,complete,NA,62e158e39a5f40c64449fbc4,tablet,Apple iPad,iOS 15.5,Chrome 103.0.5060.63,768x1024,1024x768,NA,ITT Ratings,3,For,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,17,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4051,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I'm anxious about the long and short term side effects from having the vaccine,1,17/05/2021 11:20,17/05/2021 11:23,190,Most weeks,Most weeks,25,Female,-99,Vocational Training / Apprenticeship,23,2,Against,Against
9,1658935659984,27/07/2022 15:27:39,1658935659791,1,27/07/2022 16:27:39,94050,2,task-ig1e,NA,23334598,6847596,NA,complete,NA,62e158e39a5f40c64449fbc4,tablet,Apple iPad,iOS 15.5,Chrome 103.0.5060.63,768x1024,1024x768,NA,ITT Ratings,3,For,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,2,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3851,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
10,1658935670101,27/07/2022 15:27:50,1658935669922,1,27/07/2022 16:27:49,94050,2,task-ig1e,NA,23334598,6847596,NA,complete,NA,62e158e39a5f40c64449fbc4,tablet,Apple iPad,iOS 15.5,Chrome 103.0.5060.63,768x1024,1024x768,NA,ITT Ratings,3,For,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3hes,batch3hes,15,8,1,Screen 1,continueButton,response_rating_scale_likert_active,10105,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,There are side effects but only a very low probability of it taking place,1,17/05/2021 11:10,17/05/2021 11:23,785,A few times a year,Rarely,19,Male,-99,A levels,22,3,Against,For
