Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658935769561,27/07/2022 15:29:29,1658935771887,1,27/07/2022 16:29:31,94050,2,task-j4ag,NA,23334685,6847619,NA,complete,NA,62e159b018af0d054ff10f57,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x746,NA,ITT Ratings,3,For,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658935772605,27/07/2022 15:29:32,1658935774939,1,27/07/2022 16:29:34,94050,2,task-j4ag,NA,23334685,6847619,NA,complete,NA,62e159b018af0d054ff10f57,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1519x746,NA,ITT Ratings,3,For,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5hes,batch5hes,1,1,1,Screen 1,advancementZone,continue_button,2978.600000023842,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658935776976,27/07/2022 15:29:36,1658935779356,1,27/07/2022 16:29:39,94050,2,task-j4ag,NA,23334685,6847619,NA,complete,NA,62e159b018af0d054ff10f57,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1519x746,NA,ITT Ratings,3,For,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5hes,batch5hes,42,1,1,Screen 1,continueButton,response_rating_scale_likert_active,4398.700000047684,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,You can't trust vaccines as the pharmaceutical industry just wants to make money,1,17/05/2021 11:49,17/05/2021 11:54,314,Rarely,Most days,27,Female,-99,"Undergraduate degree (BSc, BA)",47,3,Against,Against
4,1658935779407,27/07/2022 15:29:39,1658935781786,1,27/07/2022 16:29:41,94050,2,task-j4ag,NA,23334685,6847619,NA,complete,NA,62e159b018af0d054ff10f57,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1519x746,NA,ITT Ratings,3,For,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5hes,batch5hes,8,2,1,Screen 1,continueButton,response_rating_scale_likert_active,2414.7000000476837,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I am tired of lockdown,1,17/05/2021 11:29,17/05/2021 11:43,849,Rarely,Most months,29,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",41,2,Against,For
5,1658935780893,27/07/2022 15:29:40,1658935783268,1,27/07/2022 16:29:43,94050,2,task-j4ag,NA,23334685,6847619,NA,complete,NA,62e159b018af0d054ff10f57,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1519x746,NA,ITT Ratings,3,For,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5hes,batch5hes,56,3,1,Screen 1,continueButton,response_rating_scale_likert_active,1465.0999999046326,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to return to 'normal life',1,17/05/2021 11:30,17/05/2021 11:56,1558,Rarely,Most months,35,Male,-99,"GCSEs,A levels,Undergraduate degree (BSc, BA)",49,2,Against,For
6,1658935783686,27/07/2022 15:29:43,1658935785971,1,27/07/2022 16:29:45,94050,2,task-j4ag,NA,23334685,6847619,NA,complete,NA,62e159b018af0d054ff10f57,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1519x746,NA,ITT Ratings,3,For,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5hes,batch5hes,33,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2683.899999976158,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I believe it is safe,1,17/05/2021 11:33,17/05/2021 11:51,1071,Most weeks,A few times a year,34,Male,-99,"Undergraduate degree (BSc, BA)",45,3,Against,For
7,1658935787090,27/07/2022 15:29:47,1658935789478,1,27/07/2022 16:29:49,94050,2,task-j4ag,NA,23334685,6847619,NA,complete,NA,62e159b018af0d054ff10f57,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1519x746,NA,ITT Ratings,3,For,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5hes,batch5hes,63,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3491,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It will mean I can meet family members,1,17/05/2021 11:50,17/05/2021 11:57,423,Most weeks,Most weeks,48,Male,-99,"Undergraduate degree (BSc, BA)",50,3,Against,For
8,1658935789315,27/07/2022 15:29:49,1658935791699,1,27/07/2022 16:29:51,94050,2,task-j4ag,NA,23334685,6847619,NA,complete,NA,62e159b018af0d054ff10f57,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1519x746,NA,ITT Ratings,3,For,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5hes,batch5hes,36,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2200.7000000476837,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,i have had covid already,1,17/05/2021 11:43,17/05/2021 11:53,620,Most weeks,Most days,51,Female,-99,GCSEs,46,3,Against,Against
9,1658935793225,27/07/2022 15:29:53,1658935794929,1,27/07/2022 16:29:54,94050,2,task-j4ag,NA,23334685,6847619,NA,complete,NA,62e159b018af0d054ff10f57,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1519x746,NA,ITT Ratings,3,For,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5hes,batch5hes,58,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3213.2999999523163,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is not safe and has not been tested properly,1,17/05/2021 11:50,17/05/2021 11:57,423,Most weeks,Most weeks,48,Male,-99,"Undergraduate degree (BSc, BA)",50,1,Against,Against
10,1658935795179,27/07/2022 15:29:55,1658935797567,1,27/07/2022 16:29:57,94050,2,task-j4ag,NA,23334685,6847619,NA,complete,NA,62e159b018af0d054ff10f57,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1519x746,NA,ITT Ratings,3,For,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5hes,batch5hes,46,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2622.7000000476837,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The government cannot be trusted to tell the truth.,1,17/05/2021 11:10,17/05/2021 11:56,2717,Rarely,Rarely,38,Male,-99,A levels,48,1,Against,Against
