Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658940000000,27/07/2022 15:40,1658940000000,1,27/07/2022 16:40,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658940000000,27/07/2022 15:40,1658940000000,1,27/07/2022 16:40,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,1,1,1,Screen 1,advancementZone,continue_button,6128,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658940000000,27/07/2022 15:40,1658940000000,1,27/07/2022 16:40,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,29,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7140.6,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It has not been developed long enough to see the reactions or effectiveness.,1,17/05/2021 12:11,17/05/2021 12:24,783,Most months,Most months,27,Female,-99,"Undergraduate degree (BSc, BA)",65,2,Against,Against
4,1658940000000,27/07/2022 15:40,1658940000000,1,27/07/2022 16:40,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,63,2,1,Screen 1,continueButton,response_rating_scale_likert_active,13419,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Because I think life will return to normal but loads vaccinated and nothing changes,1,17/05/2021 12:18,17/05/2021 12:35,1078,Never,Never,34,Female,-99,No formal qualifications,70,3,Against,For
5,1658940000000,27/07/2022 15:40,1658940000000,1,27/07/2022 16:40,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,52,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2576.5,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I think it is dangerous,1,17/05/2021 12:30,17/05/2021 12:35,345,Most days,Most days,53,Female,-99,"GCSEs,Vocational Training / Apprenticeship",69,1,Against,Against
6,1658940000000,27/07/2022 15:40,1658940000000,1,27/07/2022 16:40,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,23,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2899.6,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Worried about chance of serious side affects,1,17/05/2021 12:03,17/05/2021 12:23,1164,Most weeks,Most days,34,Male,-99,A levels,64,2,Against,Against
7,1658940000000,27/07/2022 15:40,1658940000000,1,27/07/2022 16:40,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,37,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4112,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Less likely to get it,1,17/05/2021 12:21,17/05/2021 12:30,549,Most months,Most months,27,Female,-99,A levels,66,1,Against,For
8,1658940000000,27/07/2022 15:41,1658940000000,1,27/07/2022 16:41,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,20,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4169.2,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The research and development was too fast for a vaccine.,1,17/05/2021 12:08,17/05/2021 12:22,862,Rarely,Most months,20,Female,-99,A levels,63,2,Against,For
9,1658940000000,27/07/2022 15:41,1658940000000,1,27/07/2022 16:41,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,26,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3315.3,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Full confidence in the safety of the vaccination program,1,17/05/2021 12:03,17/05/2021 12:23,1164,Most weeks,Most days,34,Male,-99,A levels,64,2,Against,For
10,1658940000000,27/07/2022 15:41,1658940000000,1,27/07/2022 16:41,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,31,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3239,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Don't want to spread the virus,1,17/05/2021 12:11,17/05/2021 12:24,783,Most months,Most months,27,Female,-99,"Undergraduate degree (BSc, BA)",65,1,Against,For
11,1658940000000,27/07/2022 15:41,1658940000000,1,27/07/2022 16:41,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,18,9,1,Screen 1,continueButton,response_rating_scale_likert_active,7046.1,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The fast development was due to China sharing the COVID shape to the world so that it would reduce the time to research.,1,17/05/2021 12:08,17/05/2021 12:22,862,Rarely,Most months,20,Female,-99,A levels,63,3,Against,Against
12,1658940000000,27/07/2022 15:41,1658940000000,1,27/07/2022 16:41,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,9,10,1,Screen 1,continueButton,response_rating_scale_likert_active,3211.6,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To reduce the amount of deaths.,1,17/05/2021 12:13,17/05/2021 12:18,332,Rarely,Rarely,31,Male,-99,"Undergraduate degree (BSc, BA)",61,3,Against,For
13,1658940000000,27/07/2022 15:41,1658940000000,1,27/07/2022 16:41,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,57,11,1,Screen 1,continueButton,response_rating_scale_likert_active,2272.3,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to help stop the spread of the virus,1,17/05/2021 12:30,17/05/2021 12:35,345,Most days,Most days,53,Female,-99,"GCSEs,Vocational Training / Apprenticeship",69,3,Against,For
14,1658940000000,27/07/2022 15:41,1658940000000,1,27/07/2022 16:41,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,40,12,1,Screen 1,continueButton,response_rating_scale_likert_active,5594.6,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Don't know the long term effects,1,17/05/2021 12:21,17/05/2021 12:33,726,Most months,A few times a year,21,Female,-99,A levels,67,1,Against,Against
15,1658940000000,27/07/2022 15:41,1658940000000,1,27/07/2022 16:41,94050,2,task-k2dt,NA,23335022,6847730,NA,complete,NA,62e15c4a8a31447bd0c73670,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 102.0.0.0,1440x900,1440x821,NA,ITT Ratings,3,For,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7hes,batch7hes,22,13,1,Screen 1,continueButton,response_rating_scale_likert_active,6264.6,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Concern over a reaction to the vaccine,1,17/05/2021 12:03,17/05/2021 12:23,1164,Most weeks,Most days,34,Male,-99,A levels,64,1,Against,Against
