Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658935921725,27/07/2022 15:32:01,1658935919624,1,27/07/2022 16:31:59,94050,2,task-lkrz,NA,23334795,6847647,NA,complete,NA,62e15a336ec03f599bc35dd1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1440x900,1440x796,NA,ITT Ratings,3,For,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658935935295,27/07/2022 15:32:15,1658935933212,1,27/07/2022 16:32:13,94050,2,task-lkrz,NA,23334795,6847647,NA,complete,NA,62e15a336ec03f599bc35dd1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1440x900,1440x796,NA,ITT Ratings,3,For,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,1,1,1,Screen 1,advancementZone,continue_button,13558,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658935941683,27/07/2022 15:32:21,1658935939631,1,27/07/2022 16:32:19,94050,2,task-lkrz,NA,23334795,6847647,NA,complete,NA,62e15a336ec03f599bc35dd1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1440x900,1440x796,NA,ITT Ratings,3,For,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,40,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6407.300000011921,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It's completely unnecessary for a seasonal flu virus with a better-than 99% survival rate.,1,17/05/2021 11:07,17/05/2021 11:21,851,Most days,Most days,59,Female,-99,A levels,17,1,Against,Against
4,1658935979638,27/07/2022 15:32:59,1658935977555,1,27/07/2022 16:32:57,94050,2,task-lkrz,NA,23334795,6847647,NA,complete,NA,62e15a336ec03f599bc35dd1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1440x900,1440x796,NA,ITT Ratings,3,For,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,30,2,1,Screen 1,continueButton,response_rating_scale_likert_active,37916.19999998808,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"The constant changing of what works, what doesn't, who it affects, who it doesn't. They don't really know for sure, do they?",1,17/05/2021 11:06,17/05/2021 11:19,791,Most months,Most months,27,Female,-99,GCSEs,15,3,Against,Against
5,1658936007895,27/07/2022 15:33:27,1658936005842,1,27/07/2022 16:33:25,94050,2,task-lkrz,NA,23334795,6847647,NA,complete,NA,62e15a336ec03f599bc35dd1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1440x900,1440x796,NA,ITT Ratings,3,For,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,38,3,1,Screen 1,continueButton,response_rating_scale_likert_active,28278,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want my life to go back to normal and be able to return to work/ lesure activities,1,17/05/2021 10:22,17/05/2021 11:19,3415,Most weeks,Rarely,26,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",16,2,Against,For
6,1658936016156,27/07/2022 15:33:36,1658936014096,1,27/07/2022 16:33:34,94050,2,task-lkrz,NA,23334795,6847647,NA,complete,NA,62e15a336ec03f599bc35dd1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1440x900,1440x796,NA,ITT Ratings,3,For,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,63,4,1,Screen 1,continueButton,response_rating_scale_likert_active,8243,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am feeling so much pressure by the government I just go for it because I am told to,1,17/05/2021 10:52,17/05/2021 11:22,1779,Most weeks,Most days,55,Female,-99,GCSEs,20,3,Against,For
7,1658936020834,27/07/2022 15:33:40,1658936018774,1,27/07/2022 16:33:38,94050,2,task-lkrz,NA,23334795,6847647,NA,complete,NA,62e15a336ec03f599bc35dd1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1440x900,1440x796,NA,ITT Ratings,3,For,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,14,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4669,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I'm taking the vaccine so i can go out,1,17/05/2021 11:01,17/05/2021 11:15,865,Rarely,Rarely,28,Female,-99,"No formal qualifications,Undergraduate degree (BSc, BA)",12,2,Against,For
8,1658936032132,27/07/2022 15:33:52,1658936030073,1,27/07/2022 16:33:50,94050,2,task-lkrz,NA,23334795,6847647,NA,complete,NA,62e15a336ec03f599bc35dd1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1440x900,1440x796,NA,ITT Ratings,3,For,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,29,6,1,Screen 1,continueButton,response_rating_scale_likert_active,11289.69999998808,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Vaccine is in it's infancy. Like you said, ""The long-term effects of Covid-19 are not yet known because this disease has only existed since early 2020."" That same statement can be applied to the vacci",1,17/05/2021 11:06,17/05/2021 11:19,791,Most months,Most months,27,Female,-99,GCSEs,15,2,Against,Against
9,1658936036726,27/07/2022 15:33:56,1658936034662,1,27/07/2022 16:33:54,94050,2,task-lkrz,NA,23334795,6847647,NA,complete,NA,62e15a336ec03f599bc35dd1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1440x900,1440x796,NA,ITT Ratings,3,For,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,31,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4579.199999988079,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to be able to work,1,17/05/2021 11:06,17/05/2021 11:19,791,Most months,Most months,27,Female,-99,GCSEs,15,1,Against,For
10,1658936039295,27/07/2022 15:33:59,1658936037244,1,27/07/2022 16:33:57,94050,2,task-lkrz,NA,23334795,6847647,NA,complete,NA,62e15a336ec03f599bc35dd1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1440x900,1440x796,NA,ITT Ratings,3,For,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2hes,batch2hes,7,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2571.900000035763,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to reduce my risk of Covid-19 to protect myself.,1,17/05/2021 10:37,17/05/2021 11:15,2299,Once or twice a year,A few times a year,24,Female,-99,A levels,11,1,Against,For
