Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658935725461,27/07/2022 15:28:45,1658935725094,1,27/07/2022 16:28:45,94050,2,task-mn1e,NA,23334659,6847614,NA,complete,NA,62e15993c08a0bfff2d8eb9a,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,390x844,750x307,NA,ITT Ratings,3,For,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658935726666,27/07/2022 15:28:46,1658935726569,1,27/07/2022 16:28:46,94050,2,task-mn1e,NA,23334659,6847614,NA,complete,NA,62e15993c08a0bfff2d8eb9a,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,390x844,750x307,NA,ITT Ratings,3,For,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,1,1,1,Screen 1,advancementZone,continue_button,1425,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658935729729,27/07/2022 15:28:49,1658935729470,1,27/07/2022 16:28:49,94050,2,task-mn1e,NA,23334659,6847614,NA,complete,NA,62e15993c08a0bfff2d8eb9a,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,390x844,750x307,NA,ITT Ratings,3,For,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,2,1,1,Screen 1,continueButton,response_rating_scale_likert_active,2881,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
4,1658935732923,27/07/2022 15:28:52,1658935732571,1,27/07/2022 16:28:52,94050,2,task-mn1e,NA,23334659,6847614,NA,complete,NA,62e15993c08a0bfff2d8eb9a,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,390x844,750x307,NA,ITT Ratings,3,For,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,36,2,1,Screen 1,continueButton,response_rating_scale_likert_active,3077,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I would prefer a more natural method of treating covid should I catch it,1,17/05/2021 11:15,17/05/2021 11:34,1100,Rarely,Never,28,Female,-99,"Undergraduate degree (BSc, BA)",36,3,Against,Against
5,1658935734085,27/07/2022 15:28:54,1658935734022,1,27/07/2022 16:28:54,94050,2,task-mn1e,NA,23334659,6847614,NA,complete,NA,62e15993c08a0bfff2d8eb9a,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,390x844,750x307,NA,ITT Ratings,3,For,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,49,3,1,Screen 1,continueButton,response_rating_scale_likert_active,1430,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't want to become really ill.,1,17/05/2021 11:32,17/05/2021 11:42,618,Never,Rarely,57,Male,-99,A levels,38,1,Against,For
6,1658935736335,27/07/2022 15:28:56,1658935735756,1,27/07/2022 16:28:55,94050,2,task-mn1e,NA,23334659,6847614,NA,complete,NA,62e15993c08a0bfff2d8eb9a,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,390x844,750x307,NA,ITT Ratings,3,For,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,28,4,1,Screen 1,continueButton,response_rating_scale_likert_active,1711.9999999999982,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine can make you ill with part of the virus where you were otherwise immune anyway,1,17/05/2021 11:26,17/05/2021 11:32,370,Most weeks,Most months,33,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",35,1,Against,Against
7,1658935738815,27/07/2022 15:28:58,1658935738408,1,27/07/2022 16:28:58,94050,2,task-mn1e,NA,23334659,6847614,NA,complete,NA,62e15993c08a0bfff2d8eb9a,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,390x844,750x307,NA,ITT Ratings,3,For,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,30,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2630,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The strand mutates and its pointless takin the risk,1,17/05/2021 11:26,17/05/2021 11:32,370,Most weeks,Most months,33,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",35,3,Against,Against
8,1658935744723,27/07/2022 15:29:04,1658935743994,1,27/07/2022 16:29:03,94050,2,task-mn1e,NA,23334659,6847614,NA,complete,NA,62e15993c08a0bfff2d8eb9a,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,390x844,750x307,NA,ITT Ratings,3,For,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,47,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5561,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,No two adults have had the vaccine then created a baby that has then been born without any issues - there simply has not been enough time so it is impossible to say if that baby would be ok.,1,17/05/2021 11:32,17/05/2021 11:42,618,Never,Rarely,57,Male,-99,A levels,38,2,Against,Against
9,1658935748247,27/07/2022 15:29:08,1658935747212,1,27/07/2022 16:29:07,94050,2,task-mn1e,NA,23334659,6847614,NA,complete,NA,62e15993c08a0bfff2d8eb9a,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,390x844,750x307,NA,ITT Ratings,3,For,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,21,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3196.9999999999964,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,vaccine is the only one way to arrive world beautiful without Covide-19.,1,17/05/2021 10:14,17/05/2021 11:30,4578,Most weeks,A few times a year,30,Female,-99,Vocational Training / Apprenticeship,33,3,Against,For
10,1658935750598,27/07/2022 15:29:10,1658935749180,1,27/07/2022 16:29:09,94050,2,task-mn1e,NA,23334659,6847614,NA,complete,NA,62e15993c08a0bfff2d8eb9a,mobile,Apple iPhone,iOS 15.5,Mobile Safari 15.5,390x844,750x307,NA,ITT Ratings,3,For,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4hes,batch4hes,32,8,1,Screen 1,continueButton,response_rating_scale_likert_active,1948,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Everyone should have the vaccine or thety shouldnt be allowed out in public,1,17/05/2021 11:26,17/05/2021 11:32,370,Most weeks,Most months,33,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",35,2,Against,For
