Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658935616284,27/07/2022 15:26:56,1658935616108,1,27/07/2022 16:26:56,94050,2,task-net4,NA,23334600,6847601,NA,complete,NA,62e1592597d05f14958cf798,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 88.0.4412.85,1280x800,1239x700,NA,ITT Ratings,3,For,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658935618430,27/07/2022 15:26:58,1658935618276,1,27/07/2022 16:26:58,94050,2,task-net4,NA,23334600,6847601,NA,complete,NA,62e1592597d05f14958cf798,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 88.0.4412.85,1280x800,1239x700,NA,ITT Ratings,3,For,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8hes,batch8hes,1,1,1,Screen 1,advancementZone,continue_button,2122.29999999702,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658935622347,27/07/2022 15:27:02,1658935622175,1,27/07/2022 16:27:02,94050,2,task-net4,NA,23334600,6847601,NA,complete,NA,62e1592597d05f14958cf798,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 88.0.4412.85,1280x800,1239x700,NA,ITT Ratings,3,For,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8hes,batch8hes,44,1,1,Screen 1,continueButton,response_rating_scale_likert_active,3879,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,it could stop me ending up in hospital,1,17/05/2021 12:43,17/05/2021 12:54,646,Rarely,Never,58,Female,-99,GCSEs,77,2,Against,For
4,1658935623478,27/07/2022 15:27:03,1658935623327,1,27/07/2022 16:27:03,94050,2,task-net4,NA,23334600,6847601,NA,complete,NA,62e1592597d05f14958cf798,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 88.0.4412.85,1280x800,1239x700,NA,ITT Ratings,3,For,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8hes,batch8hes,27,2,1,Screen 1,continueButton,response_rating_scale_likert_active,1132.9000000059605,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It will allow me to move more freely,1,17/05/2021 12:14,17/05/2021 12:45,1854,Most weeks,Most days,38,Female,-99,"Vocational Training / Apprenticeship,A levels",74,3,Against,For
5,1658935627747,27/07/2022 15:27:07,1658935627612,1,27/07/2022 16:27:07,94050,2,task-net4,NA,23334600,6847601,NA,complete,NA,62e1592597d05f14958cf798,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 88.0.4412.85,1280x800,1239x700,NA,ITT Ratings,3,For,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8hes,batch8hes,34,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4269.399999991059,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Questions on infertility.,1,17/05/2021 12:38,17/05/2021 12:53,872,Rarely,Never,23,Female,-99,A levels,76,1,Against,Against
6,1658935629406,27/07/2022 15:27:09,1658935629263,1,27/07/2022 16:27:09,94050,2,task-net4,NA,23334600,6847601,NA,complete,NA,62e1592597d05f14958cf798,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 88.0.4412.85,1280x800,1239x700,NA,ITT Ratings,3,For,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8hes,batch8hes,38,4,1,Screen 1,continueButton,response_rating_scale_likert_active,1631.7999999970198,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Ability to travel in the future.,1,17/05/2021 12:38,17/05/2021 12:53,872,Rarely,Never,23,Female,-99,A levels,76,2,Against,For
7,1658935632286,27/07/2022 15:27:12,1658935632147,1,27/07/2022 16:27:12,94050,2,task-net4,NA,23334600,6847601,NA,complete,NA,62e1592597d05f14958cf798,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 88.0.4412.85,1280x800,1239x700,NA,ITT Ratings,3,For,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8hes,batch8hes,59,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2867.0999999940395,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,pharmaceutical companies and government want to get rich and control us,1,##########,##########,1258,Most weeks,Most weeks,37,Female,-99,"Undergraduate degree (BSc, BA)",80,2,Against,Against
8,1658935634324,27/07/2022 15:27:14,1658935634183,1,27/07/2022 16:27:14,94050,2,task-net4,NA,23334600,6847601,NA,complete,NA,62e1592597d05f14958cf798,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 88.0.4412.85,1280x800,1239x700,NA,ITT Ratings,3,For,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8hes,batch8hes,16,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2017.800000011921,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I do not trust the vaccine,1,17/05/2021 12:24,17/05/2021 12:44,1203,A few times a year,Rarely,28,Female,-99,A levels,73,1,Against,Against
9,1658935641860,27/07/2022 15:27:21,1658935641719,1,27/07/2022 16:27:21,94050,2,task-net4,NA,23334600,6847601,NA,complete,NA,62e1592597d05f14958cf798,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 88.0.4412.85,1280x800,1239x700,NA,ITT Ratings,3,For,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8hes,batch8hes,6,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7518.29999999702,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Other trials such as that for thalidomide that were rushed provide an example of why i should be hesitant to get a jab so soon,1,17/05/2021 12:20,17/05/2021 12:39,1161,Rarely,A few times a year,35,Female,-99,"Undergraduate degree (BSc, BA)",71,3,Against,Against
10,1658935650396,27/07/2022 15:27:30,1658935650241,1,27/07/2022 16:27:30,94050,2,task-net4,NA,23334600,6847601,NA,complete,NA,62e1592597d05f14958cf798,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 88.0.4412.85,1280x800,1239x700,NA,ITT Ratings,3,For,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8hes,batch8hes,15,8,1,Screen 1,continueButton,response_rating_scale_likert_active,8504.699999988079,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Even if one is not vulnerable to the virus, getting vaccinated will reduce community transmission and therefore protect those who are.",1,17/05/2021 12:04,17/05/2021 12:41,2201,Most weeks,Rarely,22,Male,-99,"Undergraduate degree (BSc, BA)",72,3,Against,For
