Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658935586637,27/07/2022 15:26:26,1658935586486,1,27/07/2022 16:26:26,94050,2,task-s8ki,NA,23334589,6847593,NA,complete,NA,62e158dc842136a7fb99a215,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1280x800,1280x721,NA,ITT Ratings,3,For,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658935596151,27/07/2022 15:26:36,1658935596033,1,27/07/2022 16:26:36,94050,2,task-s8ki,NA,23334589,6847593,NA,complete,NA,62e158dc842136a7fb99a215,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1280x800,1280x721,NA,ITT Ratings,3,For,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,1,1,1,Screen 1,advancementZone,continue_button,9502.5,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658935609357,27/07/2022 15:26:49,1658935609219,1,27/07/2022 16:26:49,94050,2,task-s8ki,NA,23334589,6847593,NA,complete,NA,62e158dc842136a7fb99a215,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1280x800,1280x721,NA,ITT Ratings,3,For,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,9,1,1,Screen 1,continueButton,response_rating_scale_likert_active,13169.700000001118,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to get back to 'normal'.,1,17/05/2021 11:27,17/05/2021 11:58,1838,Rarely,Most days,59,Female,-99,"Undergraduate degree (BSc, BA)",51,3,Against,For
4,1658935614419,27/07/2022 15:26:54,1658935614296,1,27/07/2022 16:26:54,94050,2,task-s8ki,NA,23334589,6847593,NA,complete,NA,62e158dc842136a7fb99a215,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1280x800,1280x721,NA,ITT Ratings,3,For,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,55,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5054.4000000003725,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to help by being vaccinated,1,17/05/2021 11:59,17/05/2021 12:15,955,Most months,Rarely,58,Female,-99,"GCSEs,A levels",59,1,Against,For
5,1658935624464,27/07/2022 15:27:04,1658935624350,1,27/07/2022 16:27:04,94050,2,task-s8ki,NA,23334589,6847593,NA,complete,NA,62e158dc842136a7fb99a215,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1280x800,1280x721,NA,ITT Ratings,3,For,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,41,3,1,Screen 1,continueButton,response_rating_scale_likert_active,10041,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Vaccines developed too quickly so not safe or trustworthy,1,17/05/2021 11:49,17/05/2021 12:07,1067,Most weeks,Most months,29,Female,-99,"Undergraduate degree (BSc, BA)",57,2,Against,Against
6,1658935629902,27/07/2022 15:27:09,1658935629783,1,27/07/2022 16:27:09,94050,2,task-s8ki,NA,23334589,6847593,NA,complete,NA,62e158dc842136a7fb99a215,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1280x800,1280x721,NA,ITT Ratings,3,For,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,28,4,1,Screen 1,continueButton,response_rating_scale_likert_active,5418.5999999996275,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,People have died from taking the vaccine who would otherwise still be here today.,1,17/05/2021 11:40,17/05/2021 12:02,1360,Rarely,Rarely,49,Female,-99,"Undergraduate degree (BSc, BA)",55,1,Against,Against
7,1658935637844,27/07/2022 15:27:17,1658935637728,1,27/07/2022 16:27:17,94050,2,task-s8ki,NA,23334589,6847593,NA,complete,NA,62e158dc842136a7fb99a215,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1280x800,1280x721,NA,ITT Ratings,3,For,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,29,5,1,Screen 1,continueButton,response_rating_scale_likert_active,7930.4000000003725,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"We don't yet know if there are any long term side effect of the vaccine, or how long it will stay effective, there just hasn't been time to test any of this.",1,17/05/2021 11:40,17/05/2021 12:02,1360,Rarely,Rarely,49,Female,-99,"Undergraduate degree (BSc, BA)",55,2,Against,Against
8,1658935642795,27/07/2022 15:27:22,1658935642686,1,27/07/2022 16:27:22,94050,2,task-s8ki,NA,23334589,6847593,NA,complete,NA,62e158dc842136a7fb99a215,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1280x800,1280x721,NA,ITT Ratings,3,For,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,25,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4943.0999999996275,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Its a deadly disease,1,17/05/2021 11:50,17/05/2021 12:02,717,Most days,Most days,47,Female,-99,"Undergraduate degree (BSc, BA)",54,1,Against,For
9,1658935646766,27/07/2022 15:27:26,1658935646648,1,27/07/2022 16:27:26,94050,2,task-s8ki,NA,23334589,6847593,NA,complete,NA,62e158dc842136a7fb99a215,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1280x800,1280x721,NA,ITT Ratings,3,For,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,42,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3948.2000000011176,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Don't believe COVID-19 is real,1,17/05/2021 11:49,17/05/2021 12:07,1067,Most weeks,Most months,29,Female,-99,"Undergraduate degree (BSc, BA)",57,3,Against,Against
10,1658935658124,27/07/2022 15:27:38,1658935658006,1,27/07/2022 16:27:38,94050,2,task-s8ki,NA,23334589,6847593,NA,complete,NA,62e158dc842136a7fb99a215,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1280x800,1280x721,NA,ITT Ratings,3,For,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6hes,batch6hes,53,8,1,Screen 1,continueButton,response_rating_scale_likert_active,11344,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Worried about the side effects that could happen,1,17/05/2021 11:59,17/05/2021 12:15,955,Most months,Rarely,58,Female,-99,"GCSEs,A levels",59,2,Against,Against
