Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Duration,discuss_1,read_1,age,gender,gender_4_TEXT,edu,ID,arg_ID,Position,Arg_Position
1,1658936029278,27/07/2022 15:33:49,1658936029211,1,27/07/2022 16:33:49,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1658936031951,27/07/2022 15:33:51,1658936031925,1,27/07/2022 16:33:51,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,1,1,1,Screen 1,advancementZone,continue_button,2685.4000000059605,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1658936038927,27/07/2022 15:33:58,1658936038909,1,27/07/2022 16:33:58,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,23,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6973.70000000298,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Rushed vaccine and pushed on people to have it,1,17/05/2021 12:56,17/05/2021 13:02,334,Rarely,Rarely,29,Female,-99,Vocational Training / Apprenticeship,84,2,Against,Against
4,1658936048652,27/07/2022 15:34:08,1658936048613,1,27/07/2022 16:34:08,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,52,2,1,Screen 1,continueButton,response_rating_scale_likert_active,9694.59999999404,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I do not believe in Covid 19,1,17/05/2021 12:55,17/05/2021 13:08,764,Most months,Most weeks,40,Female,-99,A levels,89,1,Against,Against
5,1658936053950,27/07/2022 15:34:13,1658936053924,1,27/07/2022 16:34:13,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,15,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5303.199999988079,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want everything to go back to normal,1,17/05/2021 12:51,17/05/2021 12:58,428,Most weeks,Most months,20,Female,-99,A levels,82,3,Against,For
6,1658936061147,27/07/2022 15:34:21,1658936061124,1,27/07/2022 16:34:21,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,56,4,1,Screen 1,continueButton,response_rating_scale_likert_active,7191.79999999702,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I do not want to get covid19,1,17/05/2021 12:55,17/05/2021 13:08,764,Most months,Most weeks,40,Female,-99,A levels,89,2,Against,For
7,1658936067436,27/07/2022 15:34:27,1658936067420,1,27/07/2022 16:34:27,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,21,5,1,Screen 1,continueButton,response_rating_scale_likert_active,6288.0999999940395,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To be safe from any infections,1,17/05/2021 12:50,17/05/2021 13:00,608,Rarely,Rarely,32,Male,-99,GCSEs,83,3,Against,For
8,1658936071005,27/07/2022 15:34:31,1658936070988,1,27/07/2022 16:34:30,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,59,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3560,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Some people have experienced bad side effects even death,1,17/05/2021 12:51,17/05/2021 13:08,1010,Rarely,Rarely,31,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",90,2,Against,Against
9,1658936078751,27/07/2022 15:34:38,1658936078732,1,27/07/2022 16:34:38,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,35,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7735.800000011921,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I do not want to put foreign substances into my body and would rather rely on building my immune system naturally.,1,17/05/2021 12:51,17/05/2021 13:05,836,Rarely,A few times a year,33,Female,-99,"Undergraduate degree (BSc, BA)",86,2,Against,Against
10,1658936082694,27/07/2022 15:34:42,1658936082676,1,27/07/2022 16:34:42,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,7,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3936.6000000089407,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It will mean shops can open,1,17/05/2021 12:50,17/05/2021 12:55,305,Never,Never,32,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",81,1,Against,For
11,1658936088551,27/07/2022 15:34:48,1658936088532,1,27/07/2022 16:34:48,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,43,9,1,Screen 1,continueButton,response_rating_scale_likert_active,5848.5999999940395,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I believe everything the government and MSM tells me without question,1,17/05/2021 13:02,17/05/2021 13:07,303,Rarely,Most weeks,47,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",87,1,Against,For
12,1658936093896,27/07/2022 15:34:53,1658936093852,1,27/07/2022 16:34:53,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,36,10,1,Screen 1,continueButton,response_rating_scale_likert_active,5312.5999999940395,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I do not trust the pharmaceutical companies producing the vaccines, nor the government, who are pushing them.",1,17/05/2021 12:51,17/05/2021 13:05,836,Rarely,A few times a year,33,Female,-99,"Undergraduate degree (BSc, BA)",86,3,Against,Against
13,1658936099131,27/07/2022 15:34:59,1658936099116,1,27/07/2022 16:34:59,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,53,11,1,Screen 1,continueButton,response_rating_scale_likert_active,5249.5,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I trust my own immune system,1,17/05/2021 12:55,17/05/2021 13:08,764,Most months,Most weeks,40,Female,-99,A levels,89,2,Against,Against
14,1658936109044,27/07/2022 15:35:09,1658936109027,1,27/07/2022 16:35:09,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,28,12,1,Screen 1,continueButton,response_rating_scale_likert_active,9903.10000000894,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,there have been more deaths from adverse reactions to vaccines from this vaccine than any others within the last 20 years,1,17/05/2021 12:56,17/05/2021 13:03,426,Most weeks,Most weeks,37,Female,-99,"Undergraduate degree (BSc, BA)",85,1,Against,Against
15,1658936111752,27/07/2022 15:35:11,1658936111723,1,27/07/2022 16:35:11,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,11,13,1,Screen 1,continueButton,response_rating_scale_likert_active,2689.20000000298,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't like having vaccinations,1,17/05/2021 12:51,17/05/2021 12:58,428,Most weeks,Most months,20,Female,-99,A levels,82,2,Against,Against
16,1658936115517,27/07/2022 15:35:15,1658936115499,1,27/07/2022 16:35:15,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,5,14,1,Screen 1,continueButton,response_rating_scale_likert_active,3768.900000005961,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,People get blood clots from it so it's unsafe to have,1,17/05/2021 12:50,17/05/2021 12:55,305,Never,Never,32,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",81,2,Against,Against
17,1658936119800,27/07/2022 15:35:19,1658936119771,1,27/07/2022 16:35:19,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,39,15,1,Screen 1,continueButton,response_rating_scale_likert_active,4264.70000000298,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Peer pressure. my friends have taken it, so I believe I should too.",1,17/05/2021 12:51,17/05/2021 13:05,836,Rarely,A few times a year,33,Female,-99,"Undergraduate degree (BSc, BA)",86,3,Against,For
18,1658936123000,27/07/2022 15:35:23,1658936122971,1,27/07/2022 16:35:22,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,17,16,1,Screen 1,continueButton,response_rating_scale_likert_active,3193.699999988079,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,What if something happens to you,1,17/05/2021 12:50,17/05/2021 13:00,608,Rarely,Rarely,32,Male,-99,GCSEs,83,2,Against,Against
19,1658936130987,27/07/2022 15:35:30,1658936130955,1,27/07/2022 16:35:30,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,61,17,1,Screen 1,continueButton,response_rating_scale_likert_active,7977,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine has gone through 3 trials where it was tested on thousands of people before coming into the market,1,17/05/2021 12:51,17/05/2021 13:08,1010,Rarely,Rarely,31,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",90,1,Against,For
20,1658936133766,27/07/2022 15:35:33,1658936133739,1,27/07/2022 16:35:33,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,22,18,1,Screen 1,continueButton,response_rating_scale_likert_active,2777.4000000059605,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Not enough trials on different people and ages,1,17/05/2021 12:56,17/05/2021 13:02,334,Rarely,Rarely,29,Female,-99,Vocational Training / Apprenticeship,84,1,Against,Against
21,1658936136886,27/07/2022 15:35:36,1658936136867,1,27/07/2022 16:35:36,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,55,19,1,Screen 1,continueButton,response_rating_scale_likert_active,3120.79999999702,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It's selfish not to get one. Think of others.,1,17/05/2021 12:55,17/05/2021 13:08,764,Most months,Most weeks,40,Female,-99,A levels,89,1,Against,For
22,1658936145636,27/07/2022 15:35:45,1658936145611,1,27/07/2022 16:35:45,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,24,20,1,Screen 1,continueButton,response_rating_scale_likert_active,8736.90000000596,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Not enough proof Covid-19 was as bad as the world made out,1,17/05/2021 12:56,17/05/2021 13:02,334,Rarely,Rarely,29,Female,-99,Vocational Training / Apprenticeship,84,3,Against,Against
23,1658936150882,27/07/2022 15:35:50,1658936150859,1,27/07/2022 16:35:50,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,58,21,1,Screen 1,continueButton,response_rating_scale_likert_active,5240.300000011921,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine was formed to quickly,1,17/05/2021 12:51,17/05/2021 13:08,1010,Rarely,Rarely,31,Female,-99,"Postgraduate degree (MSc, MA, MPhil)",90,1,Against,Against
24,1658936154953,27/07/2022 15:35:54,1658936154939,1,27/07/2022 16:35:54,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,20,22,1,Screen 1,continueButton,response_rating_scale_likert_active,4073.599999994039,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To be able to travel abroad,1,17/05/2021 12:50,17/05/2021 13:00,608,Rarely,Rarely,32,Male,-99,GCSEs,83,2,Against,For
25,1658936156557,27/07/2022 15:35:56,1658936156539,1,27/07/2022 16:35:56,94050,2,task-xidh,NA,23334851,6847675,NA,complete,NA,62e15ac70c5ed5ab9be59362,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,1920x1080,1920x969,NA,ITT Ratings,3,For,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9hes,batch9hes,27,23,1,Screen 1,continueButton,response_rating_scale_likert_active,1592.7000000029802,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Want to travel abroad,1,17/05/2021 12:56,17/05/2021 13:02,334,Rarely,Rarely,29,Female,-99,Vocational Training / Apprenticeship,84,3,Against,For
