Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651663759741,04/05/2022 11:29:19,1651663762580,1,04/05/2022 12:29:22,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651663761124,04/05/2022 11:29:21,1651663763979,1,04/05/2022 12:29:23,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,1,1,1,Screen 1,advancementZone,continue_button,1277.5,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651663770931,04/05/2022 11:29:30,1651663773801,1,04/05/2022 12:29:33,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,48,1,1,Screen 1,continueButton,response_rating_scale_likert_active,9719.700000047684,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To trade easily with other EU counties.,1,4/4/22,4/4/22,R_w6JNZ3vG8dodUFH,YES,Leave (For Brexit),Undecided,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,48,3,Leave,Remain
4,1651663778220,04/05/2022 11:29:38,1651663781075,1,04/05/2022 12:29:41,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,19,2,1,Screen 1,continueButton,response_rating_scale_likert_active,7155.200000047684,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,immigration control- being part of EU has made the country over crowded,1,4/4/22,4/4/22,R_3L07aq1mB3qS0gQ,YES,Leave (For Brexit),Confident,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Rarely,A few times a year,28,Male,NA,"Undergraduate degree (BSc, BA)",NA,43,1,Leave,Leave
5,1651663780642,04/05/2022 11:29:40,1651663783507,1,04/05/2022 12:29:43,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,17,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2323.2000000476837,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,There is good access to the markets within the EU,1,4/4/22,4/4/22,R_3L07aq1mB3qS0gQ,YES,Leave (For Brexit),Confident,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Rarely,A few times a year,28,Male,NA,"Undergraduate degree (BSc, BA)",NA,43,2,Leave,Remain
6,1651663783345,04/05/2022 11:29:43,1651663786245,1,04/05/2022 12:29:46,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,27,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2636.7000000476837,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To help control our own economy and create more job opportunites for our people,1,4/4/22,4/4/22,R_1g2BXhU0g1nPzsH,YES,Leave (For Brexit),Undecided,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,40,Female,NA,"Undergraduate degree (BSc, BA)",NA,44,3,Leave,Leave
7,1651663786517,04/05/2022 11:29:46,1651663789392,1,04/05/2022 12:29:49,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,8,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3052.400000095367,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To work on Britain and focus on our country,1,4/4/22,4/4/22,R_xxSYhMfOkldbJ7P,YES,Leave (For Brexit),Undecided,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Never,Never,26,Female,NA,Vocational Training / Apprenticeship,NA,41,2,Leave,Leave
8,1651663789127,04/05/2022 11:29:49,1651663792001,1,04/05/2022 12:29:52,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,36,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2510,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,No freedom of movement,1,4/4/22,4/4/22,R_1j6sJuOAAZ1cXvR,YES,Leave (For Brexit),Undecided,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Never,65,Female,NA,"Undergraduate degree (BSc, BA)",NA,46,3,Leave,Remain
9,1651663790954,04/05/2022 11:29:50,1651663793839,1,04/05/2022 12:29:53,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,33,7,1,Screen 1,continueButton,response_rating_scale_likert_active,1713.1000001430511,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Less immigration or controlled immigration,1,4/4/22,4/4/22,R_3npJCTxmbAmRamd,YES,Leave (For Brexit),Confident,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Rarely,35,Female,NA,"Undergraduate degree (BSc, BA)",NA,45,3,Leave,Leave
10,1651663794843,04/05/2022 11:29:54,1651663797712,1,04/05/2022 12:29:57,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,53,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3744.100000143051,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Could be easier for the country to get food/goods,1,4/4/22,4/4/22,R_DquVyF8cSMfvCyB,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,22,Female,NA,A levels,NA,49,2,Leave,Remain
11,1651663798847,04/05/2022 11:29:58,1651663801721,1,04/05/2022 12:30:01,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,13,9,1,Screen 1,continueButton,response_rating_scale_likert_active,3906.700000047684,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Our own laws which had been eroded,1,4/4/22,4/4/22,R_3ffVTR74dP08UbK,YES,Leave (For Brexit),Very confident,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Most months,59,Male,NA,GCSEs,NA,42,1,Leave,Leave
12,1651663801268,04/05/2022 11:30:01,1651663804145,1,04/05/2022 12:30:04,85800,13,task-39lm,NA,21661850,6404832,NA,complete,NA,627263623e4f1f64f51a0c29,mobile,Huawei BKL-L09,Android 10,Chrome 101.0.4951.41,848x424,801x292,NA,ITT Ratings,4,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,9,10,1,Screen 1,continueButton,response_rating_scale_likert_active,2320.199999809265,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,'-To have more control of our laws and regulations and the security of Britain,1,4/4/22,4/4/22,R_xxSYhMfOkldbJ7P,YES,Leave (For Brexit),Undecided,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Never,Never,26,Female,NA,Vocational Training / Apprenticeship,NA,41,3,Leave,Leave
