Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651663320918,04/05/2022 11:22:00,1651663320723,1,04/05/2022 12:22:00,85800,13,task-7ecc,NA,21661656,6404771,NA,complete,NA,627261a32b77b2ce280c23e0,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x960,1440x817,NA,ITT Ratings,4,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651663326631,04/05/2022 11:22:06,1651663326484,1,04/05/2022 12:22:06,85800,13,task-7ecc,NA,21661656,6404771,NA,complete,NA,627261a32b77b2ce280c23e0,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x960,1440x817,NA,ITT Ratings,4,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,1,1,1,Screen 1,advancementZone,continue_button,5696.899999999907,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651663330523,04/05/2022 11:22:10,1651663330366,1,04/05/2022 12:22:10,85800,13,task-7ecc,NA,21661656,6404771,NA,complete,NA,627261a32b77b2ce280c23e0,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x960,1440x817,NA,ITT Ratings,4,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,32,1,1,Screen 1,continueButton,response_rating_scale_likert_active,3841.600000000093,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,British should learn to produce their own rather than being dependent on other countries.,1,4/4/22,4/4/22,R_2R7VAlMJR7Rd1Wt,YES,Leave (For Brexit),Very confident,Somewhat Agree,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,A few times a year,A few times a year,59,Female,NA,"Undergraduate degree (BSc, BA)",none,65,2,Leave,Leave
4,1651663333677,04/05/2022 11:22:13,1651663333538,1,04/05/2022 12:22:13,85800,13,task-7ecc,NA,21661656,6404771,NA,complete,NA,627261a32b77b2ce280c23e0,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x960,1440x817,NA,ITT Ratings,4,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,48,2,1,Screen 1,continueButton,response_rating_scale_likert_active,3129.399999999907,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We need people from EU to work here,1,4/4/22,4/4/22,R_UtfZ10PYGzZkPuh,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Once or twice a year,54,Female,NA,Vocational Training / Apprenticeship,NA,68,3,Leave,Remain
5,1651663341755,04/05/2022 11:22:21,1651663341490,1,04/05/2022 12:22:21,85800,13,task-7ecc,NA,21661656,6404771,NA,complete,NA,627261a32b77b2ce280c23e0,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x960,1440x817,NA,ITT Ratings,4,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,10,3,1,Screen 1,continueButton,response_rating_scale_likert_active,7928,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We are far better of in the EU because of our human rights,1,4/4/22,4/4/22,R_1q2urxVfC20lVq0,YES,Leave (For Brexit),Very Doubtful,Strongly agree,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Most days,54,Male,NA,GCSEs,NA,62,1,Leave,Remain
6,1651663350253,04/05/2022 11:22:30,1651663350114,1,04/05/2022 12:22:30,85800,13,task-7ecc,NA,21661656,6404771,NA,complete,NA,627261a32b77b2ce280c23e0,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x960,1440x817,NA,ITT Ratings,4,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,45,4,1,Screen 1,continueButton,response_rating_scale_likert_active,8359.600000000093,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Control our own borders without being told who we can and canât let in to the country,1,4/4/22,4/4/22,R_QnRW9n14PYzxmYF,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,A few times a year,33,Female,NA,GCSEs,NA,67,3,Leave,Leave
7,1651663358657,04/05/2022 11:22:38,1651663358521,1,04/05/2022 12:22:38,85800,13,task-7ecc,NA,21661656,6404771,NA,complete,NA,627261a32b77b2ce280c23e0,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x960,1440x817,NA,ITT Ratings,4,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,30,5,1,Screen 1,continueButton,response_rating_scale_likert_active,8371.300000000047,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Free movement in European countries & we can be an ally for any safety.,1,4/4/22,4/4/22,R_2R7VAlMJR7Rd1Wt,YES,Leave (For Brexit),Very confident,Somewhat Agree,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,A few times a year,A few times a year,59,Female,NA,"Undergraduate degree (BSc, BA)",none,65,3,Leave,Remain
8,1651663363247,04/05/2022 11:22:43,1651663363040,1,04/05/2022 12:22:43,85800,13,task-7ecc,NA,21661656,6404771,NA,complete,NA,627261a32b77b2ce280c23e0,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x960,1440x817,NA,ITT Ratings,4,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,12,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4488.699999999953,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The EU would have helped the farmers a lot better,1,4/4/22,4/4/22,R_1q2urxVfC20lVq0,YES,Leave (For Brexit),Very Doubtful,Strongly agree,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Most days,54,Male,NA,GCSEs,NA,62,3,Leave,Remain
9,1651663367868,04/05/2022 11:22:47,1651663367652,1,04/05/2022 12:22:47,85800,13,task-7ecc,NA,21661656,6404771,NA,complete,NA,627261a32b77b2ce280c23e0,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x960,1440x817,NA,ITT Ratings,4,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,54,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4598.699999999953,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Guarantees on trade with the EU,1,4/4/22,4/4/22,R_dj1P33nr0XG28aR,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Agree,NA,NA,NA,Once or twice a year,Rarely,28,Female,NA,"Undergraduate degree (BSc, BA)",NA,69,3,Leave,Remain
10,1651663375615,04/05/2022 11:22:55,1651663375315,1,04/05/2022 12:22:55,85800,13,task-7ecc,NA,21661656,6404771,NA,complete,NA,627261a32b77b2ce280c23e0,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1440x960,1440x817,NA,ITT Ratings,4,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,25,8,1,Screen 1,continueButton,response_rating_scale_likert_active,7646.700000000186,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"independence, this country is strong enough to act on it's own and do fair deals with the rest of the world outside of the EU. The Eu has a lot of control over what the UK and it's citizens do",1,4/4/22,4/4/22,R_2U9GoAxjppvnGX2,YES,Leave (For Brexit),Somewhat doubtful,Somewhat Agree,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Never,Never,48,Female,NA,A levels,NA,64,1,Leave,Leave
