Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651663246595,04/05/2022 11:20:46,1651663246464,1,04/05/2022 12:20:46,85800,13,task-8jq2,NA,21661624,6404760,NA,complete,NA,62726150a069814865f956a3,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1537x864,1536x722,NA,ITT Ratings,4,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651663256510,04/05/2022 11:20:56,1651663256438,1,04/05/2022 12:20:56,85800,13,task-8jq2,NA,21661624,6404760,NA,complete,NA,62726150a069814865f956a3,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1537x864,1519x722,NA,ITT Ratings,4,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,1,1,1,Screen 1,advancementZone,continue_button,9905.099999904633,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651663264002,04/05/2022 11:21:04,1651663263930,1,04/05/2022 12:21:03,85800,13,task-8jq2,NA,21661624,6404760,NA,complete,NA,62726150a069814865f956a3,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1537x864,1519x722,NA,ITT Ratings,4,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,21,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7467.099999904633,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We are open to trade with the rest of the world freely,1,4/4/22,4/4/22,R_1pXXw5aZLJJLDtW,YES,Leave (For Brexit),Somewhat doubtful,Neither Agree nor Disagree,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Never,50,Female,NA,"Undergraduate degree (BSc, BA)",NA,23,3,Leave,Leave
4,1651663276161,04/05/2022 11:21:16,1651663276085,1,04/05/2022 12:21:16,85800,13,task-8jq2,NA,21661624,6404760,NA,complete,NA,62726150a069814865f956a3,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1537x864,1519x722,NA,ITT Ratings,4,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,10,2,1,Screen 1,continueButton,response_rating_scale_likert_active,12135.600000143051,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,for the UK to keep freedom of movement,1,4/4/22,4/4/22,R_sdKqiBeL6F5YBiN,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Most months,Most weeks,61,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,22,1,Leave,Remain
5,1651663294686,04/05/2022 11:21:34,1651663294583,1,04/05/2022 12:21:34,85800,13,task-8jq2,NA,21661624,6404760,NA,complete,NA,62726150a069814865f956a3,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1537x864,1519x722,NA,ITT Ratings,4,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,29,3,1,Screen 1,continueButton,response_rating_scale_likert_active,18483.89999985695,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,all the issues that we would have by leaving like import and export issues,1,4/4/22,4/4/22,R_2475Fmdq30XprWM,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Once or twice a year,A few times a year,56,Female,NA,"Undergraduate degree (BSc, BA)",NA,25,2,Leave,Remain
6,1651663299239,04/05/2022 11:21:39,1651663299171,1,04/05/2022 12:21:39,85800,13,task-8jq2,NA,21661624,6404760,NA,complete,NA,62726150a069814865f956a3,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1537x864,1519x722,NA,ITT Ratings,4,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,36,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4572.900000095367,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Better to be part of Europe as safety in numbers,1,4/4/22,4/4/22,R_3JK8J4XNzALQVpJ,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,NA,NA,NA,Rarely,Rarely,58,Female,NA,GCSEs,NA,26,3,Leave,Remain
7,1651663308234,04/05/2022 11:21:48,1651663308142,1,04/05/2022 12:21:48,85800,13,task-8jq2,NA,21661624,6404760,NA,complete,NA,62726150a069814865f956a3,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1537x864,1519x722,NA,ITT Ratings,4,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,6,5,1,Screen 1,continueButton,response_rating_scale_likert_active,8959.400000095367,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The amount of money stated by the government to be saved by braking away is severely overstated,1,4/4/22,4/4/22,R_2Cmnv2XovZD8gTQ,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,A few times a year,36,Female,NA,A levels,NA,21,3,Leave,Remain
8,1651663314770,04/05/2022 11:21:54,1651663314701,1,04/05/2022 12:21:54,85800,13,task-8jq2,NA,21661624,6404760,NA,complete,NA,62726150a069814865f956a3,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1537x864,1519x722,NA,ITT Ratings,4,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,33,6,1,Screen 1,continueButton,response_rating_scale_likert_active,6540.899999856949,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"dealing with immigration, having our own immigration act",1,4/4/22,4/4/22,R_2475Fmdq30XprWM,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Once or twice a year,A few times a year,56,Female,NA,"Undergraduate degree (BSc, BA)",NA,25,3,Leave,Leave
9,1651663317676,04/05/2022 11:21:57,1651663317612,1,04/05/2022 12:21:57,85800,13,task-8jq2,NA,21661624,6404760,NA,complete,NA,62726150a069814865f956a3,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1537x864,1519x722,NA,ITT Ratings,4,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,48,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2897.400000095367,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,For financial reasons,1,4/4/22,4/4/22,R_3I0KGIltQFTRTft,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,48,Female,NA,A levels,No thanks,28,3,Leave,Remain
10,1651663322313,04/05/2022 11:22:02,1651663322246,1,04/05/2022 12:22:02,85800,13,task-8jq2,NA,21661624,6404760,NA,complete,NA,62726150a069814865f956a3,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1537x864,1519x722,NA,ITT Ratings,4,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,41,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4620.700000047684,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,People might not want things to change,1,4/4/22,4/4/22,R_3MgSipV6HeXUEyN,YES,Leave (For Brexit),Undecided,Somewhat Agree,NA,Disagree,Strongly Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Most weeks,27,Female,NA,A levels,N/A,27,2,Leave,Remain
