Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651664016676,04/05/2022 11:33:36,1651664029833,1,04/05/2022 12:33:49,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651664023015,04/05/2022 11:33:43,1651664036134,1,04/05/2022 12:33:56,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,1,1,1,Screen 1,advancementZone,continue_button,6226.5,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651664031617,04/05/2022 11:33:51,1651664044793,1,04/05/2022 12:34:04,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,10,1,1,Screen 1,continueButton,response_rating_scale_likert_active,8610.899999976158,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Why change the system we have now,1,4/4/22,4/4/22,R_33DMgPNFbBdYA5Q,YES,Leave (For Brexit),Undecided,Somewhat Disagree,NA,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Rarely,Once or twice a year,34,Female,NA,GCSEs,NA,82,1,Leave,Remain
4,1651664039516,04/05/2022 11:33:59,1651664052608,1,04/05/2022 12:34:12,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,59,2,1,Screen 1,continueButton,response_rating_scale_likert_active,7774.200000017881,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Don't want costs of export to increase,1,4/4/22,4/4/22,R_31uVqVKqrZUTf0I,YES,Leave (For Brexit),Confident,Somewhat Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,42,Female,NA,A levels,NA,90,2,Leave,Remain
5,1651664047094,04/05/2022 11:34:07,1651664060285,1,04/05/2022 12:34:20,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,50,3,1,Screen 1,continueButton,response_rating_scale_likert_active,7635.40000000596,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Make financial situation in UK better,1,4/4/22,4/4/22,R_1Hnk42Xw42nEPbr,YES,Leave (For Brexit),Undecided,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Rarely,Rarely,34,Female,NA,"Undergraduate degree (BSc, BA)",NA,88,2,Leave,Leave
6,1651664054777,04/05/2022 11:34:14,1651664067894,1,04/05/2022 12:34:27,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,57,4,1,Screen 1,continueButton,response_rating_scale_likert_active,7570.699999988079,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"The U.K economy, I believe the European Union is taking money from The United Kingdom, I think thats what some papers were saying",1,4/4/22,4/4/22,R_1o21SjZrRU5YlJn,YES,Leave (For Brexit),Somewhat doubtful,Somewhat Agree,NA,Disagree,Neither Agree nor Disagree,Disagree,NA,NA,NA,Somewhat Disagree,Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,A few times a year,41,Female,NA,GCSEs,NA,89,3,Leave,Leave
7,1651664062611,04/05/2022 11:34:22,1651664075799,1,04/05/2022 12:34:35,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,36,5,1,Screen 1,continueButton,response_rating_scale_likert_active,7868.699999988079,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Hassle free travel and movement for British citizens around the EU.,1,4/4/22,4/4/22,R_3D7L628uVfe1r0f,YES,Leave (For Brexit),Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,A few times a year,61,Female,NA,"Undergraduate degree (BSc, BA)",NA,86,3,Leave,Remain
8,1651664068131,04/05/2022 11:34:28,1651664081331,1,04/05/2022 12:34:41,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,19,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5492.899999976158,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Promised more money for NHS,1,4/4/22,4/4/22,R_3lL9RP1ZNIykKGE,YES,Leave (For Brexit),Very Doubtful,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,37,Female,NA,"Undergraduate degree (BSc, BA)",I voted leave due to empty promises but would not make that decision now.,83,1,Leave,Leave
9,1651664071410,04/05/2022 11:34:31,1651664084596,1,04/05/2022 12:34:44,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,6,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3225.7000000178814,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,For freedom to travel in europe,1,4/4/22,4/4/22,R_urZJc5QT1nHMZa1,YES,Leave (For Brexit),Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most months,A few times a year,46,Female,NA,"Undergraduate degree (BSc, BA)",NA,81,3,Leave,Remain
10,1651664079397,04/05/2022 11:34:39,1651664092549,1,04/05/2022 12:34:52,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,21,8,1,Screen 1,continueButton,response_rating_scale_likert_active,7916.200000017881,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would be more self sufficient with stocking our own meat and crops,1,4/4/22,4/4/22,R_3lL9RP1ZNIykKGE,YES,Leave (For Brexit),Very Doubtful,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,37,Female,NA,"Undergraduate degree (BSc, BA)",I voted leave due to empty promises but would not make that decision now.,83,3,Leave,Leave
11,1651664085953,04/05/2022 11:34:45,1651664099143,1,04/05/2022 12:34:59,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,7,9,1,Screen 1,continueButton,response_rating_scale_likert_active,6550.5,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,economy that we will be come a stronger nation by leaving,1,4/4/22,4/4/22,R_urZJc5QT1nHMZa1,YES,Leave (For Brexit),Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most months,A few times a year,46,Female,NA,"Undergraduate degree (BSc, BA)",NA,81,1,Leave,Leave
12,1651664090246,04/05/2022 11:34:50,1651664103441,1,04/05/2022 12:35:03,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,11,10,1,Screen 1,continueButton,response_rating_scale_likert_active,4263.700000017881,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We do not know the repercussions of leaving,1,4/4/22,4/4/22,R_33DMgPNFbBdYA5Q,YES,Leave (For Brexit),Undecided,Somewhat Disagree,NA,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Rarely,Once or twice a year,34,Female,NA,GCSEs,NA,82,2,Leave,Remain
13,1651664095147,04/05/2022 11:34:55,1651664108333,1,04/05/2022 12:35:08,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,34,11,1,Screen 1,continueButton,response_rating_scale_likert_active,4358.5,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The advantages of being a part of the EU block and itâs negotiating power.,1,4/4/22,4/4/22,R_3D7L628uVfe1r0f,YES,Leave (For Brexit),Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,A few times a year,61,Female,NA,"Undergraduate degree (BSc, BA)",NA,86,1,Leave,Remain
14,1651664098880,04/05/2022 11:34:58,1651664112073,1,04/05/2022 12:35:12,85800,13,task-au9x,NA,21662040,6404885,NA,complete,NA,62726452720aee4f2d16e535,computer,Desktop or Laptop,Windows 8.1,Chrome 100.0.4896.127,1366x768,1366x625,NA,ITT Ratings,4,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_leavers,batch9_leavers,9,12,1,Screen 1,continueButton,response_rating_scale_likert_active,3699.599999994039,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"cost of living, should reduce the cost of living",1,4/4/22,4/4/22,R_urZJc5QT1nHMZa1,YES,Leave (For Brexit),Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most months,A few times a year,46,Female,NA,"Undergraduate degree (BSc, BA)",NA,81,3,Leave,Leave
