Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651663901772,04/05/2022 11:31:41,1651663901691,1,04/05/2022 12:31:41,85800,13,task-iytf,NA,21661942,6404858,NA,complete,NA,627263e9c7d499a185db16fd,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x320,NA,ITT Ratings,4,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651663908683,04/05/2022 11:31:48,1651663908677,1,04/05/2022 12:31:48,85800,13,task-iytf,NA,21661942,6404858,NA,complete,NA,627263e9c7d499a185db16fd,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x320,NA,ITT Ratings,4,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,1,1,1,Screen 1,advancementZone,continue_button,6960,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651663924192,04/05/2022 11:32:04,1651663924190,1,04/05/2022 12:32:04,85800,13,task-iytf,NA,21661942,6404858,NA,complete,NA,627263e9c7d499a185db16fd,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x320,NA,ITT Ratings,4,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,8,1,1,Screen 1,continueButton,response_rating_scale_likert_active,15492,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Fishing rights in our waters will be given back to uk fishermen,1,4/4/22,4/4/22,R_3PpD9tjETIgZdIR,YES,Leave (For Brexit),Confident,Somewhat Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Never,Never,56,Female,NA,GCSEs,NA,51,2,Leave,Leave
4,1651663925106,04/05/2022 11:32:05,1651663925113,1,04/05/2022 12:32:05,85800,13,task-iytf,NA,21661942,6404858,NA,complete,NA,627263e9c7d499a185db16fd,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x320,NA,ITT Ratings,4,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,39,2,1,Screen 1,continueButton,response_rating_scale_likert_active,904,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,better living for uk nationals,1,4/4/22,4/4/22,R_3gSntk4elaFcQSi,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Somewhat Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,31,Female,NA,"GCSEs,A levels,Undergraduate degree (BSc, BA)",NA,56,3,Leave,Leave
5,1651663940728,04/05/2022 11:32:20,1651663940712,1,04/05/2022 12:32:20,85800,13,task-iytf,NA,21661942,6404858,NA,complete,NA,627263e9c7d499a185db16fd,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x320,NA,ITT Ratings,4,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,29,3,1,Screen 1,continueButton,response_rating_scale_likert_active,15580,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Think about the jobs that will be available once we leave the EU,1,4/4/22,4/4/22,R_8cfl7WA53BhPxV7,YES,Leave (For Brexit),Very confident,Strongly agree,NA,Strongly Disagree,Somewhat Disagree,Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most days,Most days,42,Female,NA,"Undergraduate degree (BSc, BA)",NA,55,2,Leave,Remain
6,1651663948765,04/05/2022 11:32:28,1651663948763,1,04/05/2022 12:32:28,85800,13,task-iytf,NA,21661942,6404858,NA,complete,NA,627263e9c7d499a185db16fd,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x320,NA,ITT Ratings,4,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1651663949781,04/05/2022 11:32:29,1651663949784,1,04/05/2022 12:32:29,85800,13,task-iytf,NA,21661942,6404858,NA,complete,NA,627263e9c7d499a185db16fd,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x320,NA,ITT Ratings,4,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,9,4,1,Screen 1,continueButton,response_rating_scale_likert_active,990.0000000000002,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,European court of human rights will no longer be governing us,1,4/4/22,4/4/22,R_3PpD9tjETIgZdIR,YES,Leave (For Brexit),Confident,Somewhat Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Never,Never,56,Female,NA,GCSEs,NA,51,3,Leave,Leave
8,1651663954828,04/05/2022 11:32:34,1651663954839,1,04/05/2022 12:32:34,85800,13,task-iytf,NA,21661942,6404858,NA,complete,NA,627263e9c7d499a185db16fd,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x320,NA,ITT Ratings,4,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,32,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5037,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We need availability for housing,1,4/4/22,4/4/22,R_8cfl7WA53BhPxV7,YES,Leave (For Brexit),Very confident,Strongly agree,NA,Strongly Disagree,Somewhat Disagree,Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most days,Most days,42,Female,NA,"Undergraduate degree (BSc, BA)",NA,55,2,Leave,Leave
9,1651663960399,04/05/2022 11:32:40,1651663960395,1,04/05/2022 12:32:40,85800,13,task-iytf,NA,21661942,6404858,NA,complete,NA,627263e9c7d499a185db16fd,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x320,NA,ITT Ratings,4,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,41,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5539.000000000001,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Some  people  feel that we should keep our borders open to all the EU,1,4/4/22,4/4/22,R_3L70xRHeYxaT4TC,YES,Leave (For Brexit),Somewhat Confident,Neither Agree nor Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Disagree,NA,NA,NA,Rarely,Never,64,Female,NA,GCSEs,NA,57,2,Leave,Remain
10,1651663964352,04/05/2022 11:32:44,1651663964363,1,04/05/2022 12:32:44,85800,13,task-iytf,NA,21661942,6404858,NA,complete,NA,627263e9c7d499a185db16fd,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x320,NA,ITT Ratings,4,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,4,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3952,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Britain needs economic migrants,1,4/4/22,4/4/22,R_3PpD9tjETIgZdIR,YES,Leave (For Brexit),Confident,Somewhat Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Never,Never,56,Female,NA,GCSEs,NA,51,1,Leave,Remain
