Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651660000000,04/05/2022 11:22,1651660000000,1,04/05/2022 12:22,85800,13,task-octl,NA,21661658,6404775,NA,complete,NA,627261ba51a94c7689bd274b,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x331,NA,ITT Ratings,4,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651660000000,04/05/2022 11:22,1651660000000,1,04/05/2022 12:22,85800,13,task-octl,NA,21661658,6404775,NA,complete,NA,627261ba51a94c7689bd274b,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x331,NA,ITT Ratings,4,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,1,1,1,Screen 1,advancementZone,continue_button,3072,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651660000000,04/05/2022 11:22,1651660000000,1,04/05/2022 12:22,85800,13,task-octl,NA,21661658,6404775,NA,complete,NA,627261ba51a94c7689bd274b,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x331,NA,ITT Ratings,4,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1651660000000,04/05/2022 11:22,1651660000000,1,04/05/2022 12:22,85800,13,task-octl,NA,21661658,6404775,NA,complete,NA,627261ba51a94c7689bd274b,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x331,NA,ITT Ratings,4,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,6,1,1,Screen 1,continueButton,response_rating_scale_likert_active,1656,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Easier transportation of goods to and from Europe,1,04/04/2022,04/04/2022,R_1re2cBI0pZAwWCP,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,A few times a year,62,Female,NA,Vocational Training / Apprenticeship,NA,31,3,Leave,Remain
5,1651660000000,04/05/2022 11:22,1651660000000,1,04/05/2022 12:22,85800,13,task-octl,NA,21661658,6404775,NA,complete,NA,627261ba51a94c7689bd274b,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x331,NA,ITT Ratings,4,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,57,2,1,Screen 1,continueButton,response_rating_scale_likert_active,2057,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To better control immigration.,1,04/04/2022,04/04/2022,R_306GGG0Ah0Ul87A,YES,Leave (For Brexit),Undecided,Somewhat Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Rarely,Rarely,46,Female,NA,"Undergraduate degree (BSc, BA)",NA,39,3,Leave,Leave
6,1651660000000,04/05/2022 11:22,1651660000000,1,04/05/2022 12:22,85800,13,task-octl,NA,21661658,6404775,NA,complete,NA,627261ba51a94c7689bd274b,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x331,NA,ITT Ratings,4,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,27,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4737,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"When we were part of the EU we had to follow EU rules and regulations even if we didn't agree with them, but now we can create our own laws and not be tied down to the EU.",1,04/04/2022,04/04/2022,R_2Qm0odDmgF3uovJ,YES,Leave (For Brexit),Somewhat Confident,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,64,Female,NA,GCSEs,NA,34,3,Leave,Leave
7,1651660000000,04/05/2022 11:22,1651660000000,1,04/05/2022 12:22,85800,13,task-octl,NA,21661658,6404775,NA,complete,NA,627261ba51a94c7689bd274b,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x331,NA,ITT Ratings,4,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,60,4,1,Screen 1,continueButton,response_rating_scale_likert_active,1326,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I just feel its the right thing to do,1,04/04/2022,04/04/2022,R_1ojoco95zb40fRd,YES,Leave (For Brexit),Somewhat Confident,Neither Agree nor Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Disagree,NA,NA,NA,Rarely,Rarely,75,Female,NA,Vocational Training / Apprenticeship,no thanks,40,3,Leave,Remain
8,1651660000000,04/05/2022 11:22,1651660000000,1,04/05/2022 12:22,85800,13,task-octl,NA,21661658,6404775,NA,complete,NA,627261ba51a94c7689bd274b,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x331,NA,ITT Ratings,4,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,51,5,1,Screen 1,continueButton,response_rating_scale_likert_active,1913,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Control over UK affairs by Brussels,1,04/04/2022,04/04/2022,R_2Xgr6jBqdMhL2hN,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,57,Female,NA,"Postgraduate degree (MSc, MA, MPhil)","Brexit was a long time ago (politically)! Done deal. Move on. Small problem with Russia/Ukraine now, plus costs of energy, food (not all Brexit's fault) etc etc.
I was a reluctant leaver - you didn't really examine that (would have preferred to remain had the EU been a bit less inflexible & controlling).",38,3,Leave,Leave
9,1651660000000,04/05/2022 11:22,1651660000000,1,04/05/2022 12:22,85800,13,task-octl,NA,21661658,6404775,NA,complete,NA,627261ba51a94c7689bd274b,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x331,NA,ITT Ratings,4,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,46,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2296,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Economic and political stability by joint membership,1,04/04/2022,04/04/2022,R_2Xgr6jBqdMhL2hN,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,57,Female,NA,"Postgraduate degree (MSc, MA, MPhil)","Brexit was a long time ago (politically)! Done deal. Move on. Small problem with Russia/Ukraine now, plus costs of energy, food (not all Brexit's fault) etc etc.
I was a reluctant leaver - you didn't really examine that (would have preferred to remain had the EU been a bit less inflexible & controlling).",38,1,Leave,Remain
10,1651660000000,04/05/2022 11:22,1651660000000,1,04/05/2022 12:22,85800,13,task-octl,NA,21661658,6404775,NA,complete,NA,627261ba51a94c7689bd274b,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,414x896,800x331,NA,ITT Ratings,4,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,49,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2794,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Immigrants - lack of border controls & free access by EU citizens,1,04/04/2022,04/04/2022,R_2Xgr6jBqdMhL2hN,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,57,Female,NA,"Postgraduate degree (MSc, MA, MPhil)","Brexit was a long time ago (politically)! Done deal. Move on. Small problem with Russia/Ukraine now, plus costs of energy, food (not all Brexit's fault) etc etc.
I was a reluctant leaver - you didn't really examine that (would have preferred to remain had the EU been a bit less inflexible & controlling).",38,1,Leave,Leave
