Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651660000000,04/05/2022 11:26,1651660000000,1,04/05/2022 12:26,85800,13,task-ogmx,NA,21661750,6404761,NA,complete,NA,62726133fe93e103874d6cd3,tablet,Samsung SM-T555,Android 7.1.1,Samsung Browser 16.2,1024x768,1024x650,NA,ITT Ratings,4,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651660000000,04/05/2022 11:26,1651660000000,1,04/05/2022 12:26,85800,13,task-ogmx,NA,21661750,6404761,NA,complete,NA,62726133fe93e103874d6cd3,tablet,Samsung SM-T555,Android 7.1.1,Samsung Browser 16.2,1024x768,1024x650,NA,ITT Ratings,4,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,1,1,1,Screen 1,advancementZone,continue_button,15755.7,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651660000000,04/05/2022 11:26,1651660000000,1,04/05/2022 12:26,85800,13,task-ogmx,NA,21661750,6404761,NA,complete,NA,62726133fe93e103874d6cd3,tablet,Samsung SM-T555,Android 7.1.1,Samsung Browser 16.2,1024x768,1024x650,NA,ITT Ratings,4,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,32,1,1,Screen 1,continueButton,response_rating_scale_likert_active,23034,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Benefits - not enough money,1,04/04/2022,04/04/2022,R_5gQEsZB8aUrsO5z,YES,Leave (For Brexit),Undecided,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,39,Female,NA,A levels,NA,75,2,Leave,Leave
4,1651660000000,04/05/2022 11:26,1651660000000,1,04/05/2022 12:26,85800,13,task-ogmx,NA,21661750,6404761,NA,complete,NA,62726133fe93e103874d6cd3,tablet,Samsung SM-T555,Android 7.1.1,Samsung Browser 16.2,1024x768,1024x650,NA,ITT Ratings,4,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,28,2,1,Screen 1,continueButton,response_rating_scale_likert_active,9177.5,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,All got to stick together,1,04/04/2022,04/04/2022,R_5gQEsZB8aUrsO5z,YES,Leave (For Brexit),Undecided,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,39,Female,NA,A levels,NA,75,1,Leave,Remain
5,1651660000000,04/05/2022 11:26,1651660000000,1,04/05/2022 12:26,85800,13,task-ogmx,NA,21661750,6404761,NA,complete,NA,62726133fe93e103874d6cd3,tablet,Samsung SM-T555,Android 7.1.1,Samsung Browser 16.2,1024x768,1024x650,NA,ITT Ratings,4,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,53,3,1,Screen 1,continueButton,response_rating_scale_likert_active,8576.3,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Uk is partly funding by the EU union,1,04/04/2022,04/04/2022,R_2fJRdoqYzwLebYO,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,40,Female,NA,"Undergraduate degree (BSc, BA)",NA,79,2,Leave,Remain
6,1651660000000,04/05/2022 11:27,1651660000000,1,04/05/2022 12:27,85800,13,task-ogmx,NA,21661750,6404761,NA,complete,NA,62726133fe93e103874d6cd3,tablet,Samsung SM-T555,Android 7.1.1,Samsung Browser 16.2,1024x768,1024x650,NA,ITT Ratings,4,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,8,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2976,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The money can be put towards the NHS,1,04/04/2022,04/04/2022,R_2Twaqyz09l1Xsvz,YES,Leave (For Brexit),Undecided,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,A few times a year,A few times a year,36,Female,NA,"Undergraduate degree (BSc, BA)",NA,71,2,Leave,Leave
7,1651660000000,04/05/2022 11:27,1651660000000,1,04/05/2022 12:27,85800,13,task-ogmx,NA,21661750,6404761,NA,complete,NA,62726133fe93e103874d6cd3,tablet,Samsung SM-T555,Android 7.1.1,Samsung Browser 16.2,1024x768,1024x650,NA,ITT Ratings,4,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,24,5,1,Screen 1,continueButton,response_rating_scale_likert_active,7514.5,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I have a closed mind on this subject I have not seen any arguments for staying but I want to stay all the same.,1,04/04/2022,04/04/2022,R_3OriPtNE3cBDrxa,YES,Leave (For Brexit),Very confident,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Most weeks,80,Male,NA,GCSEs,NA,74,3,Leave,Remain
8,1651660000000,04/05/2022 11:27,1651660000000,1,04/05/2022 12:27,85800,13,task-ogmx,NA,21661750,6404761,NA,complete,NA,62726133fe93e103874d6cd3,tablet,Samsung SM-T555,Android 7.1.1,Samsung Browser 16.2,1024x768,1024x650,NA,ITT Ratings,4,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,48,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4017.2,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To keep living costs down,1,04/04/2022,04/04/2022,R_3hDO0JK9hk4O4jp,YES,Leave (For Brexit),Somewhat doubtful,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,29,Female,NA,"Undergraduate degree (BSc, BA)",NA,78,3,Leave,Remain
9,1651660000000,04/05/2022 11:27,1651660000000,1,04/05/2022 12:27,85800,13,task-ogmx,NA,21661750,6404761,NA,complete,NA,62726133fe93e103874d6cd3,tablet,Samsung SM-T555,Android 7.1.1,Samsung Browser 16.2,1024x768,1024x650,NA,ITT Ratings,4,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,46,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5852.6,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To remain as part of something bigger,1,04/04/2022,04/04/2022,R_3hDO0JK9hk4O4jp,YES,Leave (For Brexit),Somewhat doubtful,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,29,Female,NA,"Undergraduate degree (BSc, BA)",NA,78,1,Leave,Remain
10,1651660000000,04/05/2022 11:27,1651660000000,1,04/05/2022 12:27,85800,13,task-ogmx,NA,21661750,6404761,NA,complete,NA,62726133fe93e103874d6cd3,tablet,Samsung SM-T555,Android 7.1.1,Samsung Browser 16.2,1024x768,1024x650,NA,ITT Ratings,4,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,27,8,1,Screen 1,continueButton,response_rating_scale_likert_active,31360.6,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We need to trade with the rest of the world without the fetters imposed by Brussels,1,04/04/2022,04/04/2022,R_3OriPtNE3cBDrxa,YES,Leave (For Brexit),Very confident,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Most weeks,80,Male,NA,GCSEs,NA,74,3,Leave,Leave
