Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651664013921,04/05/2022 11:33:33,1651664014499,1,04/05/2022 12:33:34,85800,13,task-t3d4,NA,21662035,6404873,NA,complete,NA,62726430b2fcfb5bba525dfa,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1366x768,1366x657,NA,ITT Ratings,4,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651664023311,04/05/2022 11:33:43,1651664023903,1,04/05/2022 12:33:43,85800,13,task-t3d4,NA,21662035,6404873,NA,complete,NA,62726430b2fcfb5bba525dfa,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1366x768,1366x657,NA,ITT Ratings,4,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,1,1,1,Screen 1,advancementZone,continue_button,9211,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651664055246,04/05/2022 11:34:15,1651664055839,1,04/05/2022 12:34:15,85800,13,task-t3d4,NA,21662035,6404873,NA,complete,NA,62726430b2fcfb5bba525dfa,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1366x768,1366x657,NA,ITT Ratings,4,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,53,1,1,Screen 1,continueButton,response_rating_scale_likert_active,31861,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I agree with the EU and what the UK does for the EU/gets from the EU,1,4/4/22,4/4/22,R_3KwoKE9FW0C2EVe,YES,Leave (For Brexit),Somewhat doubtful,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,30,Female,NA,"Undergraduate degree (BSc, BA)",NA,19,2,Leave,Remain
4,1651664084295,04/05/2022 11:34:44,1651664084897,1,04/05/2022 12:34:44,85800,13,task-t3d4,NA,21662035,6404873,NA,complete,NA,62726430b2fcfb5bba525dfa,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1366x768,1366x657,NA,ITT Ratings,4,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,17,2,1,Screen 1,continueButton,response_rating_scale_likert_active,28987,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,tighter regulations on goods,1,4/4/22,4/4/22,R_3hrt3qakK6SasVx,YES,Leave (For Brexit),Undecided,Neither Agree nor Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,58,Female,NA,GCSEs,NA,13,2,Leave,Remain
5,1651664095334,04/05/2022 11:34:55,1651664095939,1,04/05/2022 12:34:55,85800,13,task-t3d4,NA,21662035,6404873,NA,complete,NA,62726430b2fcfb5bba525dfa,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1366x768,1366x657,NA,ITT Ratings,4,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,42,3,1,Screen 1,continueButton,response_rating_scale_likert_active,11006,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"free travel, easier to travel within europe",1,4/4/22,4/4/22,R_2U5TinR5nYU5ezP,YES,Leave (For Brexit),Doubtful,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Rarely,35,Male,NA,GCSEs,"I regret voting leave, we were all misled",17,3,Leave,Remain
6,1651664105523,04/05/2022 11:35:05,1651664106124,1,04/05/2022 12:35:06,85800,13,task-t3d4,NA,21662035,6404873,NA,complete,NA,62726430b2fcfb5bba525dfa,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1366x768,1366x657,NA,ITT Ratings,4,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,10,4,1,Screen 1,continueButton,response_rating_scale_likert_active,10148,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To still have a say in the european union and its rules and laws.,1,4/4/22,4/4/22,R_2fx4jZCqukB0nan,YES,Leave (For Brexit),Very Doubtful,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,56,Female,NA,A levels,I voted leave because I believed the rubbish spouted by Johnson on saving money and redirecting it to the NHS.  I soon learnt that this was not true and wish I had voted remain but was relieved that my borough did come back with a remain win.,12,1,Leave,Remain
7,1651664111587,04/05/2022 11:35:11,1651664112231,1,04/05/2022 12:35:12,85800,13,task-t3d4,NA,21662035,6404873,NA,complete,NA,62726430b2fcfb5bba525dfa,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1366x768,1366x657,NA,ITT Ratings,4,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,46,5,1,Screen 1,continueButton,response_rating_scale_likert_active,6069,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"control of our democracy, borders and waters",1,4/4/22,4/4/22,R_XueMc9y41rJsqhr,YES,Leave (For Brexit),Undecided,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Never,Never,35,Female,NA,GCSEs,NA,18,1,Leave,Remain
8,1651664121269,04/05/2022 11:35:21,1651664121875,1,04/05/2022 12:35:21,85800,13,task-t3d4,NA,21662035,6404873,NA,complete,NA,62726430b2fcfb5bba525dfa,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1366x768,1366x657,NA,ITT Ratings,4,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,47,6,1,Screen 1,continueButton,response_rating_scale_likert_active,9602,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,the freedom to regulate in a more proportionate and agile way that works for our great British businesses;,1,4/4/22,4/4/22,R_XueMc9y41rJsqhr,YES,Leave (For Brexit),Undecided,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Never,Never,35,Female,NA,GCSEs,NA,18,2,Leave,Remain
9,1651664133769,04/05/2022 11:35:33,1651664134401,1,04/05/2022 12:35:34,85800,13,task-t3d4,NA,21662035,6404873,NA,complete,NA,62726430b2fcfb5bba525dfa,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1366x768,1366x657,NA,ITT Ratings,4,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,41,7,1,Screen 1,continueButton,response_rating_scale_likert_active,12491,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"prices staying the same, no big increases",1,4/4/22,4/4/22,R_2U5TinR5nYU5ezP,YES,Leave (For Brexit),Doubtful,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Rarely,35,Male,NA,GCSEs,"I regret voting leave, we were all misled",17,2,Leave,Remain
10,1651664143581,04/05/2022 11:35:43,1651664144178,1,04/05/2022 12:35:44,85800,13,task-t3d4,NA,21662035,6404873,NA,complete,NA,62726430b2fcfb5bba525dfa,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1366x768,1366x657,NA,ITT Ratings,4,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,38,8,1,Screen 1,continueButton,response_rating_scale_likert_active,9713,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The freedom to regulate in a more proportionate and agile way that works for our great British businesses;,1,4/4/22,4/4/22,R_AByPqVguyKwXxkJ,YES,Leave (For Brexit),Doubtful,Agree,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,NA,Female,NA,A levels,NA,16,2,Leave,Leave
