Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1652104183523,09/05/2022 13:49:43,1652104184793,1,09/05/2022 14:49:44,85800,15,task-l3ey,NA,21764625,6434527,NA,complete,NA,62791bcd0bdd6b8a78dc4c9b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x977,NA,ITT Ratings,5,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1652104189985,09/05/2022 13:49:49,1652104191296,1,09/05/2022 14:49:51,85800,15,task-l3ey,NA,21764625,6434527,NA,complete,NA,62791bcd0bdd6b8a78dc4c9b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x977,NA,ITT Ratings,5,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,1,1,1,Screen 1,advancementZone,continue_button,6454.800000000745,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1652104202848,09/05/2022 13:50:02,1652104204152,1,09/05/2022 14:50:04,85800,15,task-l3ey,NA,21764625,6434527,NA,complete,NA,62791bcd0bdd6b8a78dc4c9b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x977,NA,ITT Ratings,5,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,55,1,1,Screen 1,continueButton,response_rating_scale_likert_active,12837.400000000373,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Get control back of our country,1,4/4/22,4/4/22,R_3JVPXAg5zRJcsRr,YES,Leave (For Brexit),Confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Most weeks,Most weeks,69,Female,NA,No formal qualifications,NA,99,1,Leave,Leave
4,1652104212700,09/05/2022 13:50:12,1652104214030,1,09/05/2022 14:50:14,85800,15,task-l3ey,NA,21764625,6434527,NA,complete,NA,62791bcd0bdd6b8a78dc4c9b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x977,NA,ITT Ratings,5,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,48,2,1,Screen 1,continueButton,response_rating_scale_likert_active,9860.599999999627,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It was the direction I wanted the country to go in,1,4/4/22,4/4/22,R_2Vyz0PfyX5jAkVP,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,31,Female,NA,GCSEs,NA,98,3,Leave,Remain
5,1652104217028,09/05/2022 13:50:17,1652104218358,1,09/05/2022 14:50:18,85800,15,task-l3ey,NA,21764625,6434527,NA,complete,NA,62791bcd0bdd6b8a78dc4c9b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x977,NA,ITT Ratings,5,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,32,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4312.9000000003725,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Eu laws incompatible with Uk Sovereignty,1,4/4/22,4/4/22,R_ANyceTp5mKr4N7H,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Never,Rarely,48,Male,NA,A levels,NA,95,2,Leave,Leave
6,1652104221035,09/05/2022 13:50:21,1652104222358,1,09/05/2022 14:50:22,85800,15,task-l3ey,NA,21764625,6434527,NA,complete,NA,62791bcd0bdd6b8a78dc4c9b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x977,NA,ITT Ratings,5,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,27,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3986.2999999988824,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Immigration restrictions to prevent free movement,1,4/4/22,4/4/22,R_1LFjXbfj7eWz4KR,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Somewhat Agree,Somewhat Agree,Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Rarely,Most months,34,Female,NA,"Undergraduate degree (BSc, BA)",NA,94,3,Leave,Leave
7,1652104226463,09/05/2022 13:50:26,1652104227774,1,09/05/2022 14:50:27,85800,15,task-l3ey,NA,21764625,6434527,NA,complete,NA,62791bcd0bdd6b8a78dc4c9b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x977,NA,ITT Ratings,5,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,49,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5401.0999999996275,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I believed it was the correct decision at the time,1,4/4/22,4/4/22,R_2Vyz0PfyX5jAkVP,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,31,Female,NA,GCSEs,NA,98,1,Leave,Leave
8,1652104235144,09/05/2022 13:50:35,1652104236470,1,09/05/2022 14:50:36,85800,15,task-l3ey,NA,21764625,6434527,NA,complete,NA,62791bcd0bdd6b8a78dc4c9b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x977,NA,ITT Ratings,5,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,41,6,1,Screen 1,continueButton,response_rating_scale_likert_active,8680.699999999255,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To keep it the same as we are all used it it and it works,1,4/4/22,4/4/22,R_2WO8M9FQmEJ5S2m,YES,Leave (For Brexit),Doubtful,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Never,24,Female,NA,A levels,NA,97,2,Leave,Remain
9,1652104240608,09/05/2022 13:50:40,1652104241934,1,09/05/2022 14:50:41,85800,15,task-l3ey,NA,21764625,6434527,NA,complete,NA,62791bcd0bdd6b8a78dc4c9b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x977,NA,ITT Ratings,5,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,56,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5450.9000000003725,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Less immigration more control over who comes into the country,1,4/4/22,4/4/22,R_3JVPXAg5zRJcsRr,YES,Leave (For Brexit),Confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Most weeks,Most weeks,69,Female,NA,No formal qualifications,NA,99,2,Leave,Leave
10,1652104243314,09/05/2022 13:50:43,1652104244646,1,09/05/2022 14:50:44,85800,15,task-l3ey,NA,21764625,6434527,NA,complete,NA,62791bcd0bdd6b8a78dc4c9b,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1920x1080,1920x977,NA,ITT Ratings,5,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,46,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2697.800000000745,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I believe its the best  option,1,4/4/22,4/4/22,R_2Vyz0PfyX5jAkVP,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,31,Female,NA,GCSEs,NA,98,1,Leave,Remain
