Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1652108504407,09/05/2022 15:01:44,1652108504305,1,09/05/2022 16:01:44,85800,16,task-l3ey,NA,21768976,6435173,NA,complete,NA,62792ca7f406049ebe6f56ca,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,768x1024,1024x665,NA,ITT Ratings,5,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1652108510555,09/05/2022 15:01:50,1652108510483,1,09/05/2022 16:01:50,85800,16,task-l3ey,NA,21768976,6435173,NA,complete,NA,62792ca7f406049ebe6f56ca,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,768x1024,1024x665,NA,ITT Ratings,5,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,1,1,1,Screen 1,advancementZone,continue_button,6092,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1652108518647,09/05/2022 15:01:58,1652108518603,1,09/05/2022 16:01:58,85800,16,task-l3ey,NA,21768976,6435173,NA,complete,NA,62792ca7f406049ebe6f56ca,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,768x1024,1024x665,NA,ITT Ratings,5,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,2,1,1,Screen 1,continueButton,response_rating_scale_likert_active,8086,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
4,1652108527600,09/05/2022 15:02:07,1652108527482,1,09/05/2022 16:02:07,85800,16,task-l3ey,NA,21768976,6435173,NA,complete,NA,62792ca7f406049ebe6f56ca,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,768x1024,1024x665,NA,ITT Ratings,5,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,17,2,1,Screen 1,continueButton,response_rating_scale_likert_active,8839,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To ensure laws and standards were protected,1,4/4/22,4/4/22,R_2v0UFGrHlAzeWyA,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,39,Female,NA,Vocational Training / Apprenticeship,NA,93,2,Leave,Remain
5,1652108533040,09/05/2022 15:02:13,1652108532957,1,09/05/2022 16:02:12,85800,16,task-l3ey,NA,21768976,6435173,NA,complete,NA,62792ca7f406049ebe6f56ca,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,768x1024,1024x665,NA,ITT Ratings,5,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,45,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5437,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I believe that the uks economy would be better off on our own than relying on other countries,1,4/4/22,4/4/22,R_2WO8M9FQmEJ5S2m,YES,Leave (For Brexit),Doubtful,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Never,24,Female,NA,A levels,NA,97,3,Leave,Leave
6,1652108546400,09/05/2022 15:02:26,1652108546341,1,09/05/2022 16:02:26,85800,16,task-l3ey,NA,21768976,6435173,NA,complete,NA,62792ca7f406049ebe6f56ca,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,768x1024,1024x665,NA,ITT Ratings,5,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,11,4,1,Screen 1,continueButton,response_rating_scale_likert_active,13345,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Better alignment with the rest of Europe's statutory regulations,1,4/4/22,4/4/22,R_2VvB15i080wCHtF,YES,Leave (For Brexit),Very confident,Strongly agree,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,67,Male,NA,A levels,NA,92,2,Leave,Remain
7,1652108551075,09/05/2022 15:02:31,1652108551024,1,09/05/2022 16:02:31,85800,16,task-l3ey,NA,21768976,6435173,NA,complete,NA,62792ca7f406049ebe6f56ca,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,768x1024,1024x665,NA,ITT Ratings,5,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,43,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4639,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,That it will open up a lot more opportunities and possibilities to everyone in Britain,1,4/4/22,4/4/22,R_2WO8M9FQmEJ5S2m,YES,Leave (For Brexit),Doubtful,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Never,24,Female,NA,A levels,NA,97,1,Leave,Leave
8,1652108553812,09/05/2022 15:02:33,1652108553754,1,09/05/2022 16:02:33,85800,16,task-l3ey,NA,21768976,6435173,NA,complete,NA,62792ca7f406049ebe6f56ca,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,768x1024,1024x665,NA,ITT Ratings,5,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,27,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2688,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Immigration restrictions to prevent free movement,1,4/4/22,4/4/22,R_1LFjXbfj7eWz4KR,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Somewhat Agree,Somewhat Agree,Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Rarely,Most months,34,Female,NA,"Undergraduate degree (BSc, BA)",NA,94,3,Leave,Leave
9,1652108559477,09/05/2022 15:02:39,1652108559421,1,09/05/2022 16:02:39,85800,16,task-l3ey,NA,21768976,6435173,NA,complete,NA,62792ca7f406049ebe6f56ca,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,768x1024,1024x665,NA,ITT Ratings,5,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,63,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5633,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,have to answer to no one (make uk strong again),1,4/4/22,4/4/22,R_3fOHzTlnX1ibZp3,YES,Leave (For Brexit),Very confident,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Agree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Rarely,Most weeks,49,Female,NA,GCSEs,NA,100,3,Leave,Leave
10,1652108563899,09/05/2022 15:02:43,1652108563837,1,09/05/2022 16:02:43,85800,16,task-l3ey,NA,21768976,6435173,NA,complete,NA,62792ca7f406049ebe6f56ca,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,768x1024,1024x665,NA,ITT Ratings,5,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_leavers,batch10_leavers,14,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4379,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"We joined to have a common market, not a federal state.",1,4/4/22,4/4/22,R_2VvB15i080wCHtF,YES,Leave (For Brexit),Very confident,Strongly agree,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,67,Male,NA,A levels,NA,92,2,Leave,Leave
