Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651569859119,03/05/2022 09:24:19,1651569859262,1,03/05/2022 10:24:19,85800,6,task-8jq2,NA,21633835,6396244,NA,complete,NA,6270f49696ffa75791b5af65,mobile,Google Pixel 4a,Android 12,Chrome 101.0.4951.41,851x393,802x245,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651569862222,03/05/2022 09:24:22,1651569862559,1,03/05/2022 10:24:22,85800,6,task-8jq2,NA,21633835,6396244,NA,complete,NA,6270f49696ffa75791b5af65,mobile,Google Pixel 4a,Android 12,Chrome 101.0.4951.41,851x393,802x245,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,1,1,1,Screen 1,advancementZone,continue_button,3217,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651569872849,03/05/2022 09:24:32,1651569873178,1,03/05/2022 10:24:33,85800,6,task-8jq2,NA,21633835,6396244,NA,complete,NA,6270f49696ffa75791b5af65,mobile,Google Pixel 4a,Android 12,Chrome 101.0.4951.41,851x393,802x245,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,34,1,1,Screen 1,continueButton,response_rating_scale_likert_active,10569.70000000298,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I do the low paid jobs the English won't do,1,4/4/22,4/4/22,R_3JK8J4XNzALQVpJ,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,NA,NA,NA,Rarely,Rarely,58,Female,NA,GCSEs,NA,26,1,Leave,Remain
4,1651569888447,03/05/2022 09:24:48,1651569888793,1,03/05/2022 10:24:48,85800,6,task-8jq2,NA,21633835,6396244,NA,complete,NA,6270f49696ffa75791b5af65,mobile,Google Pixel 4a,Android 12,Chrome 101.0.4951.41,393x851,393x682,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,5,2,1,Screen 1,continueButton,response_rating_scale_likert_active,15560.39999999106,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is better to be part of the European single market for imports and exports,1,4/4/22,4/4/22,R_2Cmnv2XovZD8gTQ,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,A few times a year,36,Female,NA,A levels,NA,21,2,Leave,Remain
5,1651569908323,03/05/2022 09:25:08,1651569908687,1,03/05/2022 10:25:08,85800,6,task-8jq2,NA,21633835,6396244,NA,complete,NA,6270f49696ffa75791b5af65,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,851x393,980x299,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1651569915498,03/05/2022 09:25:15,1651569915419,1,03/05/2022 10:25:15,85800,6,task-8jq2,NA,21633835,6396244,NA,complete,NA,6270f49696ffa75791b5af65,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,393x851,980x1700,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,53,3,1,Screen 1,continueButton,response_rating_scale_likert_active,6611.9000000059605,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Security of the block,1,4/4/22,4/4/22,R_1i2UoW35W5hoqnG,YES,Leave (For Brexit),Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,A few times a year,A few times a year,39,Male,NA,A levels,NA,29,2,Leave,Remain
7,1651569924021,03/05/2022 09:25:24,1651569924350,1,03/05/2022 10:25:24,85800,6,task-8jq2,NA,21633835,6396244,NA,complete,NA,6270f49696ffa75791b5af65,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,851x393,980x299,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,43,4,1,Screen 1,continueButton,response_rating_scale_likert_active,5371.300000011921,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,See what changes would happen,1,4/4/22,4/4/22,R_3MgSipV6HeXUEyN,YES,Leave (For Brexit),Undecided,Somewhat Agree,NA,Disagree,Strongly Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Most weeks,27,Female,NA,A levels,N/A,27,1,Leave,Leave
8,1651569928496,03/05/2022 09:25:28,1651569928838,1,03/05/2022 10:25:28,85800,6,task-8jq2,NA,21633835,6396244,NA,complete,NA,6270f49696ffa75791b5af65,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,851x393,980x299,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,3,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4429.9000000059605,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Disagree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
9,1651569932024,03/05/2022 09:25:32,1651569932354,1,03/05/2022 10:25:32,85800,6,task-8jq2,NA,21633835,6396244,NA,complete,NA,6270f49696ffa75791b5af65,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,851x393,980x299,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,26,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3476.4000000059605,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The UK having its own trade deals will help boost the economy,1,4/4/22,4/4/22,R_2BfHqakjLStKm7A,YES,Leave (For Brexit),Very confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,A few times a year,Rarely,31,Female,NA,"GCSEs,A levels",NA,24,2,Leave,Leave
10,1651569939301,03/05/2022 09:25:39,1651569939657,1,03/05/2022 10:25:39,85800,6,task-8jq2,NA,21633835,6396244,NA,complete,NA,6270f49696ffa75791b5af65,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,851x393,980x299,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_leavers,batch3_leavers,51,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7263.899999991059,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To be an independent and strong country,1,4/4/22,4/4/22,R_3I0KGIltQFTRTft,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,48,Female,NA,A levels,No thanks,28,3,Leave,Leave
