Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651570150113,03/05/2022 09:29:10,1651570150042,1,03/05/2022 10:29:10,85800,6,task-iytf,NA,21633966,6396273,NA,complete,NA,6270f5aa20ca702ab7fcb7ce,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,750x307,NA,ITT Ratings,4,Remain,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651570157888,03/05/2022 09:29:17,1651570157848,1,03/05/2022 10:29:17,85800,6,task-iytf,NA,21633966,6396273,NA,complete,NA,6270f5aa20ca702ab7fcb7ce,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,750x307,NA,ITT Ratings,4,Remain,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,1,1,1,Screen 1,advancementZone,continue_button,7761,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651570171918,03/05/2022 09:29:31,1651570171878,1,03/05/2022 10:29:31,85800,6,task-iytf,NA,21633966,6396273,NA,complete,NA,6270f5aa20ca702ab7fcb7ce,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,750x307,NA,ITT Ratings,4,Remain,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,45,1,1,Screen 1,continueButton,response_rating_scale_likert_active,14010,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To keep the pound and keep control our own economy and control our borders,1,4/4/22,4/4/22,R_3L70xRHeYxaT4TC,YES,Leave (For Brexit),Somewhat Confident,Neither Agree nor Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Disagree,NA,NA,NA,Rarely,Never,64,Female,NA,GCSEs,NA,57,3,Leave,Leave
4,1651570179473,03/05/2022 09:29:39,1651570179456,1,03/05/2022 10:29:39,85800,6,task-iytf,NA,21633966,6396273,NA,complete,NA,6270f5aa20ca702ab7fcb7ce,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,750x307,NA,ITT Ratings,4,Remain,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,19,2,1,Screen 1,continueButton,response_rating_scale_likert_active,7556,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To lift trade barriers and allow free trade movment.  Too many EU rules and regulations. Open up markets.,1,4/4/22,4/4/22,R_3NUKcISsaNnTRUT,YES,Leave (For Brexit),Confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,A few times a year,54,Female,NA,GCSEs,It is very difficult to articulate the 'gut' feeling one had during the lead up to the referendum and why people chose to vote how they did.,53,1,Leave,Leave
5,1651570182395,03/05/2022 09:29:42,1651570182375,1,03/05/2022 10:29:42,85800,6,task-iytf,NA,21633966,6396273,NA,complete,NA,6270f5aa20ca702ab7fcb7ce,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,750x307,NA,ITT Ratings,4,Remain,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,63,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2900,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To be able to make our own way in the world,1,4/4/22,4/4/22,R_eKgqxw0AvCZYRzP,YES,Leave (For Brexit),Confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,41,Male,NA,A levels,NA,60,3,Leave,Leave
6,1651570186130,03/05/2022 09:29:46,1651570186098,1,03/05/2022 10:29:46,85800,6,task-iytf,NA,21633966,6396273,NA,complete,NA,6270f5aa20ca702ab7fcb7ce,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,750x307,NA,ITT Ratings,4,Remain,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,60,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3705,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Access to a massive trading bloc,1,4/4/22,4/4/22,R_eKgqxw0AvCZYRzP,YES,Leave (For Brexit),Confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,41,Male,NA,A levels,NA,60,3,Leave,Remain
7,1651570193376,03/05/2022 09:29:53,1651570193359,1,03/05/2022 10:29:53,85800,6,task-iytf,NA,21633966,6396273,NA,complete,NA,6270f5aa20ca702ab7fcb7ce,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,750x307,NA,ITT Ratings,4,Remain,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,17,5,1,Screen 1,continueButton,response_rating_scale_likert_active,7240,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Enhanced national security.,1,4/4/22,4/4/22,R_3NUKcISsaNnTRUT,YES,Leave (For Brexit),Confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,A few times a year,54,Female,NA,GCSEs,It is very difficult to articulate the 'gut' feeling one had during the lead up to the referendum and why people chose to vote how they did.,53,2,Leave,Remain
8,1651570197149,03/05/2022 09:29:57,1651570197118,1,03/05/2022 10:29:57,85800,6,task-iytf,NA,21633966,6396273,NA,complete,NA,6270f5aa20ca702ab7fcb7ce,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,750x307,NA,ITT Ratings,4,Remain,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,31,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3738,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We need more jobs for immigrants from outside EU,1,4/4/22,4/4/22,R_8cfl7WA53BhPxV7,YES,Leave (For Brexit),Very confident,Strongly agree,NA,Strongly Disagree,Somewhat Disagree,Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most days,Most days,42,Female,NA,"Undergraduate degree (BSc, BA)",NA,55,1,Leave,Leave
9,1651570205242,03/05/2022 09:30:05,1651570205220,1,03/05/2022 10:30:05,85800,6,task-iytf,NA,21633966,6396273,NA,complete,NA,6270f5aa20ca702ab7fcb7ce,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,750x307,NA,ITT Ratings,4,Remain,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,46,7,1,Screen 1,continueButton,response_rating_scale_likert_active,8083.999999999993,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Negotiating trade deals may be more difficult,1,4/4/22,4/4/22,R_Wk66HHMIzaLKdC9,YES,Leave (For Brexit),Somewhat Confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,A few times a year,32,Female,NA,"Undergraduate degree (BSc, BA)",NA,58,1,Leave,Remain
10,1651570212310,03/05/2022 09:30:12,1651570212280,1,03/05/2022 10:30:12,85800,6,task-iytf,NA,21633966,6396273,NA,complete,NA,6270f5aa20ca702ab7fcb7ce,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,390x844,750x307,NA,ITT Ratings,4,Remain,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_leavers,batch6_leavers,21,8,1,Screen 1,continueButton,response_rating_scale_likert_active,7040.000000000015,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Border control, fairer system of entry, whilst still allowing asylum for refugees.",1,4/4/22,4/4/22,R_3NUKcISsaNnTRUT,YES,Leave (For Brexit),Confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,A few times a year,54,Female,NA,GCSEs,It is very difficult to articulate the 'gut' feeling one had during the lead up to the referendum and why people chose to vote how they did.,53,3,Leave,Leave
