Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651570284917,03/05/2022 09:31:24,1651570284837,1,03/05/2022 10:31:24,85800,6,task-octl,NA,21634021,6396290,NA,complete,NA,6270f64f1a7cff96dc77e21a,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,428x926,832x345,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651570286231,03/05/2022 09:31:26,1651570286166,1,03/05/2022 10:31:26,85800,6,task-octl,NA,21634021,6396290,NA,complete,NA,6270f64f1a7cff96dc77e21a,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,428x926,832x345,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,1,1,1,Screen 1,advancementZone,continue_button,1308,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651570293810,03/05/2022 09:31:33,1651570293690,1,03/05/2022 10:31:33,85800,6,task-octl,NA,21634021,6396290,NA,complete,NA,6270f64f1a7cff96dc77e21a,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,428x926,832x345,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,13,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7505,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,So the UK could have full control of their legal system.,1,4/4/22,4/4/22,R_3kG12iP9bTbzqco,YES,Leave (For Brexit),Very Doubtful,Neither Agree nor Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Rarely,A few times a year,39,Female,NA,"Vocational Training / Apprenticeship,A levels",NA,32,1,Leave,Leave
4,1651570308690,03/05/2022 09:31:48,1651570308569,1,03/05/2022 10:31:48,85800,6,task-octl,NA,21634021,6396290,NA,complete,NA,6270f64f1a7cff96dc77e21a,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,428x926,832x345,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,35,2,1,Screen 1,continueButton,response_rating_scale_likert_active,14860,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Filling jobs that the local people cannot/or don/t want to take,1,4/4/22,4/4/22,R_1QLrWFMqKEWAKf6,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Rarely,A few times a year,57,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,36,2,Leave,Remain
5,1651570313897,03/05/2022 09:31:53,1651570313872,1,03/05/2022 10:31:53,85800,6,task-octl,NA,21634021,6396290,NA,complete,NA,6270f64f1a7cff96dc77e21a,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,428x926,832x345,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,11,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5275,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Fear of the unknown of being an independent country and outside of the eu,1,4/4/22,4/4/22,R_3kG12iP9bTbzqco,YES,Leave (For Brexit),Very Doubtful,Neither Agree nor Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Rarely,A few times a year,39,Female,NA,"Vocational Training / Apprenticeship,A levels",NA,32,2,Leave,Remain
6,1651570317010,03/05/2022 09:31:57,1651570316990,1,03/05/2022 10:31:56,85800,6,task-octl,NA,21634021,6396290,NA,complete,NA,6270f64f1a7cff96dc77e21a,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,428x926,832x345,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,45,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3098,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,British people can have jobs instead of foreigners,1,4/4/22,4/4/22,R_1JDdMvZDG7ScOu3,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Rarely,32,Female,NA,"Undergraduate degree (BSc, BA)",NA,37,3,Leave,Leave
7,1651570321429,03/05/2022 09:32:01,1651570321392,1,03/05/2022 10:32:01,85800,6,task-octl,NA,21634021,6396290,NA,complete,NA,6270f64f1a7cff96dc77e21a,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,428x926,832x345,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,25,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4379,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Its about time we got out of the EU.  It costs the country millions of pounds every year just to be a member and I'm not entirely sure we are getting value for money.,1,4/4/22,4/4/22,R_2Qm0odDmgF3uovJ,YES,Leave (For Brexit),Somewhat Confident,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,64,Female,NA,GCSEs,NA,34,1,Leave,Leave
8,1651570354157,03/05/2022 09:32:34,1651570354117,1,03/05/2022 10:32:34,85800,6,task-octl,NA,21634021,6396290,NA,complete,NA,6270f64f1a7cff96dc77e21a,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,428x926,832x345,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,55,6,1,Screen 1,continueButton,response_rating_scale_likert_active,32708,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To bypass certain business regulations.,1,4/4/22,4/4/22,R_306GGG0Ah0Ul87A,YES,Leave (For Brexit),Undecided,Somewhat Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Rarely,Rarely,46,Female,NA,"Undergraduate degree (BSc, BA)",NA,39,1,Leave,Leave
9,1651570356096,03/05/2022 09:32:36,1651570356079,1,03/05/2022 10:32:36,85800,6,task-octl,NA,21634021,6396290,NA,complete,NA,6270f64f1a7cff96dc77e21a,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,428x926,832x345,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,62,7,1,Screen 1,continueButton,response_rating_scale_likert_active,1943.0000000000143,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To get our fishing quoters back,1,4/4/22,4/4/22,R_1ojoco95zb40fRd,YES,Leave (For Brexit),Somewhat Confident,Neither Agree nor Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Disagree,NA,NA,NA,Rarely,Rarely,75,Female,NA,Vocational Training / Apprenticeship,no thanks,40,2,Leave,Leave
10,1651570358278,03/05/2022 09:32:38,1651570358264,1,03/05/2022 10:32:38,85800,6,task-octl,NA,21634021,6396290,NA,complete,NA,6270f64f1a7cff96dc77e21a,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,428x926,832x345,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_leavers,batch4_leavers,42,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2166,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The Eu was made for a reason,1,4/4/22,4/4/22,R_1JDdMvZDG7ScOu3,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Rarely,32,Female,NA,"Undergraduate degree (BSc, BA)",NA,37,3,Leave,Remain
