Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651570052977,03/05/2022 09:27:32,1651570052932,1,03/05/2022 10:27:32,85800,6,task-ogmx,NA,21633917,6396262,NA,complete,NA,6270f56034df7bd215138569,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x688,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651570063717,03/05/2022 09:27:43,1651570063729,1,03/05/2022 10:27:43,85800,6,task-ogmx,NA,21633917,6396262,NA,complete,NA,6270f56034df7bd215138569,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x688,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,1,1,1,Screen 1,advancementZone,continue_button,10764,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651570076125,03/05/2022 09:27:56,1651570076126,1,03/05/2022 10:27:56,85800,6,task-ogmx,NA,21633917,6396262,NA,complete,NA,6270f56034df7bd215138569,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x688,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,61,1,1,Screen 1,continueButton,response_rating_scale_likert_active,12380.399999856949,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To be able to be more in control of our future,1,4/4/22,4/4/22,R_bDtCfhsew8vaVEZ,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Most months,57,Female,NA,GCSEs,NA,80,1,Leave,Leave
4,1651570085811,03/05/2022 09:28:05,1651570085805,1,03/05/2022 10:28:05,85800,6,task-ogmx,NA,21633917,6396262,NA,complete,NA,6270f56034df7bd215138569,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x688,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,12,2,1,Screen 1,continueButton,response_rating_scale_likert_active,9660,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,For it to remain easy to work in european countries,1,4/4/22,4/4/22,R_pzRDkDWrYRe4Clz,YES,Leave (For Brexit),Confident,Somewhat Agree,NA,Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Never,A few times a year,48,Female,NA,A levels,NA,72,3,Leave,Remain
5,1651570118921,03/05/2022 09:28:38,1651570118934,1,03/05/2022 10:28:38,85800,6,task-ogmx,NA,21633917,6396262,NA,complete,NA,6270f56034df7bd215138569,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x688,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,15,3,1,Screen 1,continueButton,response_rating_scale_likert_active,33117.799999952316,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,For better change for the people of the UK,1,4/4/22,4/4/22,R_pzRDkDWrYRe4Clz,YES,Leave (For Brexit),Confident,Somewhat Agree,NA,Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Never,A few times a year,48,Female,NA,A levels,NA,72,3,Leave,Leave
6,1651570170075,03/05/2022 09:29:30,1651570170090,1,03/05/2022 10:29:30,85800,6,task-ogmx,NA,21633917,6396262,NA,complete,NA,6270f56034df7bd215138569,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x688,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,57,4,1,Screen 1,continueButton,response_rating_scale_likert_active,51144.70000004768,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Good green print Uk in producing and supplying own produce,1,4/4/22,4/4/22,R_2fJRdoqYzwLebYO,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,40,Female,NA,"Undergraduate degree (BSc, BA)",NA,79,3,Leave,Leave
7,1651570189869,03/05/2022 09:29:49,1651570189883,1,03/05/2022 10:29:49,85800,6,task-ogmx,NA,21633917,6396262,NA,complete,NA,6270f56034df7bd215138569,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x688,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,48,5,1,Screen 1,continueButton,response_rating_scale_likert_active,19782.299999952316,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To keep living costs down,1,4/4/22,4/4/22,R_3hDO0JK9hk4O4jp,YES,Leave (For Brexit),Somewhat doubtful,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,29,Female,NA,"Undergraduate degree (BSc, BA)",NA,78,3,Leave,Remain
8,1651570202187,03/05/2022 09:30:02,1651570202200,1,03/05/2022 10:30:02,85800,6,task-ogmx,NA,21633917,6396262,NA,complete,NA,6270f56034df7bd215138569,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x688,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,29,6,1,Screen 1,continueButton,response_rating_scale_likert_active,12304.700000047684,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Better to remain rather than leave and have the unknown,1,4/4/22,4/4/22,R_5gQEsZB8aUrsO5z,YES,Leave (For Brexit),Undecided,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,39,Female,NA,A levels,NA,75,2,Leave,Remain
9,1651570206600,03/05/2022 09:30:06,1651570206617,1,03/05/2022 10:30:06,85800,6,task-ogmx,NA,21633917,6396262,NA,complete,NA,6270f56034df7bd215138569,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x688,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,62,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4400,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To take back control of things like our fishing rights etc.,1,4/4/22,4/4/22,R_bDtCfhsew8vaVEZ,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Most months,57,Female,NA,GCSEs,NA,80,2,Leave,Leave
10,1651570211118,03/05/2022 09:30:11,1651570211128,1,03/05/2022 10:30:11,85800,6,task-ogmx,NA,21633917,6396262,NA,complete,NA,6270f56034df7bd215138569,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x688,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8_leavers,batch8_leavers,8,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4500.700000047684,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The money can be put towards the NHS,1,4/4/22,4/4/22,R_2Twaqyz09l1Xsvz,YES,Leave (For Brexit),Undecided,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,A few times a year,A few times a year,36,Female,NA,"Undergraduate degree (BSc, BA)",NA,71,2,Leave,Leave
