Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651570000000,03/05/2022 09:27,1651570000000,1,03/05/2022 10:27,85800,6,task-x1lq,NA,21633913,6396263,NA,complete,NA,6270f56823cb69076b4f20e6,mobile,Huawei VOG-L29,Android 10,Chrome 101.0.4951.41,780x360,755x231,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651570000000,03/05/2022 09:27,1651570000000,1,03/05/2022 10:27,85800,6,task-x1lq,NA,21633913,6396263,NA,complete,NA,6270f56823cb69076b4f20e6,mobile,Huawei VOG-L29,Android 10,Chrome 101.0.4951.41,780x360,755x231,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_leavers,batch1_leavers,1,1,1,Screen 1,advancementZone,continue_button,1883.9,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651570000000,03/05/2022 09:27,1651570000000,1,03/05/2022 10:27,85800,6,task-x1lq,NA,21633913,6396263,NA,complete,NA,6270f56823cb69076b4f20e6,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,780x360,980x299,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1651570000000,03/05/2022 09:27,1651570000000,1,03/05/2022 10:27,85800,6,task-x1lq,NA,21633913,6396263,NA,complete,NA,6270f56823cb69076b4f20e6,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,780x360,980x299,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_leavers,batch1_leavers,53,1,1,Screen 1,continueButton,response_rating_scale_likert_active,1529.3,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Trade difficulties, with no trade barriers we are free to trade with other EU countries, but out of the EU, Europe can impose limits on exports and make it harder to trade.",1,04/04/2022,04/04/2022,R_C1Dw9pUi2ZVrb2N,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,47,Male,NA,"Undergraduate degree (BSc, BA)",NA,9,2,Leave,Remain
5,1651570000000,03/05/2022 09:27,1651570000000,1,03/05/2022 10:27,85800,6,task-x1lq,NA,21633913,6396263,NA,complete,NA,6270f56823cb69076b4f20e6,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,780x360,980x299,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_leavers,batch1_leavers,3,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4244.1,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Disagree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
6,1651570000000,03/05/2022 09:28,1651570000000,1,03/05/2022 10:28,85800,6,task-x1lq,NA,21633913,6396263,NA,complete,NA,6270f56823cb69076b4f20e6,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,780x360,980x299,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_leavers,batch1_leavers,25,3,1,Screen 1,continueButton,response_rating_scale_likert_active,20685.3,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,less immigration coming to the uk,1,04/04/2022,04/04/2022,R_1pA1QpIJBgmZdng,YES,Leave (For Brexit),Very confident,Somewhat Agree,NA,Somewhat Disagree,Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,A few times a year,38,Female,NA,Vocational Training / Apprenticeship,NA,4,1,Leave,Leave
7,1651570000000,03/05/2022 09:28,1651570000000,1,03/05/2022 10:28,85800,6,task-x1lq,NA,21633913,6396263,NA,complete,NA,6270f56823cb69076b4f20e6,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,780x360,980x299,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_leavers,batch1_leavers,10,4,1,Screen 1,continueButton,response_rating_scale_likert_active,1502.2,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We need to trade with Europe easily,1,04/04/2022,04/04/2022,R_2OTJnMRgcagtxob,YES,Leave (For Brexit),Confident,Agree,NA,Somewhat Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,A few times a year,A few times a year,55,Female,NA,"Undergraduate degree (BSc, BA)",NA,2,1,Leave,Remain
8,1651570000000,03/05/2022 09:28,1651570000000,1,03/05/2022 10:28,85800,6,task-x1lq,NA,21633913,6396263,NA,complete,NA,6270f56823cb69076b4f20e6,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,780x360,980x299,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_leavers,batch1_leavers,20,5,1,Screen 1,continueButton,response_rating_scale_likert_active,1529.9,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To Reduce Immigration,1,04/04/2022,04/04/2022,R_A4KpD8byMDu1BVn,YES,Leave (For Brexit),Undecided,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Once or twice a year,A few times a year,33,Female,NA,Vocational Training / Apprenticeship,NA,3,2,Leave,Leave
9,1651570000000,03/05/2022 09:28,1651570000000,1,03/05/2022 10:28,85800,6,task-x1lq,NA,21633913,6396263,NA,complete,NA,6270f56823cb69076b4f20e6,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,780x360,980x299,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_leavers,batch1_leavers,9,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5602,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We can take in refugees from countries outside of Europe who are in more need than people who live in Europe.,1,04/04/2022,04/04/2022,R_28AoQNGT5MYwtA7,YES,Leave (For Brexit),Somewhat doubtful,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,A few times a year,42,Female,NA,"Undergraduate degree (BSc, BA)",NA,1,3,Leave,Leave
10,1651570000000,03/05/2022 09:28,1651570000000,1,03/05/2022 10:28,85800,6,task-x1lq,NA,21633913,6396263,NA,complete,NA,6270f56823cb69076b4f20e6,computer,Desktop or Laptop,Linux x86_64,Chrome 101.0.4951.41,780x360,980x299,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_leavers,batch1_leavers,6,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3483.4,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Why change something that is working?,1,04/04/2022,04/04/2022,R_28AoQNGT5MYwtA7,YES,Leave (For Brexit),Somewhat doubtful,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,A few times a year,42,Female,NA,"Undergraduate degree (BSc, BA)",NA,1,3,Leave,Remain
