Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651658540313,04/05/2022 10:02:20,1651658542003,1,04/05/2022 11:02:22,85800,9,task-7ecc,NA,21659083,6404160,NA,complete,NA,62724f1259178dcb02c59a0d,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x721,1707x770,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651658544911,04/05/2022 10:02:24,1651658546614,1,04/05/2022 11:02:26,85800,9,task-7ecc,NA,21659083,6404160,NA,complete,NA,62724f1259178dcb02c59a0d,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x721,1707x770,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,1,1,1,Screen 1,advancementZone,continue_button,4579.299999952316,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651658548396,04/05/2022 10:02:28,1651658550118,1,04/05/2022 11:02:30,85800,9,task-7ecc,NA,21659083,6404160,NA,complete,NA,62724f1259178dcb02c59a0d,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x721,1707x770,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,10,1,1,Screen 1,continueButton,response_rating_scale_likert_active,3492.399999856949,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We are far better of in the EU because of our human rights,1,4/4/22,4/4/22,R_1q2urxVfC20lVq0,YES,Leave (For Brexit),Very Doubtful,Strongly agree,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Most days,54,Male,NA,GCSEs,NA,62,1,Leave,Remain
4,1651658555555,04/05/2022 10:02:35,1651658557292,1,04/05/2022 11:02:37,85800,9,task-7ecc,NA,21659083,6404160,NA,complete,NA,62724f1259178dcb02c59a0d,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x721,1707x770,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,47,2,1,Screen 1,continueButton,response_rating_scale_likert_active,7162.200000047684,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We can freely trade which saves so much money/paperwork,1,4/4/22,4/4/22,R_UtfZ10PYGzZkPuh,YES,Leave (For Brexit),Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Once or twice a year,54,Female,NA,Vocational Training / Apprenticeship,NA,68,2,Leave,Remain
5,1651658560569,04/05/2022 10:02:40,1651658562292,1,04/05/2022 11:02:42,85800,9,task-7ecc,NA,21659083,6404160,NA,complete,NA,62724f1259178dcb02c59a0d,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x721,1707x770,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,36,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4990.600000143051,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Stable economic trade deal,1,4/4/22,4/4/22,R_2ro2NmQMJrGjNri,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Once or twice a year,50,Male,NA,"Undergraduate degree (BSc, BA)",No,66,3,Leave,Remain
6,1651658564855,04/05/2022 10:02:44,1651658566588,1,04/05/2022 11:02:46,85800,9,task-7ecc,NA,21659083,6404160,NA,complete,NA,62724f1259178dcb02c59a0d,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x721,1707x770,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,59,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4287.399999856949,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,easier trade agreements with EU,1,4/4/22,4/4/22,R_bBNC69j8OOCkz3H,YES,Leave (For Brexit),Doubtful,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,30,Female,NA,A levels,NA,70,2,Leave,Remain
7,1651658566322,04/05/2022 10:02:46,1651658568061,1,04/05/2022 11:02:48,85800,9,task-7ecc,NA,21659083,6404160,NA,complete,NA,62724f1259178dcb02c59a0d,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x721,1707x770,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,60,5,1,Screen 1,continueButton,response_rating_scale_likert_active,1465.7999999523165,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Freedom of movement and easier travel to EU contries,1,4/4/22,4/4/22,R_bBNC69j8OOCkz3H,YES,Leave (For Brexit),Doubtful,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,30,Female,NA,A levels,NA,70,3,Leave,Remain
8,1651658567775,04/05/2022 10:02:47,1651658569509,1,04/05/2022 11:02:49,85800,9,task-7ecc,NA,21659083,6404160,NA,complete,NA,62724f1259178dcb02c59a0d,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x721,1707x770,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,52,6,1,Screen 1,continueButton,response_rating_scale_likert_active,1438.1000001430511,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,More security with EU support,1,4/4/22,4/4/22,R_dj1P33nr0XG28aR,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Agree,NA,NA,NA,Once or twice a year,Rarely,28,Female,NA,"Undergraduate degree (BSc, BA)",NA,69,1,Leave,Remain
9,1651658574996,04/05/2022 10:02:54,1651658576733,1,04/05/2022 11:02:56,85800,9,task-7ecc,NA,21659083,6404160,NA,complete,NA,62724f1259178dcb02c59a0d,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x721,1707x770,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,22,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7215.700000047684,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,More peaceful relationship with other European countries,1,4/4/22,4/4/22,R_2U9GoAxjppvnGX2,YES,Leave (For Brexit),Somewhat doubtful,Somewhat Agree,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Never,Never,48,Female,NA,A levels,NA,64,1,Leave,Remain
10,1651658575087,04/05/2022 10:02:55,1651658576821,1,04/05/2022 11:02:56,85800,9,task-7ecc,NA,21659083,6404160,NA,complete,NA,62724f1259178dcb02c59a0d,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x721,1707x770,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_leavers,batch7_leavers,57,8,1,Screen 1,continueButton,response_rating_scale_likert_active,79.79999995231628,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The option of Global trade deals,1,4/4/22,4/4/22,R_dj1P33nr0XG28aR,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Agree,NA,NA,NA,Once or twice a year,Rarely,28,Female,NA,"Undergraduate degree (BSc, BA)",NA,69,3,Leave,Leave
