Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647021819127,11/03/2022 18:03:39,1647021819085,0,11/03/2022 18:03:39,82553,2,task-39lm,NA,20309878,6024356,NA,complete,NA,622b8ed0c6322130da8abac9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1920x1080,1818x882,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647021822163,11/03/2022 18:03:42,1647021822163,0,11/03/2022 18:03:42,82553,2,task-39lm,NA,20309878,6024356,NA,complete,NA,622b8ed0c6322130da8abac9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1920x1080,1818x882,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,1,1,1,Screen 1,advancementZone,continue_button,3007.29999999702,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647021842059,11/03/2022 18:04:02,1647021842030,0,11/03/2022 18:04:02,82553,2,task-39lm,NA,20309878,6024356,NA,complete,NA,622b8ed0c6322130da8abac9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1920x1080,1818x882,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,58,1,1,Screen 1,continueButton,response_rating_scale_likert_active,19847.70000000298,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I just like the taste of meat and portray it as unsubstitutable,1,28/02/2022 18:38,28/02/2022 18:47,R_331lt4xEAigQbas,YES,No,Confident,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,A few times a year,19,Male,NA,No formal qualifications,NA,50,1,Against,Against
4,1647021848866,11/03/2022 18:04:08,1647021848854,0,11/03/2022 18:04:08,82553,2,task-39lm,NA,20309878,6024356,NA,complete,NA,622b8ed0c6322130da8abac9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1920x1080,1818x882,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,22,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6804.89999999851,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,you will become protein and b12 deficient,1,28/02/2022 18:38,28/02/2022 18:46,R_3qCMLQxExWKoEtm,YES,No,Somewhat doubtful,Somewhat Agree,NA,Disagree,Somewhat Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Once or twice a year,Rarely,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,44,1,Against,Against
5,1647021853507,11/03/2022 18:04:13,1647021853468,0,11/03/2022 18:04:13,82553,2,task-39lm,NA,20309878,6024356,NA,complete,NA,622b8ed0c6322130da8abac9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1920x1080,1818x882,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,59,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4597.29999999702,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I think meat is a very fundamental product in human diet,1,28/02/2022 18:38,28/02/2022 18:47,R_331lt4xEAigQbas,YES,No,Confident,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,A few times a year,19,Male,NA,No formal qualifications,NA,50,2,Against,Against
6,1647021855654,11/03/2022 18:04:15,1647021855645,0,11/03/2022 18:04:15,82553,2,task-39lm,NA,20309878,6024356,NA,complete,NA,622b8ed0c6322130da8abac9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1920x1080,1818x882,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,26,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2158.89999999851,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"have more energy, to slim down",1,28/02/2022 18:38,28/02/2022 18:46,R_3qCMLQxExWKoEtm,YES,No,Somewhat doubtful,Somewhat Agree,NA,Disagree,Somewhat Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Once or twice a year,Rarely,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,44,2,Against,For
7,1647021859176,11/03/2022 18:04:19,1647021859163,0,11/03/2022 18:04:19,82553,2,task-39lm,NA,20309878,6024356,NA,complete,NA,622b8ed0c6322130da8abac9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1920x1080,1818x882,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,61,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3491.699999999255,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,One does not want to support hurting animals,1,28/02/2022 18:38,28/02/2022 18:47,R_331lt4xEAigQbas,YES,No,Confident,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,A few times a year,19,Male,NA,No formal qualifications,NA,50,1,Against,For
8,1647021863340,11/03/2022 18:04:23,1647021863341,0,11/03/2022 18:04:23,82553,2,task-39lm,NA,20309878,6024356,NA,complete,NA,622b8ed0c6322130da8abac9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1920x1080,1818x882,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,60,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4163.300000000745,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I do not see any benefits from going vegan/vegetarian,1,28/02/2022 18:38,28/02/2022 18:47,R_331lt4xEAigQbas,YES,No,Confident,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,A few times a year,19,Male,NA,No formal qualifications,NA,50,3,Against,Against
9,1647021866674,11/03/2022 18:04:26,1647021866679,0,11/03/2022 18:04:26,82553,2,task-39lm,NA,20309878,6024356,NA,complete,NA,622b8ed0c6322130da8abac9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1920x1080,1818x882,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,43,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3321.39999999851,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I'm free to choose my type of food,1,28/02/2022 18:39,28/02/2022 18:47,R_3IbCJ4qBCGkKfmv,YES,No,Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,NA,Female,NA,No formal qualifications,NA,47,1,Against,For
10,1647021870477,11/03/2022 18:04:30,1647021870463,0,11/03/2022 18:04:30,82553,2,task-39lm,NA,20309878,6024356,NA,complete,NA,622b8ed0c6322130da8abac9,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1920x1080,1818x882,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,39,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3770.199999999255,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It makes you feel better mentally,1,28/02/2022 18:40,28/02/2022 18:47,R_2ZHRqo0boaD6q98,YES,No,Undecided,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Most months,Most months,21,Male,NA,A levels,NA,46,3,Against,For
