Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647020761287,11/03/2022 17:46:01,1647020760865,0,11/03/2022 17:46:00,82553,2,task-8jq2,NA,20309397,6024112,NA,complete,NA,622b8aa9f89aa49471a5a1ac,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1536x714,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thir_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647020765673,11/03/2022 17:46:05,1647020765275,0,11/03/2022 17:46:05,82553,2,task-8jq2,NA,20309397,6024112,NA,complete,NA,622b8aa9f89aa49471a5a1ac,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x714,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thir_Nv,thir_Nv,1,1,1,Screen 1,advancementZone,continue_button,4365.400000035763,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647020772841,11/03/2022 17:46:12,1647020772462,0,11/03/2022 17:46:12,82553,2,task-8jq2,NA,20309397,6024112,NA,complete,NA,622b8aa9f89aa49471a5a1ac,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x714,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thir_Nv,thir_Nv,48,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7161.800000011921,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,You need animal products for different vitamins and supplements,1,28/02/2022 18:40,28/02/2022 18:45,R_2WMxfJG3UHNScki,YES,No,Somewhat doubtful,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,37,Female,NA,"Undergraduate degree (BSc, BA)",NA,28,3,Against,Against
4,1647020778560,11/03/2022 17:46:18,1647020778177,0,11/03/2022 17:46:18,82553,2,task-8jq2,NA,20309397,6024112,NA,complete,NA,622b8aa9f89aa49471a5a1ac,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x714,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thir_Nv,thir_Nv,5,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5701.300000011921,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Not wanting to live that life and can be more expensive,1,28/02/2022 18:40,28/02/2022 18:45,R_2sZIQj5HdDXJ7rm,YES,No,Confident,Somewhat Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Once or twice a year,Most months,21,Female,NA,"Undergraduate degree (BSc, BA)",NA,21,2,Against,Against
5,1647020783934,11/03/2022 17:46:23,1647020783537,0,11/03/2022 17:46:23,82553,2,task-8jq2,NA,20309397,6024112,NA,complete,NA,622b8aa9f89aa49471a5a1ac,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x714,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thir_Nv,thir_Nv,22,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5348.399999976158,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,A vegan diet can be more expensive in the place where I live,1,28/02/2022 18:39,28/02/2022 18:45,R_1dsGrCr5DjbA2Jz,YES,No,Undecided,Agree,NA,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Never,25,Male,NA,"Undergraduate degree (BSc, BA)",NA,24,1,Against,Against
6,1647020789176,11/03/2022 17:46:29,1647020788781,0,11/03/2022 17:46:28,82553,2,task-8jq2,NA,20309397,6024112,NA,complete,NA,622b8aa9f89aa49471a5a1ac,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x714,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thir_Nv,thir_Nv,39,4,1,Screen 1,continueButton,response_rating_scale_likert_active,5229.899999976158,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Empathy. Thinking from the perspective of the animal.,1,28/02/2022 18:40,28/02/2022 18:45,R_pFOq2RGvvMZG0Qp,YES,No,Somewhat Confident,Agree,NA,Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,27,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,26,3,Against,For
7,1647020792403,11/03/2022 17:46:32,1647020791978,0,11/03/2022 17:46:31,82553,2,task-8jq2,NA,20309397,6024112,NA,complete,NA,622b8aa9f89aa49471a5a1ac,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x714,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thir_Nv,thir_Nv,31,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3184.300000011921,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I love and care about animals and do not like the way they are treated.,1,28/02/2022 18:40,28/02/2022 18:45,R_1PaYLHlZbKsQKgE,YES,No,Somewhat Confident,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Never,22,Male,NA,"Undergraduate degree (BSc, BA)",NA,25,1,Against,For
8,1647020794285,11/03/2022 17:46:34,1647020793897,0,11/03/2022 17:46:33,82553,2,task-8jq2,NA,20309397,6024112,NA,complete,NA,622b8aa9f89aa49471a5a1ac,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x714,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thir_Nv,thir_Nv,50,6,1,Screen 1,continueButton,response_rating_scale_likert_active,1907.699999988079,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Healthier living and healthy body,1,28/02/2022 18:40,28/02/2022 18:45,R_2WMxfJG3UHNScki,YES,No,Somewhat doubtful,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,37,Female,NA,"Undergraduate degree (BSc, BA)",NA,28,2,Against,For
9,1647020796089,11/03/2022 17:46:36,1647020795703,0,11/03/2022 17:46:35,82553,2,task-8jq2,NA,20309397,6024112,NA,complete,NA,622b8aa9f89aa49471a5a1ac,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x714,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thir_Nv,thir_Nv,49,7,1,Screen 1,continueButton,response_rating_scale_likert_active,1792.800000011921,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Cruelty to Animals is not right,1,28/02/2022 18:40,28/02/2022 18:45,R_2WMxfJG3UHNScki,YES,No,Somewhat doubtful,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,37,Female,NA,"Undergraduate degree (BSc, BA)",NA,28,1,Against,For
10,1647020806263,11/03/2022 17:46:46,1647020805863,0,11/03/2022 17:46:45,82553,2,task-8jq2,NA,20309397,6024112,NA,complete,NA,622b8aa9f89aa49471a5a1ac,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1536x864,1519x714,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thir_Nv,thir_Nv,12,8,1,Screen 1,continueButton,response_rating_scale_likert_active,10146.5,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"A better protein rich diet, which can be good for several reasons.",1,28/02/2022 18:38,28/02/2022 18:45,R_3D1mkQUlysqW5xU,YES,No,Confident,Agree,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Rarely,24,Male,NA,"Undergraduate degree (BSc, BA)",NA,22,3,Against,Against
