Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647021676017,11/03/2022 18:01:16,1647021676843,1,11/03/2022 19:01:16,82553,2,task-au9x,NA,20309825,6024325,NA,complete,NA,622b8dedf1418896cdbc1cb8,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1920x1080,1920x969,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647021687892,11/03/2022 18:01:27,1647021688748,1,11/03/2022 19:01:28,82553,2,task-au9x,NA,20309825,6024325,NA,complete,NA,622b8dedf1418896cdbc1cb8,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1920x1080,1920x969,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,1,1,1,Screen 1,advancementZone,continue_button,11864,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647021692458,11/03/2022 18:01:32,1647021693253,1,11/03/2022 19:01:33,82553,2,task-au9x,NA,20309825,6024325,NA,complete,NA,622b8dedf1418896cdbc1cb8,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1920x1080,1920x969,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,4,1,1,Screen 1,continueButton,response_rating_scale_likert_active,4487.799999999814,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I like eating meat, it is something that gives joy to me and my family",1,28/02/2022 18:38,28/02/2022 18:53,R_3lDkh0pPZnKxknW,YES,No,Very Doubtful,Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Most months,25,Male,NA,"Undergraduate degree (BSc, BA)","India and america are a problem, China is the source of all evil",81,1,Against,Against
4,1647021699036,11/03/2022 18:01:39,1647021699783,1,11/03/2022 19:01:39,82553,2,task-au9x,NA,20309825,6024325,NA,complete,NA,622b8dedf1418896cdbc1cb8,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1920x1080,1920x969,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,3,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6510.799999999814,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select “Somewhat Disagree” for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
5,1647021704145,11/03/2022 18:01:44,1647021704999,1,11/03/2022 19:01:44,82553,2,task-au9x,NA,20309825,6024325,NA,complete,NA,622b8dedf1418896cdbc1cb8,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1920x1080,1920x969,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,30,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5203.9000000003725,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I'm not vegan because meat have good nutrients,1,28/02/2022 18:39,28/02/2022 18:56,R_2BlGzGJ7LvmkQbO,YES,No,Confident,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,A few times a year,A few times a year,24,Male,NA,"Undergraduate degree (BSc, BA)",NA,85,3,Against,Against
6,1647021729390,11/03/2022 18:02:09,1647021720638,1,11/03/2022 19:02:00,82553,2,task-au9x,NA,20309825,6024325,NA,complete,NA,622b8dedf1418896cdbc1cb8,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1920x1080,1920x969,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,40,4,1,Screen 1,continueButton,response_rating_scale_likert_active,15628.10000000056,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"don't like the taste of vegan food / enjoy the taste of meat or animal produce / ""I eat whatever I want to eat""",1,28/02/2022 18:39,28/02/2022 18:56,R_2ANoqkBgdRHOIMm,YES,No,Somewhat Confident,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Once or twice a year,Rarely,19,Male,NA,A levels,NA,87,1,Against,Against
7,1647021729550,11/03/2022 18:02:09,1647021725782,1,11/03/2022 19:02:05,82553,2,task-au9x,NA,20309825,6024325,NA,complete,NA,622b8dedf1418896cdbc1cb8,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1920x1080,1920x969,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,46,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5133.5999999996275,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Meat is tasty and not necessarily means pain to animals,1,28/02/2022 18:40,28/02/2022 18:56,R_3oyDRsVAMjcjKF3,YES,No,Undecided,Somewhat Agree,NA,Disagree,Somewhat Agree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,Rarely,33,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,88,1,Against,Against
8,1647021738934,11/03/2022 18:02:18,1647021739846,1,11/03/2022 19:02:19,82553,2,task-au9x,NA,20309825,6024325,NA,complete,NA,622b8dedf1418896cdbc1cb8,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1920x1080,1920x969,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,5,6,1,Screen 1,continueButton,response_rating_scale_likert_active,14055.299999999814,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Eating meat makes me strong, it is full of protein and good for my muscles",1,28/02/2022 18:38,28/02/2022 18:53,R_3lDkh0pPZnKxknW,YES,No,Very Doubtful,Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Most months,25,Male,NA,"Undergraduate degree (BSc, BA)","India and america are a problem, China is the source of all evil",81,2,Against,Against
9,1647021746170,11/03/2022 18:02:26,1647021747077,1,11/03/2022 19:02:27,82553,2,task-au9x,NA,20309825,6024325,NA,complete,NA,622b8dedf1418896cdbc1cb8,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1920x1080,1920x969,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,52,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7221.600000000559,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,You will have difficulty when dining out as not many restaurants offer vegan choices,1,28/02/2022 18:39,28/02/2022 18:56,R_3PhGXnOZew8oP3P,YES,No,Very confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,A few times a year,25,Male,NA,"Undergraduate degree (BSc, BA)",NA,89,1,Against,Against
10,1647021758324,11/03/2022 18:02:38,1647021758987,1,11/03/2022 19:02:38,82553,2,task-au9x,NA,20309825,6024325,NA,complete,NA,622b8dedf1418896cdbc1cb8,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1920x1080,1920x969,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,9,8,1,Screen 1,continueButton,response_rating_scale_likert_active,11901.099999999627,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"not committing animal cruelty, being animal friendly, wanting animals to live good and long lives free of torture and pain",1,28/02/2022 18:38,28/02/2022 18:53,R_3lDkh0pPZnKxknW,YES,No,Very Doubtful,Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Most months,25,Male,NA,"Undergraduate degree (BSc, BA)","India and america are a problem, China is the source of all evil",81,3,Against,For
