Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647022340574,11/03/2022 18:12:20,1647022340238,0,11/03/2022 18:12:20,82553,2,task-l3ey,NA,20310059,6024529,NA,complete,NA,622b90e7e39c761ad58b604f,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,724x292,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647022342685,11/03/2022 18:12:22,1647022342429,0,11/03/2022 18:12:22,82553,2,task-l3ey,NA,20310059,6024529,NA,complete,NA,622b90e7e39c761ad58b604f,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,724x292,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,1,1,1,Screen 1,advancementZone,continue_button,2137,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647022360137,11/03/2022 18:12:40,1647022359891,0,11/03/2022 18:12:39,82553,2,task-l3ey,NA,20310059,6024529,NA,complete,NA,622b90e7e39c761ad58b604f,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,724x292,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,43,1,1,Screen 1,continueButton,response_rating_scale_likert_active,17438,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I do not want to hurt animals, nor consume products that are made by causing discomfort to animals.",1,28/02/2022 18:39,28/02/2022 19:02,R_3NDFUSc4jfe4CkU,YES,No,Undecided,Somewhat Agree,NA,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Once or twice a year,36,Male,NA,GCSEs,NA,97,1,Against,For
4,1647022363389,11/03/2022 18:12:43,1647022363132,0,11/03/2022 18:12:43,82553,2,task-l3ey,NA,20310059,6024529,NA,complete,NA,622b90e7e39c761ad58b604f,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,724x292,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,26,2,1,Screen 1,continueButton,response_rating_scale_likert_active,3215,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Being vegan helps in having a healthier way of living,1,28/02/2022 18:39,28/02/2022 18:59,R_2tqWlpURaaZv2RA,YES,No,Somewhat doubtful,Somewhat Agree,NA,Strongly Disagree,Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Once or twice a year,A few times a year,38,Male,NA,"Undergraduate degree (BSc, BA)",NA,94,2,Against,For
5,1647022373701,11/03/2022 18:12:53,1647022373438,0,11/03/2022 18:12:53,82553,2,task-l3ey,NA,20310059,6024529,NA,complete,NA,622b90e7e39c761ad58b604f,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,724x292,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,44,3,1,Screen 1,continueButton,response_rating_scale_likert_active,10279,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is healthier not to eat animal products.,1,28/02/2022 18:39,28/02/2022 19:02,R_3NDFUSc4jfe4CkU,YES,No,Undecided,Somewhat Agree,NA,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Once or twice a year,36,Male,NA,GCSEs,NA,97,2,Against,For
6,1647022375914,11/03/2022 18:12:55,1647022375630,0,11/03/2022 18:12:55,82553,2,task-l3ey,NA,20310059,6024529,NA,complete,NA,622b90e7e39c761ad58b604f,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,724x292,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,62,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2178,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I think it's healthier,1,2/3/22,2/3/22,R_3qQoZnkYVwmf81s,YES,No,Somewhat Confident,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Most months,19,Male,NA,No formal qualifications,NA,100,2,Against,For
7,1647022380125,11/03/2022 18:13:00,1647022379872,0,11/03/2022 18:12:59,82553,2,task-l3ey,NA,20310059,6024529,NA,complete,NA,622b90e7e39c761ad58b604f,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,724x292,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,49,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4216,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,to not kill animals because they don't deserv to die just to be eaten,1,28/02/2022 18:39,28/02/2022 19:19,R_eLQi2NMMiZJAIpz,YES,No,Very confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,98,1,Against,For
8,1647022385030,11/03/2022 18:13:05,1647022384748,0,11/03/2022 18:13:04,82553,2,task-l3ey,NA,20310059,6024529,NA,complete,NA,622b90e7e39c761ad58b604f,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,724x292,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,55,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4855,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To obtain the meat the animals suffer,1,28/02/2022 19:31,28/02/2022 19:43,R_RwCHsjLpuhUqVB7,YES,No,Doubtful,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,A few times a year,Most months,35,Female,NA,Doctorate (PhD),NA,99,1,Against,For
9,1647022390640,11/03/2022 18:13:10,1647022390321,0,11/03/2022 18:13:10,82553,2,task-l3ey,NA,20310059,6024529,NA,complete,NA,622b90e7e39c761ad58b604f,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,724x292,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,34,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5557,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,vegan food is more expensive than that of animal origin,1,28/02/2022 18:40,28/02/2022 19:02,R_239VQrqjU658rn6,YES,No,Somewhat Confident,Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,Most months,22,Male,NA,"GCSEs,Vocational Training / Apprenticeship,A levels",NA,96,1,Against,Against
10,1647022395046,11/03/2022 18:13:15,1647022394675,0,11/03/2022 18:13:14,82553,2,task-l3ey,NA,20310059,6024529,NA,complete,NA,622b90e7e39c761ad58b604f,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,724x292,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,56,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4325,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Meat increases health risks,1,28/02/2022 19:31,28/02/2022 19:43,R_RwCHsjLpuhUqVB7,YES,No,Doubtful,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,A few times a year,Most months,35,Female,NA,Doctorate (PhD),NA,99,2,Against,For
