Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647020788688,11/03/2022 17:46:28,1647020788569,0,11/03/2022 17:46:28,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647020801804,11/03/2022 17:46:41,1647020801731,0,11/03/2022 17:46:41,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,1,1,1,Screen 1,advancementZone,continue_button,13121.800000071526,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647020812361,11/03/2022 17:46:52,1647020812308,0,11/03/2022 17:46:52,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,22,1,1,Screen 1,continueButton,response_rating_scale_likert_active,10557.799999952316,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,because the meat is tasty,1,28/02/2022 18:38,28/02/2022 18:46,R_3MsoHVh1tqvO7yV,YES,No,Undecided,Agree,NA,Strongly Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Never,Rarely,20,Male,NA,"Undergraduate degree (BSc, BA)",NA,34,1,Against,Against
4,1647020817186,11/03/2022 17:46:57,1647020817114,0,11/03/2022 17:46:57,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,5,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4792,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Meat makes you strong,1,28/02/2022 18:39,28/02/2022 18:45,R_YVL92qhiDLi4k9j,YES,No,Doubtful,Somewhat Agree,NA,Disagree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Disagree,NA,NA,NA,Never,Never,26,Male,NA,"Undergraduate degree (BSc, BA)",n/a,31,2,Against,Against
5,1647020820521,11/03/2022 17:47:00,1647020820467,0,11/03/2022 17:47:00,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,53,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3339.6999999284744,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Non-vegan food taste better,1,28/02/2022 18:40,28/02/2022 18:46,R_3erEZ3P3mjPb7id,YES,No,Somewhat doubtful,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Rarely,Once or twice a year,23,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,39,2,Against,Against
6,1647020830453,11/03/2022 17:47:10,1647020830396,0,11/03/2022 17:47:10,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,54,4,1,Screen 1,continueButton,response_rating_scale_likert_active,9917.199999928474,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I've been used since I was born to eat animal meat,1,28/02/2022 18:40,28/02/2022 18:46,R_3erEZ3P3mjPb7id,YES,No,Somewhat doubtful,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Rarely,Once or twice a year,23,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,39,3,Against,Against
7,1647020837038,11/03/2022 17:47:17,1647020836986,0,11/03/2022 17:47:16,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,10,5,1,Screen 1,continueButton,response_rating_scale_likert_active,6573.199999928474,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Not caring about veganism.,1,28/02/2022 18:40,28/02/2022 18:45,R_2dDUWakQAyvRl1h,YES,No,Undecided,Neither Agree nor Disagree,NA,Somewhat Agree,Agree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Once or twice a year,Rarely,18,Male,NA,Vocational Training / Apprenticeship,Veganism isn't as popular as Vegetarianism and a bit stricter on the eating part.,32,1,Against,Against
8,1647020844906,11/03/2022 17:47:24,1647020844818,0,11/03/2022 17:47:24,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,38,6,1,Screen 1,continueButton,response_rating_scale_likert_active,7815.699999928474,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,meat production has a strong impact on environmental pollution,1,28/02/2022 18:39,28/02/2022 18:46,R_21nei4PBgpHO78L,YES,No,Doubtful,Agree,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Once or twice a year,Most months,23,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,36,2,Against,For
9,1647020856611,11/03/2022 17:47:36,1647020856552,0,11/03/2022 17:47:36,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,14,7,1,Screen 1,continueButton,response_rating_scale_likert_active,11717.799999952316,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Eggs and milk are for their children.,1,28/02/2022 18:40,28/02/2022 18:45,R_2dDUWakQAyvRl1h,YES,No,Undecided,Neither Agree nor Disagree,NA,Somewhat Agree,Agree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Once or twice a year,Rarely,18,Male,NA,Vocational Training / Apprenticeship,Veganism isn't as popular as Vegetarianism and a bit stricter on the eating part.,32,2,Against,For
10,1647020862413,11/03/2022 17:47:42,1647020862357,0,11/03/2022 17:47:42,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,41,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5789.599999904633,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I find no reason why I should not eat any animal products.,1,28/02/2022 18:39,28/02/2022 18:46,R_ZE5R9aPpqXObqM1,YES,No,Confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,A few times a year,Rarely,24,Male,NA,A levels,NA,37,2,Against,Against
11,1647020864572,11/03/2022 17:47:44,1647020864522,0,11/03/2022 17:47:44,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,52,9,1,Screen 1,continueButton,response_rating_scale_likert_active,2149.7999999523163,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Animal meat is necessary for its caloric intake,1,28/02/2022 18:40,28/02/2022 18:46,R_3erEZ3P3mjPb7id,YES,No,Somewhat doubtful,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Rarely,Once or twice a year,23,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,39,1,Against,Against
12,1647020872131,11/03/2022 17:47:52,1647020872061,0,11/03/2022 17:47:52,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,39,10,1,Screen 1,continueButton,response_rating_scale_likert_active,7524.300000071526,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"animals are killed in poor conditions and kept in very small cages or pens, are treated poorly and their welfare is not taken into account",1,28/02/2022 18:39,28/02/2022 18:46,R_21nei4PBgpHO78L,YES,No,Doubtful,Agree,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Once or twice a year,Most months,23,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,36,3,Against,For
13,1647020877984,11/03/2022 17:47:57,1647020877919,0,11/03/2022 17:47:57,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,36,11,1,Screen 1,continueButton,response_rating_scale_likert_active,5842.799999952316,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,you can eat meat by greatly reducing its consumption and thus avoiding the strong impact on pollution,1,28/02/2022 18:39,28/02/2022 18:46,R_21nei4PBgpHO78L,YES,No,Doubtful,Agree,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Once or twice a year,Most months,23,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,36,3,Against,Against
14,1647020882927,11/03/2022 17:48:02,1647020882872,0,11/03/2022 17:48:02,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,30,12,1,Screen 1,continueButton,response_rating_scale_likert_active,4936.299999952316,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"you only live once and that is not enough to deprive yourself of food, one of the pleasures of life",1,28/02/2022 18:41,28/02/2022 18:46,R_3iQOQrYaPMccPyE,YES,No,Very confident,Strongly Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,28,Male,NA,No formal qualifications,NA,35,3,Against,Against
15,1647020888677,11/03/2022 17:48:08,1647020888631,0,11/03/2022 17:48:08,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,24,13,1,Screen 1,continueButton,response_rating_scale_likert_active,5744,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I exaggerate the fact of not eating meat,1,28/02/2022 18:38,28/02/2022 18:46,R_3MsoHVh1tqvO7yV,YES,No,Undecided,Agree,NA,Strongly Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Never,Rarely,20,Male,NA,"Undergraduate degree (BSc, BA)",NA,34,3,Against,Against
16,1647020892345,11/03/2022 17:48:12,1647020892287,0,11/03/2022 17:48:12,82553,2,task-octl,NA,20309420,6024121,NA,complete,NA,622b8ae00cfd455214083142,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 99.0.4844.51,1440x900,1440x789,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,16,14,1,Screen 1,continueButton,response_rating_scale_likert_active,3639,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I do not care about animals.,1,28/02/2022 18:39,28/02/2022 18:46,R_1KkaCCIn38tRVe3,YES,No,Doubtful,Disagree,NA,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,A few times a year,Rarely,29,Male,NA,Vocational Training / Apprenticeship,NA,33,1,Against,Against
