Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647259651653,14/03/2022 12:07:31,1647259651395,0,14/03/2022 12:07:31,82553,3,task-x1lq,NA,20361757,6038916,NA,complete,NA,622f2fd1b47a9d608af33410,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,390x844,750x307,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647259662058,14/03/2022 12:07:42,1647259661803,0,14/03/2022 12:07:41,82553,3,task-x1lq,NA,20361757,6038916,NA,complete,NA,622f2fd1b47a9d608af33410,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,390x844,750x307,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,1,1,1,Screen 1,advancementZone,continue_button,10383,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647259669661,14/03/2022 12:07:49,1647259669622,0,14/03/2022 12:07:49,82553,3,task-x1lq,NA,20361757,6038916,NA,complete,NA,622f2fd1b47a9d608af33410,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,390x844,750x307,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,24,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7797,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Believe in the food chain,1,28/02/2022 18:40,28/02/2022 18:43,R_2xPIgOXnbE92zdf,YES,No,Very confident,Agree,NA,Agree,Somewhat Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,21,Female,NA,A levels,NA,4,3,Against,Against
4,1647259678581,14/03/2022 12:07:58,1647259678560,0,14/03/2022 12:07:58,82553,3,task-x1lq,NA,20361757,6038916,NA,complete,NA,622f2fd1b47a9d608af33410,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,390x844,750x307,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,50,2,1,Screen 1,continueButton,response_rating_scale_likert_active,8916,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Saving animals the suffering,1,28/02/2022 18:38,28/02/2022 18:43,R_1MS7484gbJmhztx,YES,No,Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Once or twice a year,24,Other,Genderless,Vocational Training / Apprenticeship,NA,8,2,Against,For
5,1647259687255,14/03/2022 12:08:07,1647259687210,0,14/03/2022 12:08:07,82553,3,task-x1lq,NA,20361757,6038916,NA,complete,NA,622f2fd1b47a9d608af33410,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,390x844,750x307,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,62,3,1,Screen 1,continueButton,response_rating_scale_likert_active,8627,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"respect for animals
",1,28/02/2022 18:38,28/02/2022 18:44,R_SVLdyKvpx3SWnO9,YES,No,Somewhat Confident,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,39,Male,NA,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",NA,10,2,Against,For
6,1647259689106,14/03/2022 12:08:09,1647259689077,0,14/03/2022 12:08:09,82553,3,task-x1lq,NA,20361757,6038916,NA,complete,NA,622f2fd1b47a9d608af33410,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,390x844,750x307,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,40,4,1,Screen 1,continueButton,response_rating_scale_likert_active,1847,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I like meat too much,1,28/02/2022 18:39,28/02/2022 18:43,R_3MlFfW41EiILSHH,YES,No,Undecided,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,A few times a year,42,Female,NA,Doctorate (PhD),NA,7,1,Against,Against
7,1647259691576,14/03/2022 12:08:11,1647259691542,0,14/03/2022 12:08:11,82553,3,task-x1lq,NA,20361757,6038916,NA,complete,NA,622f2fd1b47a9d608af33410,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,390x844,750x307,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,12,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2443,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It's bad for my health I need nutrients from meat and other products.,1,28/02/2022 18:39,28/02/2022 18:42,R_QlWb9Be3m7yANeF,YES,No,Somewhat Confident,Agree,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,22,Male,NA,"Undergraduate degree (BSc, BA)",NA,2,3,Against,Against
8,1647259696320,14/03/2022 12:08:16,1647259696295,0,14/03/2022 12:08:16,82553,3,task-x1lq,NA,20361757,6038916,NA,complete,NA,622f2fd1b47a9d608af33410,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,390x844,750x307,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,16,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4730.999999999993,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,My decisions will not make any change to environment,1,28/02/2022 18:38,28/02/2022 18:42,R_BJ2FvlqqkOSiNBD,YES,No,Somewhat doubtful,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Once or twice a year,21,Male,NA,A levels,NA,3,1,Against,Against
9,1647259702291,14/03/2022 12:08:22,1647259702262,0,14/03/2022 12:08:22,82553,3,task-x1lq,NA,20361757,6038916,NA,complete,NA,622f2fd1b47a9d608af33410,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,390x844,750x307,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,19,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5947,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Environmental protection,1,28/02/2022 18:38,28/02/2022 18:42,R_BJ2FvlqqkOSiNBD,YES,No,Somewhat doubtful,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Once or twice a year,21,Male,NA,A levels,NA,3,1,Against,For
10,1647259707363,14/03/2022 12:08:27,1647259707334,0,14/03/2022 12:08:27,82553,3,task-x1lq,NA,20361757,6038916,NA,complete,NA,622f2fd1b47a9d608af33410,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,390x844,750x307,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,26,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5053,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Helping the environment,1,28/02/2022 18:40,28/02/2022 18:43,R_2xPIgOXnbE92zdf,YES,No,Very confident,Agree,NA,Agree,Somewhat Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,21,Female,NA,A levels,NA,4,2,Against,For
