Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647268368591,14/03/2022 14:32:48,1647268368509,2,14/03/2022 16:32:48,82553,4,task-ogmx,NA,20369476,6041468,NA,complete,NA,622f51ed583ffe8b0c736084,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x714,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647268375815,14/03/2022 14:32:55,1647268375764,2,14/03/2022 16:32:55,82553,4,task-ogmx,NA,20369476,6041468,NA,complete,NA,622f51ed583ffe8b0c736084,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,1,1,1,Screen 1,advancementZone,continue_button,7211.800000000745,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647268379692,14/03/2022 14:32:59,1647268379624,2,14/03/2022 16:32:59,82553,4,task-ogmx,NA,20369476,6041468,NA,complete,NA,622f51ed583ffe8b0c736084,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,54,1,1,Screen 1,continueButton,response_rating_scale_likert_active,3846.70000000298,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am not vegan because I believe that animals were meant to be eaten by humans.,1,28/02/2022 18:40,28/02/2022 18:53,R_3OprnCAz7jbZAAl,YES,No,Very Doubtful,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most months,Most weeks,20,Male,NA,A levels,It was very interesting,79,3,Against,Against
4,1647268383482,14/03/2022 14:33:03,1647268383404,2,14/03/2022 16:33:03,82553,4,task-ogmx,NA,20369476,6041468,NA,complete,NA,622f51ed583ffe8b0c736084,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,36,2,1,Screen 1,continueButton,response_rating_scale_likert_active,3764.699999999255,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I want the protein,1,28/02/2022 18:39,28/02/2022 18:51,R_3Rq2XIBzytcVEBM,YES,No,Confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Rarely,24,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,76,3,Against,Against
5,1647268385999,14/03/2022 14:33:05,1647268385961,2,14/03/2022 16:33:05,82553,4,task-ogmx,NA,20369476,6041468,NA,complete,NA,622f51ed583ffe8b0c736084,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,9,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2538.5,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Veganism is Eco-friendly and reduces climate change,1,28/02/2022 18:39,28/02/2022 18:51,R_2TGEKTovN5qfwAa,YES,No,Confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Never,26,Male,NA,"Undergraduate degree (BSc, BA)",NA,71,3,Against,For
6,1647268395387,14/03/2022 14:33:15,1647268395348,2,14/03/2022 16:33:15,82553,4,task-ogmx,NA,20369476,6041468,NA,complete,NA,622f51ed583ffe8b0c736084,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,14,4,1,Screen 1,continueButton,response_rating_scale_likert_active,9369.599999997765,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Nonvegan people usually cannot keep fit because of the amounts of meat they consume even on a daily basis.Being vegan means that you pay more attention to what you consume so that means healthier diet,1,28/02/2022 18:42,28/02/2022 18:51,R_1JQ4uWKoNcqkgfG,YES,No,Somewhat doubtful,Strongly agree,NA,Strongly Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Most weeks,23,Male,NA,NA,NA,72,2,Against,For
7,1647268401615,14/03/2022 14:33:21,1647268401554,2,14/03/2022 16:33:21,82553,4,task-ogmx,NA,20369476,6041468,NA,complete,NA,622f51ed583ffe8b0c736084,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,48,5,1,Screen 1,continueButton,response_rating_scale_likert_active,6195.89999999851,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,veganism is unsustainable for the environment but also much more polluting for the planet because grazing animals are the only ones that can regenerate the fertile layers of the earth through regenera,1,28/02/2022 18:40,28/02/2022 18:52,R_2R8oH4rIzxxGgaa,YES,No,Undecided,Neither Agree nor Disagree,NA,Somewhat Disagree,Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Once or twice a year,18,Female,NA,"Undergraduate degree (BSc, BA)",NA,78,3,Against,Against
8,1647268404839,14/03/2022 14:33:24,1647268404805,2,14/03/2022 16:33:24,82553,4,task-ogmx,NA,20369476,6041468,NA,complete,NA,622f51ed583ffe8b0c736084,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,44,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3234.199999999255,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Because I don't want to hurt the animals and I think it is unfair.,1,28/02/2022 18:39,28/02/2022 18:52,R_1FXxEjmXA6s9wvT,YES,No,Somewhat doubtful,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Once or twice a year,27,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,77,2,Against,For
9,1647268408073,14/03/2022 14:33:28,1647268408031,2,14/03/2022 16:33:28,82553,4,task-ogmx,NA,20369476,6041468,NA,complete,NA,622f51ed583ffe8b0c736084,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,18,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3219.20000000298,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,You're free to decide what do you want to eat,1,28/02/2022 18:40,28/02/2022 18:51,R_1E5tVRovtmYVgYk,YES,No,Somewhat Confident,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,A few times a year,19,Male,NA,"Undergraduate degree (BSc, BA)",all good,73,3,Against,Against
10,1647268411196,14/03/2022 14:33:31,1647268411145,2,14/03/2022 16:33:31,82553,4,task-ogmx,NA,20369476,6041468,NA,complete,NA,622f51ed583ffe8b0c736084,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x714,NA,ITT Ratings,2,for,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,29,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3093.5,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We've always done this. Humanity has kept animals for slaughtering for the longest time,1,28/02/2022 18:39,28/02/2022 18:51,R_2QX1aXW9lzmN8q7,YES,No,Confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,A few times a year,Never,23,Male,NA,A levels,hi :),75,2,Against,Against
