Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646414652357,04/03/2022 17:24:12,1646414652481,1,04/03/2022 18:24:12,81666,3,task-39lm,NA,20079971,5946486,NA,complete,NA,62224b2e66d122e83a84d5f1,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x761,NA,ITT Ratings,2,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646414654176,04/03/2022 17:24:14,1646414654322,1,04/03/2022 18:24:14,81666,3,task-39lm,NA,20079971,5946486,NA,complete,NA,62224b2e66d122e83a84d5f1,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x761,NA,ITT Ratings,2,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,1,1,1,Screen 1,advancementZone,continue_button,1820.800000011921,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646414659294,04/03/2022 17:24:19,1646414659451,1,04/03/2022 18:24:19,81666,3,task-39lm,NA,20079971,5946486,NA,complete,NA,62224b2e66d122e83a84d5f1,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x761,NA,ITT Ratings,2,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,28,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5119.199999988079,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I like meat, I won't stop eating it just because people tell me to.",1,28/02/2022 18:38,28/02/2022 18:47,R_2UhIy6kf4urXVYy,YES,No,Somewhat Confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Most weeks,Most months,22,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,45,1,Against,Against
4,1646414664484,04/03/2022 17:24:24,1646414664618,1,04/03/2022 18:24:24,81666,3,task-39lm,NA,20079971,5946486,NA,complete,NA,62224b2e66d122e83a84d5f1,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x761,NA,ITT Ratings,2,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,5,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5160.400000035763,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I like meat so much,1,28/02/2022 18:40,28/02/2022 18:46,R_2V8wqNDZWoOXatk,YES,No,Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Once or twice a year,24,Female,NA,"Undergraduate degree (BSc, BA)",NA,41,2,Against,Against
5,1646414670492,04/03/2022 17:24:30,1646414670634,1,04/03/2022 18:24:30,81666,3,task-39lm,NA,20079971,5946486,NA,complete,NA,62224b2e66d122e83a84d5f1,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x761,NA,ITT Ratings,2,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,4,3,1,Screen 1,continueButton,response_rating_scale_likert_active,6006.600000023842,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Is difficult change the diet,1,28/02/2022 18:40,28/02/2022 18:46,R_2V8wqNDZWoOXatk,YES,No,Somewhat Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Once or twice a year,24,Female,NA,"Undergraduate degree (BSc, BA)",NA,41,1,Against,Against
6,1646414679096,04/03/2022 17:24:39,1646414679250,1,04/03/2022 18:24:39,81666,3,task-39lm,NA,20079971,5946486,NA,complete,NA,62224b2e66d122e83a84d5f1,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x761,NA,ITT Ratings,2,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,32,4,1,Screen 1,continueButton,response_rating_scale_likert_active,8608.900000035763,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"It's much more environmental friendly, reducing current meat consumption and changing today's diet habits would not only decrease CO2 emission but would reduce freshwater consumption.",1,28/02/2022 18:38,28/02/2022 18:47,R_2UhIy6kf4urXVYy,YES,No,Somewhat Confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Most weeks,Most months,22,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,45,2,Against,For
7,1646414692806,04/03/2022 17:24:52,1646414692962,1,04/03/2022 18:24:52,81666,3,task-39lm,NA,20079971,5946486,NA,complete,NA,62224b2e66d122e83a84d5f1,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x761,NA,ITT Ratings,2,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,47,5,1,Screen 1,continueButton,response_rating_scale_likert_active,13705.600000023842,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,plant-based protein is less bioavailable than animal protein.,1,28/02/2022 18:41,28/02/2022 18:47,R_bNw5zm3Kf4KVHqx,YES,No,Undecided,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Once or twice a year,25,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,48,2,Against,Against
8,1646414697058,04/03/2022 17:24:57,1646414697210,1,04/03/2022 18:24:57,81666,3,task-39lm,NA,20079971,5946486,NA,complete,NA,62224b2e66d122e83a84d5f1,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x761,NA,ITT Ratings,2,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,55,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4241.800000011921,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Religious convictions,1,28/02/2022 18:39,28/02/2022 18:47,R_1FljszJaCGOoYUU,YES,No,Very Doubtful,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,A few times a year,Rarely,NA,Male,NA,"No formal qualifications,A levels",none,49,1,Against,For
9,1646414704362,04/03/2022 17:25:04,1646414704474,1,04/03/2022 18:25:04,81666,3,task-39lm,NA,20079971,5946486,NA,complete,NA,62224b2e66d122e83a84d5f1,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x761,NA,ITT Ratings,2,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,10,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7257.699999988079,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Their religion has nothing against eating meat.,1,28/02/2022 18:39,28/02/2022 18:46,R_CemUaldQcVsxbnr,YES,No,Undecided,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Rarely,Once or twice a year,21,Male,NA,"Undergraduate degree (BSc, BA)",NA,42,1,Against,Against
10,1646414706651,04/03/2022 17:25:06,1646414706810,1,04/03/2022 18:25:06,81666,3,task-39lm,NA,20079971,5946486,NA,complete,NA,62224b2e66d122e83a84d5f1,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x761,NA,ITT Ratings,2,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_Nv,fiv_Nv,57,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2330.099999964237,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,concerns about animal welfare,1,28/02/2022 18:39,28/02/2022 18:47,R_1FljszJaCGOoYUU,YES,No,Very Doubtful,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Strongly Disagree,NA,NA,NA,A few times a year,Rarely,NA,Male,NA,"No formal qualifications,A levels",none,49,3,Against,For
