Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646414624751,04/03/2022 17:23:44,1646414626042,0,04/03/2022 17:23:46,81666,3,task-7ecc,NA,20079928,5946448,NA,complete,NA,62224ae1cdaa22aff33c8a56,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x760,NA,ITT Ratings,2,not for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,sev_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646414637671,04/03/2022 17:23:57,1646414638988,0,04/03/2022 17:23:58,81666,3,task-7ecc,NA,20079928,5946448,NA,complete,NA,62224ae1cdaa22aff33c8a56,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x760,NA,ITT Ratings,2,not for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,sev_Nv,sev_Nv,1,1,1,Screen 1,advancementZone,continue_button,12897,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646414651906,04/03/2022 17:24:11,1646414653239,0,04/03/2022 17:24:13,81666,3,task-7ecc,NA,20079928,5946448,NA,complete,NA,62224ae1cdaa22aff33c8a56,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x760,NA,ITT Ratings,2,not for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,sev_Nv,sev_Nv,8,1,1,Screen 1,continueButton,response_rating_scale_likert_active,14228,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Being vegan is living in harmony with nature.,1,28/02/2022 18:38,28/02/2022 18:49,R_UcHE5pvaF6foZUZ,YES,No,Confident,Neither Agree nor Disagree,NA,Somewhat Agree,Agree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Rarely,Never,20,Male,NA,A levels,NA,61,2,Against,For
4,1646414655647,04/03/2022 17:24:15,1646414656965,0,04/03/2022 17:24:16,81666,3,task-7ecc,NA,20079928,5946448,NA,complete,NA,62224ae1cdaa22aff33c8a56,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x760,NA,ITT Ratings,2,not for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,sev_Nv,sev_Nv,33,2,1,Screen 1,continueButton,response_rating_scale_likert_active,3712,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,vegan is good to your health,1,28/02/2022 18:39,28/02/2022 18:49,R_1OiZO6057aXU0jV,YES,No,Very Doubtful,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Never,19,Male,NA,A levels,NA,65,3,Against,For
5,1646414662528,04/03/2022 17:24:22,1646414663853,0,04/03/2022 17:24:23,81666,3,task-7ecc,NA,20079928,5946448,NA,complete,NA,62224ae1cdaa22aff33c8a56,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x760,NA,ITT Ratings,2,not for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,sev_Nv,sev_Nv,26,3,1,Screen 1,continueButton,response_rating_scale_likert_active,6870.79999999702,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The meat industry perpetuates the consumption of meat so they can gain profit forever.,1,28/02/2022 18:38,28/02/2022 18:49,R_2PjNgr9l407zLQj,YES,No,Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,A few times a year,Rarely,27,Male,NA,"Undergraduate degree (BSc, BA)",NA,64,2,Against,For
6,1646414669551,04/03/2022 17:24:29,1646414670885,0,04/03/2022 17:24:30,81666,3,task-7ecc,NA,20079928,5946448,NA,complete,NA,62224ae1cdaa22aff33c8a56,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x760,NA,ITT Ratings,2,not for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,sev_Nv,sev_Nv,12,4,1,Screen 1,continueButton,response_rating_scale_likert_active,7017,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,God supplied people with bread and fish,1,28/02/2022 18:40,28/02/2022 18:49,R_8iFuruLiIi52Fbz,YES,No,Undecided,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,33,Female,NA,"Undergraduate degree (BSc, BA)",NA,62,3,Against,Against
7,1646414677038,04/03/2022 17:24:37,1646414678383,0,04/03/2022 17:24:38,81666,3,task-7ecc,NA,20079928,5946448,NA,complete,NA,62224ae1cdaa22aff33c8a56,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x760,NA,ITT Ratings,2,not for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,sev_Nv,sev_Nv,53,5,1,Screen 1,continueButton,response_rating_scale_likert_active,7477,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,There is no option not to have meat in my diet.,1,28/02/2022 18:39,28/02/2022 18:50,R_2U3GV1dLdmaXpqP,YES,No,Confident,Somewhat Agree,NA,Somewhat Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,A few times a year,Most weeks,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,69,2,Against,Against
8,1646414679956,04/03/2022 17:24:39,1646414681289,0,04/03/2022 17:24:41,81666,3,task-7ecc,NA,20079928,5946448,NA,complete,NA,62224ae1cdaa22aff33c8a56,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x760,NA,ITT Ratings,2,not for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,sev_Nv,sev_Nv,43,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2891.79999999702,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Animals are same as people,1,28/02/2022 18:39,28/02/2022 18:49,R_3hrW0PCz49oW00L,YES,No,Somewhat doubtful,Agree,NA,Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Rarely,Rarely,20,Male,NA,No formal qualifications,NA,67,1,Against,For
9,1646414683487,04/03/2022 17:24:43,1646414684811,0,04/03/2022 17:24:44,81666,3,task-7ecc,NA,20079928,5946448,NA,complete,NA,62224ae1cdaa22aff33c8a56,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x760,NA,ITT Ratings,2,not for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,sev_Nv,sev_Nv,35,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3506.70000000298,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I like meat and don't care about animals,1,28/02/2022 18:39,28/02/2022 18:49,R_3Jr747dKaTQ9zHt,YES,No,Undecided,Somewhat Agree,NA,Strongly Disagree,Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Once or twice a year,Never,22,Male,NA,A levels,NA,66,2,Against,Against
10,1646414687849,04/03/2022 17:24:47,1646414689187,0,04/03/2022 17:24:49,81666,3,task-7ecc,NA,20079928,5946448,NA,complete,NA,62224ae1cdaa22aff33c8a56,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x760,NA,ITT Ratings,2,not for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,sev_Nv,sev_Nv,63,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4363.5,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I find meat not tasty and prefer avoiding in in my diet,1,28/02/2022 18:40,28/02/2022 18:50,R_2y2AdX1y9dVa68l,YES,No,Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,A few times a year,Rarely,18,Male,NA,GCSEs,NA,70,3,Against,For
