Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646410000000,04/03/2022 17:23,1646410000000,0,04/03/2022 17:23,81666,3,task-l3ey,NA,20079916,5946453,NA,complete,NA,62224aeda5997d616bab45f7,computer,Desktop or Laptop,Windows 10,Opera 84.0.4316.21,1920x1080,1880x931,NA,ITT Ratings,2,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646410000000,04/03/2022 17:23,1646410000000,0,04/03/2022 17:23,81666,3,task-l3ey,NA,20079916,5946453,NA,complete,NA,62224aeda5997d616bab45f7,computer,Desktop or Laptop,Windows 10,Opera 84.0.4316.21,1920x1080,1880x931,NA,ITT Ratings,2,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,1,1,1,Screen 1,advancementZone,continue_button,2199.2,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646410000000,04/03/2022 17:23,1646410000000,0,04/03/2022 17:23,81666,3,task-l3ey,NA,20079916,5946453,NA,complete,NA,62224aeda5997d616bab45f7,computer,Desktop or Laptop,Windows 10,Opera 84.0.4316.21,1920x1080,1880x931,NA,ITT Ratings,2,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,20,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7734.5,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Changing thier diet,1,28/02/2022 18:47,28/02/2022 18:57,R_vqLLcqBA4kWSJ9v,YES,No,Very Doubtful,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Never,Rarely,24,Male,NA,Vocational Training / Apprenticeship,NA,93,2,Against,For
4,1646410000000,04/03/2022 17:23,1646410000000,0,04/03/2022 17:23,81666,3,task-l3ey,NA,20079916,5946453,NA,complete,NA,62224aeda5997d616bab45f7,computer,Desktop or Laptop,Windows 10,Opera 84.0.4316.21,1920x1080,1880x931,NA,ITT Ratings,2,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,51,2,1,Screen 1,continueButton,response_rating_scale_likert_active,7024.7,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"because of the environment, because the secretions contribute to 
global warming and we must not creat animals just to eat, only to live in peace",1,28/02/2022 18:39,28/02/2022 19:19,R_eLQi2NMMiZJAIpz,YES,No,Very confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,98,3,Against,For
5,1646410000000,04/03/2022 17:24,1646410000000,0,04/03/2022 17:24,81666,3,task-l3ey,NA,20079916,5946453,NA,complete,NA,62224aeda5997d616bab45f7,computer,Desktop or Laptop,Windows 10,Opera 84.0.4316.21,1920x1080,1880x931,NA,ITT Ratings,2,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,44,3,1,Screen 1,continueButton,response_rating_scale_likert_active,7399.5,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It is healthier not to eat animal products.,1,28/02/2022 18:39,28/02/2022 19:02,R_3NDFUSc4jfe4CkU,YES,No,Undecided,Somewhat Agree,NA,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Once or twice a year,36,Male,NA,GCSEs,NA,97,2,Against,For
6,1646410000000,04/03/2022 17:24,1646410000000,0,04/03/2022 17:24,81666,3,task-l3ey,NA,20079916,5946453,NA,complete,NA,62224aeda5997d616bab45f7,computer,Desktop or Laptop,Windows 10,Opera 84.0.4316.21,1920x1080,1880x931,NA,ITT Ratings,2,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,63,4,1,Screen 1,continueButton,response_rating_scale_likert_active,6553.4,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is trendy and I want to try it,1,02/03/2022,02/03/2022,R_3qQoZnkYVwmf81s,YES,No,Somewhat Confident,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Most months,19,Male,NA,No formal qualifications,NA,100,3,Against,For
7,1646410000000,04/03/2022 17:24,1646410000000,0,04/03/2022 17:24,81666,3,task-l3ey,NA,20079916,5946453,NA,complete,NA,62224aeda5997d616bab45f7,computer,Desktop or Laptop,Windows 10,Opera 84.0.4316.21,1920x1080,1880x931,NA,ITT Ratings,2,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,19,5,1,Screen 1,continueButton,response_rating_scale_likert_active,26916.1,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Protecting all animals from animal cruelty,1,28/02/2022 18:47,28/02/2022 18:57,R_vqLLcqBA4kWSJ9v,YES,No,Very Doubtful,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Never,Rarely,24,Male,NA,Vocational Training / Apprenticeship,NA,93,1,Against,For
8,1646410000000,04/03/2022 17:24,1646410000000,0,04/03/2022 17:24,81666,3,task-l3ey,NA,20079916,5946453,NA,complete,NA,62224aeda5997d616bab45f7,computer,Desktop or Laptop,Windows 10,Opera 84.0.4316.21,1920x1080,1880x931,NA,ITT Ratings,2,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,43,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5960.1,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I do not want to hurt animals, nor consume products that are made by causing discomfort to animals.",1,28/02/2022 18:39,28/02/2022 19:02,R_3NDFUSc4jfe4CkU,YES,No,Undecided,Somewhat Agree,NA,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Once or twice a year,36,Male,NA,GCSEs,NA,97,1,Against,For
9,1646410000000,04/03/2022 17:24,1646410000000,0,04/03/2022 17:24,81666,3,task-l3ey,NA,20079916,5946453,NA,complete,NA,62224aeda5997d616bab45f7,computer,Desktop or Laptop,Windows 10,Opera 84.0.4316.21,1920x1080,1880x931,NA,ITT Ratings,2,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,13,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2512.8,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't  like meat.,1,28/02/2022 18:50,28/02/2022 18:57,R_pi8gFBPWsEVyOWt,YES,No,Somewhat Confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,20,Male,NA,A levels,NA,92,1,Against,For
10,1646410000000,04/03/2022 17:24,1646410000000,0,04/03/2022 17:24,81666,3,task-l3ey,NA,20079916,5946453,NA,complete,NA,62224aeda5997d616bab45f7,computer,Desktop or Laptop,Windows 10,Opera 84.0.4316.21,1920x1080,1880x931,NA,ITT Ratings,2,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_Nv,ten_Nv,48,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5081.9,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,because if you only eat a diet vegan you'll get anemia,1,28/02/2022 18:39,28/02/2022 19:19,R_eLQi2NMMiZJAIpz,YES,No,Very confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,98,3,Against,Against
