Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646414580395,04/03/2022 17:23:00,1646414581815,0,04/03/2022 17:23:01,81666,3,task-octl,NA,20079879,5946444,NA,complete,NA,62224ace5337fcf00d961926,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646414589647,04/03/2022 17:23:09,1646414591160,0,04/03/2022 17:23:11,81666,3,task-octl,NA,20079879,5946444,NA,complete,NA,62224ace5337fcf00d961926,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,1,1,1,Screen 1,advancementZone,continue_button,9308.30000001192,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646414604383,04/03/2022 17:23:24,1646414605875,0,04/03/2022 17:23:25,81666,3,task-octl,NA,20079879,5946444,NA,complete,NA,62224ace5337fcf00d961926,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,31,1,1,Screen 1,continueButton,response_rating_scale_likert_active,14695.30000001192,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,not eating animals clearly does not harm them,1,28/02/2022 18:41,28/02/2022 18:46,R_3iQOQrYaPMccPyE,YES,No,Very confident,Strongly Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,28,Male,NA,No formal qualifications,NA,35,1,Against,For
4,1646414611834,04/03/2022 17:23:31,1646414613338,0,04/03/2022 17:23:33,81666,3,task-octl,NA,20079879,5946444,NA,complete,NA,62224ace5337fcf00d961926,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,58,2,1,Screen 1,continueButton,response_rating_scale_likert_active,7449.700000047684,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I love meat to much,1,28/02/2022 18:38,28/02/2022 18:46,R_2CcXu4XYECO43xD,YES,No,Confident,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,19,Female,NA,A levels,NA,40,1,Against,Against
5,1646414619029,04/03/2022 17:23:39,1646414620536,0,04/03/2022 17:23:40,81666,3,task-octl,NA,20079879,5946444,NA,complete,NA,62224ace5337fcf00d961926,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,13,3,1,Screen 1,continueButton,response_rating_scale_likert_active,7182.299999952316,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Believing in not killing any animals even for food.,1,28/02/2022 18:40,28/02/2022 18:45,R_2dDUWakQAyvRl1h,YES,No,Undecided,Neither Agree nor Disagree,NA,Somewhat Agree,Agree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Once or twice a year,Rarely,18,Male,NA,Vocational Training / Apprenticeship,Veganism isn't as popular as Vegetarianism and a bit stricter on the eating part.,32,1,Against,For
6,1646414625155,04/03/2022 17:23:45,1646414626661,0,04/03/2022 17:23:46,81666,3,task-octl,NA,20079879,5946444,NA,complete,NA,62224ace5337fcf00d961926,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,24,4,1,Screen 1,continueButton,response_rating_scale_likert_active,6112.900000035763,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I exaggerate the fact of not eating meat,1,28/02/2022 18:38,28/02/2022 18:46,R_3MsoHVh1tqvO7yV,YES,No,Undecided,Agree,NA,Strongly Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Never,Rarely,20,Male,NA,"Undergraduate degree (BSc, BA)",NA,34,3,Against,Against
7,1646414631099,04/03/2022 17:23:51,1646414632608,0,04/03/2022 17:23:52,81666,3,task-octl,NA,20079879,5946444,NA,complete,NA,62224ace5337fcf00d961926,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,28,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5937.899999976158,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,loving animals does not necessarily mean not consuming meat or animal by-products,1,28/02/2022 18:41,28/02/2022 18:46,R_3iQOQrYaPMccPyE,YES,No,Very confident,Strongly Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,28,Male,NA,No formal qualifications,NA,35,1,Against,Against
8,1646414643304,04/03/2022 17:24:03,1646414644820,0,04/03/2022 17:24:04,81666,3,task-octl,NA,20079879,5946444,NA,complete,NA,62224ace5337fcf00d961926,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,35,6,1,Screen 1,continueButton,response_rating_scale_likert_active,12202.400000035765,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,meat hurts in large quantities but also allows us to take in proteins and nutrients not found in other foods,1,28/02/2022 18:39,28/02/2022 18:46,R_21nei4PBgpHO78L,YES,No,Doubtful,Agree,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Once or twice a year,Most months,23,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,36,2,Against,Against
9,1646414655741,04/03/2022 17:24:15,1646414657261,0,04/03/2022 17:24:17,81666,3,task-octl,NA,20079879,5946444,NA,complete,NA,62224ace5337fcf00d961926,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,26,7,1,Screen 1,continueButton,response_rating_scale_likert_active,12423,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,fewer endangered animals,1,28/02/2022 18:38,28/02/2022 18:46,R_3MsoHVh1tqvO7yV,YES,No,Undecided,Agree,NA,Strongly Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Never,Rarely,20,Male,NA,"Undergraduate degree (BSc, BA)",NA,34,2,Against,For
10,1646414659717,04/03/2022 17:24:19,1646414661238,0,04/03/2022 17:24:21,81666,3,task-octl,NA,20079879,5946444,NA,complete,NA,62224ace5337fcf00d961926,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x937,NA,ITT Ratings,2,not for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,fou_Nv,fou_Nv,49,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3966.699999988079,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,You protect animals.,1,28/02/2022 18:39,28/02/2022 18:46,R_UzL3DL6RkTOJQWZ,YES,No,Somewhat Confident,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Once or twice a year,Rarely,22,Male,NA,No formal qualifications,NA,38,1,Against,For
