Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646414654909,04/03/2022 17:24:14,1646414652380,1,04/03/2022 18:24:12,81666,3,task-t3d4,NA,20079976,5946461,NA,complete,NA,62224afed54cec85ba183d27,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1088x612,1088x547,NA,ITT Ratings,2,not for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646414667598,04/03/2022 17:24:27,1646414665063,1,04/03/2022 18:24:25,81666,3,task-t3d4,NA,20079976,5946461,NA,complete,NA,62224afed54cec85ba183d27,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1088x612,1088x547,NA,ITT Ratings,2,not for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec_Nv,sec_Nv,1,1,1,Screen 1,advancementZone,continue_button,12663,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646414676772,04/03/2022 17:24:36,1646414674264,1,04/03/2022 18:24:34,81666,3,task-t3d4,NA,20079976,5946461,NA,complete,NA,62224afed54cec85ba183d27,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1088x612,1088x547,NA,ITT Ratings,2,not for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec_Nv,sec_Nv,38,1,1,Screen 1,continueButton,response_rating_scale_likert_active,9186,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,it decreases CO2 emission,1,28/02/2022 18:40,28/02/2022 18:44,R_vU2Xe4tyxdoy75f,YES,No,Confident,Somewhat Disagree,NA,Neither Agree nor Disagree,Somewhat Agree,Disagree,NA,NA,NA,Agree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Most months,Most months,25,Male,NA,A levels,NA,16,2,Against,For
4,1646414687525,04/03/2022 17:24:47,1646414685043,1,04/03/2022 18:24:45,81666,3,task-t3d4,NA,20079976,5946461,NA,complete,NA,62224afed54cec85ba183d27,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1088x612,1088x547,NA,ITT Ratings,2,not for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec_Nv,sec_Nv,36,2,1,Screen 1,continueButton,response_rating_scale_likert_active,10770,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Vegan meals are not that tasty,1,28/02/2022 18:40,28/02/2022 18:44,R_vU2Xe4tyxdoy75f,YES,No,Confident,Somewhat Disagree,NA,Neither Agree nor Disagree,Somewhat Agree,Disagree,NA,NA,NA,Agree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Most months,Most months,25,Male,NA,A levels,NA,16,3,Against,Against
5,1646414690974,04/03/2022 17:24:50,1646414688471,1,04/03/2022 18:24:48,81666,3,task-t3d4,NA,20079976,5946461,NA,complete,NA,62224afed54cec85ba183d27,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1088x612,1088x547,NA,ITT Ratings,2,not for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec_Nv,sec_Nv,17,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3420,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Normal food is tastier.,1,28/02/2022 18:39,28/02/2022 18:44,R_reXwEVB0rAg8JUJ,YES,No,Confident,Somewhat Agree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Rarely,A few times a year,21,Male,NA,No formal qualifications,NA,13,2,Against,Against
6,1646414701405,04/03/2022 17:25:01,1646414698902,1,04/03/2022 18:24:58,81666,3,task-t3d4,NA,20079976,5946461,NA,complete,NA,62224afed54cec85ba183d27,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1088x612,1088x547,NA,ITT Ratings,2,not for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec_Nv,sec_Nv,57,4,1,Screen 1,continueButton,response_rating_scale_likert_active,10422,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to reduce carbon footprint generated by producing meat,1,28/02/2022 18:39,28/02/2022 18:44,R_2vYvjqlz1TRB1LQ,YES,No,Somewhat Confident,Agree,NA,Agree,Somewhat Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,A few times a year,A few times a year,22,Male,NA,No formal qualifications,NA,19,3,Against,For
7,1646414710162,04/03/2022 17:25:10,1646414707675,1,04/03/2022 18:25:07,81666,3,task-t3d4,NA,20079976,5946461,NA,complete,NA,62224afed54cec85ba183d27,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1088x612,1088x547,NA,ITT Ratings,2,not for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec_Nv,sec_Nv,59,5,1,Screen 1,continueButton,response_rating_scale_likert_active,8767,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,humans are not herbivores,1,28/02/2022 18:39,28/02/2022 18:45,R_1JLdXB1S9zra0Cu,YES,No,Somewhat Confident,Somewhat Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Once or twice a year,A few times a year,26,Prefer not to say,NA,"Undergraduate degree (BSc, BA)",NA,20,2,Against,Against
8,1646414715236,04/03/2022 17:25:15,1646414712749,1,04/03/2022 18:25:12,81666,3,task-t3d4,NA,20079976,5946461,NA,complete,NA,62224afed54cec85ba183d27,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1088x612,1088x547,NA,ITT Ratings,2,not for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec_Nv,sec_Nv,53,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5066,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't care about climate,1,28/02/2022 18:39,28/02/2022 18:44,R_2vYvjqlz1TRB1LQ,YES,No,Somewhat Confident,Agree,NA,Agree,Somewhat Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,A few times a year,A few times a year,22,Male,NA,No formal qualifications,NA,19,2,Against,Against
9,1646414722349,04/03/2022 17:25:22,1646414719847,1,04/03/2022 18:25:19,81666,3,task-t3d4,NA,20079976,5946461,NA,complete,NA,62224afed54cec85ba183d27,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1088x612,1088x547,NA,ITT Ratings,2,not for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec_Nv,sec_Nv,25,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7090,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Saving Animals from cruel conditions,1,28/02/2022 18:39,28/02/2022 18:44,R_BR2LJEYjaoVUtOh,YES,No,Very confident,Somewhat Disagree,NA,Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Once or twice a year,Rarely,41,Female,NA,"Undergraduate degree (BSc, BA)",NA,14,1,Against,For
10,1646414728399,04/03/2022 17:25:28,1646414725909,1,04/03/2022 18:25:25,81666,3,task-t3d4,NA,20079976,5946461,NA,complete,NA,62224afed54cec85ba183d27,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1088x612,1088x547,NA,ITT Ratings,2,not for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,sec_Nv,sec_Nv,40,8,1,Screen 1,continueButton,response_rating_scale_likert_active,6053,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Due to health reasons,1,28/02/2022 18:39,28/02/2022 18:44,R_8vJuxEBbIBRXzDr,YES,No,Confident,Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,A few times a year,21,Male,NA,A levels,NA,17,1,Against,Against
