Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647367035480,15/03/2022 17:57:15,1647367036120,-3,15/03/2022 14:57:16,81666,6,task-au9x,NA,20416627,6056314,NA,complete,NA,6230d0a2a731aad005575cd4,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x757,NA,ITT Ratings,2,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647367041777,15/03/2022 17:57:21,1647367042426,-3,15/03/2022 14:57:22,81666,6,task-au9x,NA,20416627,6056314,NA,complete,NA,6230d0a2a731aad005575cd4,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x757,NA,ITT Ratings,2,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,1,1,1,Screen 1,advancementZone,continue_button,6242.9000000003725,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647367048528,15/03/2022 17:57:28,1647367049190,-3,15/03/2022 14:57:29,81666,6,task-au9x,NA,20416627,6056314,NA,complete,NA,6230d0a2a731aad005575cd4,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x757,NA,ITT Ratings,2,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,37,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6722.799999998882,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,if i am vegan it will protect the animals and this will make me feel better,1,28/02/2022 18:39,28/02/2022 18:56,R_qVf7RsUEosxcAI9,YES,No,Undecided,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Once or twice a year,Once or twice a year,18,Male,NA,A levels,NA,86,1,Against,For
4,1647367052184,15/03/2022 17:57:32,1647367052844,-3,15/03/2022 14:57:32,81666,6,task-au9x,NA,20416627,6056314,NA,complete,NA,6230d0a2a731aad005575cd4,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x757,NA,ITT Ratings,2,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,44,2,1,Screen 1,continueButton,response_rating_scale_likert_active,3621.5,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,don't like the taste of meat / prefer the taste of vegan food,1,28/02/2022 18:39,28/02/2022 18:56,R_2ANoqkBgdRHOIMm,YES,No,Somewhat Confident,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Once or twice a year,Rarely,19,Male,NA,A levels,NA,87,2,Against,For
5,1647367059387,15/03/2022 17:57:39,1647367060020,-3,15/03/2022 14:57:40,81666,6,task-au9x,NA,20416627,6056314,NA,complete,NA,6230d0a2a731aad005575cd4,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x757,NA,ITT Ratings,2,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,9,3,1,Screen 1,continueButton,response_rating_scale_likert_active,7135.4000000003725,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"not committing animal cruelty, being animal friendly, wanting animals to live good and long lives free of torture and pain",1,28/02/2022 18:38,28/02/2022 18:53,R_3lDkh0pPZnKxknW,YES,No,Very Doubtful,Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Most months,25,Male,NA,"Undergraduate degree (BSc, BA)","India and america are a problem, China is the source of all evil",81,3,Against,For
6,1647367064861,15/03/2022 17:57:44,1647367065510,-3,15/03/2022 14:57:45,81666,6,task-au9x,NA,20416627,6056314,NA,complete,NA,6230d0a2a731aad005575cd4,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x757,NA,ITT Ratings,2,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,50,4,1,Screen 1,continueButton,response_rating_scale_likert_active,5472.9000000003725,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Killing animals is unethical,1,28/02/2022 18:40,28/02/2022 18:56,R_3oyDRsVAMjcjKF3,YES,No,Undecided,Somewhat Agree,NA,Disagree,Somewhat Agree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,Rarely,33,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,88,2,Against,For
7,1647367071908,15/03/2022 17:57:51,1647367072551,-3,15/03/2022 14:57:52,81666,6,task-au9x,NA,20416627,6056314,NA,complete,NA,6230d0a2a731aad005575cd4,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x757,NA,ITT Ratings,2,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,58,5,1,Screen 1,continueButton,response_rating_scale_likert_active,7017,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It's too expensive and a waste of money.,1,28/02/2022 18:38,28/02/2022 18:57,R_1dtVDutxY2bdDsG,YES,No,Doubtful,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,A few times a year,19,Male,NA,A levels,NA,90,1,Against,Against
8,1647367075685,15/03/2022 17:57:55,1647367076349,-3,15/03/2022 14:57:56,81666,6,task-au9x,NA,20416627,6056314,NA,complete,NA,6230d0a2a731aad005575cd4,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x757,NA,ITT Ratings,2,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,11,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3777.7999999988824,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,veggies taste bad when eaten alone therefore meat is neccesary.,1,28/02/2022 18:44,28/02/2022 18:54,R_XtSOOPR5zm7zA09,YES,No,Very Doubtful,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Once or twice a year,A few times a year,NA,Female,NA,Vocational Training / Apprenticeship,NA,82,2,Against,Against
9,1647367082454,15/03/2022 17:58:02,1647367083123,-3,15/03/2022 14:58:03,81666,6,task-au9x,NA,20416627,6056314,NA,complete,NA,6230d0a2a731aad005575cd4,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x757,NA,ITT Ratings,2,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,24,7,1,Screen 1,continueButton,response_rating_scale_likert_active,6759.4000000003725,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am not vegan beacuse I think that the best way to be healty is to eat less of everything,1,28/02/2022 18:40,28/02/2022 18:55,R_DvgMXj4YbCZpelr,YES,No,Confident,Somewhat Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,84,3,Against,Against
10,1647367084736,15/03/2022 17:58:04,1647367085404,-3,15/03/2022 14:58:05,81666,6,task-au9x,NA,20416627,6056314,NA,complete,NA,6230d0a2a731aad005575cd4,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1440x900,1440x757,NA,ITT Ratings,2,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_Nv,nin_Nv,59,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2263.5,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Most vegan foods taste terrible.,1,28/02/2022 18:38,28/02/2022 18:57,R_1dtVDutxY2bdDsG,YES,No,Doubtful,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,A few times a year,A few times a year,19,Male,NA,A levels,NA,90,2,Against,Against
