Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647366474490,15/03/2022 17:47:54,1647366475215,2,15/03/2022 19:47:55,81666,6,task-ogmx,NA,20415471,6056109,NA,complete,NA,6230d0931453a3cfcb01262a,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,1350x630,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647366490484,15/03/2022 17:48:10,1647366490589,2,15/03/2022 19:48:10,81666,6,task-ogmx,NA,20415471,6056109,NA,complete,NA,6230d0931453a3cfcb01262a,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,1350x630,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,1,1,1,Screen 1,advancementZone,continue_button,15267,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647366502110,15/03/2022 17:48:22,1647366502186,2,15/03/2022 19:48:22,81666,6,task-ogmx,NA,20415471,6056109,NA,complete,NA,6230d0931453a3cfcb01262a,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,1350x630,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,53,1,1,Screen 1,continueButton,response_rating_scale_likert_active,11526,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am not vegan because I love animal food or meat,1,28/02/2022 18:40,28/02/2022 18:53,R_3OprnCAz7jbZAAl,YES,No,Very Doubtful,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most months,Most weeks,20,Male,NA,A levels,It was very interesting,79,2,Against,Against
4,1647366509758,15/03/2022 17:48:29,1647366509882,2,15/03/2022 19:48:29,81666,6,task-ogmx,NA,20415471,6056109,NA,complete,NA,6230d0931453a3cfcb01262a,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,1350x630,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,57,2,1,Screen 1,continueButton,response_rating_scale_likert_active,7656,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,That meat is not healthy and is bad for your wellbeing.,1,28/02/2022 18:40,28/02/2022 18:53,R_3OprnCAz7jbZAAl,YES,No,Very Doubtful,Somewhat Agree,NA,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Most months,Most weeks,20,Male,NA,A levels,It was very interesting,79,3,Against,For
5,1647366519388,15/03/2022 17:48:39,1647366519277,2,15/03/2022 19:48:39,81666,6,task-ogmx,NA,20415471,6056109,NA,complete,NA,6230d0931453a3cfcb01262a,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,1350x630,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,50,3,1,Screen 1,continueButton,response_rating_scale_likert_active,9354,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"the nutrients that you have in food of animal origin can be found in vegetables and more.
",1,28/02/2022 18:40,28/02/2022 18:52,R_2R8oH4rIzxxGgaa,YES,No,Undecided,Neither Agree nor Disagree,NA,Somewhat Disagree,Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Once or twice a year,18,Female,NA,"Undergraduate degree (BSc, BA)",NA,78,2,Against,For
6,1647366527004,15/03/2022 17:48:47,1647366527097,2,15/03/2022 19:48:47,81666,6,task-ogmx,NA,20415471,6056109,NA,complete,NA,6230d0931453a3cfcb01262a,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,1350x630,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,27,4,1,Screen 1,continueButton,response_rating_scale_likert_active,7781,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,global warming (animal agriculture),1,28/02/2022 18:45,28/02/2022 18:51,R_211AcJ4wTeQWBEw,YES,No,Doubtful,Agree,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Rarely,Once or twice a year,20,Male,NA,A levels,NA,74,3,Against,For
7,1647366534783,15/03/2022 17:48:54,1647366535565,2,15/03/2022 19:48:55,81666,6,task-ogmx,NA,20415471,6056109,NA,complete,NA,6230d0931453a3cfcb01262a,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,1350x630,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,4,5,1,Screen 1,continueButton,response_rating_scale_likert_active,8437,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Being vegan is harmful to health because it can cause several diseases.,1,28/02/2022 18:39,28/02/2022 18:51,R_2TGEKTovN5qfwAa,YES,No,Confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Never,26,Male,NA,"Undergraduate degree (BSc, BA)",NA,71,1,Against,Against
8,1647366542867,15/03/2022 17:49:02,1647366542977,2,15/03/2022 19:49:02,81666,6,task-ogmx,NA,20415471,6056109,NA,complete,NA,6230d0931453a3cfcb01262a,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,1350x630,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,7,6,1,Screen 1,continueButton,response_rating_scale_likert_active,7380,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Being vegan is healthy and good for your body.,1,28/02/2022 18:39,28/02/2022 18:51,R_2TGEKTovN5qfwAa,YES,No,Confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Never,26,Male,NA,"Undergraduate degree (BSc, BA)",NA,71,1,Against,For
9,1647366547395,15/03/2022 17:49:07,1647366547215,2,15/03/2022 19:49:07,81666,6,task-ogmx,NA,20415471,6056109,NA,complete,NA,6230d0931453a3cfcb01262a,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,1350x630,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,37,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4203,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I love animal lives,1,28/02/2022 18:39,28/02/2022 18:51,R_3Rq2XIBzytcVEBM,YES,No,Confident,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Rarely,24,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,76,1,Against,For
10,1647366560066,15/03/2022 17:49:20,1647366560199,2,15/03/2022 19:49:20,81666,6,task-ogmx,NA,20415471,6056109,NA,complete,NA,6230d0931453a3cfcb01262a,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,1350x630,NA,ITT Ratings,2,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_Nv,eig_Nv,2,8,1,Screen 1,continueButton,response_rating_scale_likert_active,12954,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select “Somewhat Agree” for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
