Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647366461419,15/03/2022 17:47:41,1647366461431,-6,15/03/2022 11:47:41,81666,6,task-x1lq,NA,20415437,6056047,NA,complete,NA,6230d0ab76b089618468431e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,911x417,NA,ITT Ratings,2,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647366479188,15/03/2022 17:47:59,1647366479290,-6,15/03/2022 11:47:59,81666,6,task-x1lq,NA,20415437,6056047,NA,complete,NA,6230d0ab76b089618468431e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,899x417,NA,ITT Ratings,2,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,1,1,1,Screen 1,advancementZone,continue_button,17778.60000000149,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647366537836,15/03/2022 17:48:57,1647366537916,-6,15/03/2022 11:48:57,81666,6,task-x1lq,NA,20415437,6056047,NA,complete,NA,6230d0ab76b089618468431e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,899x417,NA,ITT Ratings,2,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,25,1,1,Screen 1,continueButton,response_rating_scale_likert_active,58585.29999999702,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Protecting animals from harm,1,28/02/2022 18:40,28/02/2022 18:43,R_2xPIgOXnbE92zdf,YES,No,Very confident,Agree,NA,Agree,Somewhat Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,21,Female,NA,A levels,NA,4,1,Against,For
4,1647366541907,15/03/2022 17:49:01,1647366541997,-6,15/03/2022 11:49:01,81666,6,task-x1lq,NA,20415437,6056047,NA,complete,NA,6230d0ab76b089618468431e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,899x417,NA,ITT Ratings,2,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,61,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4041.1999999955297,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,healthy food with low fat,1,28/02/2022 18:38,28/02/2022 18:44,R_SVLdyKvpx3SWnO9,YES,No,Somewhat Confident,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,39,Male,NA,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",NA,10,1,Against,For
5,1647366545535,15/03/2022 17:49:05,1647366545622,-6,15/03/2022 11:49:05,81666,6,task-x1lq,NA,20415437,6056047,NA,complete,NA,6230d0ab76b089618468431e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,899x417,NA,ITT Ratings,2,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,40,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3601.20000000298,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I like meat too much,1,28/02/2022 18:39,28/02/2022 18:43,R_3MlFfW41EiILSHH,YES,No,Undecided,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,A few times a year,42,Female,NA,Doctorate (PhD),NA,7,1,Against,Against
6,1647366551599,15/03/2022 17:49:11,1647366551690,-6,15/03/2022 11:49:11,81666,6,task-x1lq,NA,20415437,6056047,NA,complete,NA,6230d0ab76b089618468431e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,899x417,NA,ITT Ratings,2,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,11,4,1,Screen 1,continueButton,response_rating_scale_likert_active,6049.89999999851,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I enjoy eating meat and other foods, they are just too delicious.",1,28/02/2022 18:39,28/02/2022 18:42,R_QlWb9Be3m7yANeF,YES,No,Somewhat Confident,Agree,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,22,Male,NA,"Undergraduate degree (BSc, BA)",NA,2,2,Against,Against
7,1647366554903,15/03/2022 17:49:14,1647366554992,-6,15/03/2022 11:49:14,81666,6,task-x1lq,NA,20415437,6056047,NA,complete,NA,6230d0ab76b089618468431e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,899x417,NA,ITT Ratings,2,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,17,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3286.5999999940395,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Meat is a great source of protein,1,28/02/2022 18:38,28/02/2022 18:42,R_BJ2FvlqqkOSiNBD,YES,No,Somewhat doubtful,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Once or twice a year,21,Male,NA,A levels,NA,3,2,Against,Against
8,1647366561368,15/03/2022 17:49:21,1647366561467,-6,15/03/2022 11:49:21,81666,6,task-x1lq,NA,20415437,6056047,NA,complete,NA,6230d0ab76b089618468431e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,899x417,NA,ITT Ratings,2,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,59,6,1,Screen 1,continueButton,response_rating_scale_likert_active,6454.5,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,man can eat everything in nature,1,28/02/2022 18:38,28/02/2022 18:44,R_SVLdyKvpx3SWnO9,YES,No,Somewhat Confident,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,39,Male,NA,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",NA,10,2,Against,Against
9,1647366564324,15/03/2022 17:49:24,1647366564410,-6,15/03/2022 11:49:24,81666,6,task-x1lq,NA,20415437,6056047,NA,complete,NA,6230d0ab76b089618468431e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,899x417,NA,ITT Ratings,2,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,23,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2921.6999999955297,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Vegan products tend to be more expensive,1,28/02/2022 18:40,28/02/2022 18:43,R_2xPIgOXnbE92zdf,YES,No,Very confident,Agree,NA,Agree,Somewhat Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,21,Female,NA,A levels,NA,4,2,Against,Against
10,1647366571746,15/03/2022 17:49:31,1647366571843,-6,15/03/2022 11:49:31,81666,6,task-x1lq,NA,20415437,6056047,NA,complete,NA,6230d0ab76b089618468431e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1366x768,899x417,NA,ITT Ratings,2,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_Nv,first_Nv,24,8,1,Screen 1,continueButton,response_rating_scale_likert_active,7417.5,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Believe in the food chain,1,28/02/2022 18:40,28/02/2022 18:43,R_2xPIgOXnbE92zdf,YES,No,Very confident,Agree,NA,Agree,Somewhat Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,21,Female,NA,A levels,NA,4,3,Against,Against
