Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659960000000,08/08/2022 11:04,1659960000000,1,08/08/2022 12:04,94118,2,task-b5vt,NA,23522610,6893760,NA,complete,NA,62f0ed544dcb389419e8cf9b,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1280x720,1280x569,NA,ITT Ratings,2,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659960000000,08/08/2022 11:04,1659960000000,1,08/08/2022 12:04,94118,2,task-b5vt,NA,23522610,6893760,NA,complete,NA,62f0ed544dcb389419e8cf9b,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1280x720,1280x569,NA,ITT Ratings,2,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,1,1,1,Screen 1,advancementZone,continue_button,5676.2,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659960000000,08/08/2022 11:05,1659960000000,1,08/08/2022 12:05,94118,2,task-b5vt,NA,23522610,6893760,NA,complete,NA,62f0ed544dcb389419e8cf9b,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1280x720,1280x569,NA,ITT Ratings,2,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,38,1,1,Screen 1,continueButton,response_rating_scale_likert_active,8583.7,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"A member of my family can catch anything really easily , so I want to do this to help keep them safe",1,17/06/2021 12:16,17/06/2021 12:42,IP Address,For (I feel positively about the vaccines),Rarely,Most days,34,Male,NA,GCSEs,control,6,2,For,For
4,1659960000000,08/08/2022 11:05,1659960000000,1,08/08/2022 12:05,94118,2,task-b5vt,NA,23522610,6893760,NA,complete,NA,62f0ed544dcb389419e8cf9b,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1280x720,1280x569,NA,ITT Ratings,2,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,27,2,1,Screen 1,continueButton,response_rating_scale_likert_active,2930.8,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Doctors are trying to help,1,17/06/2021 12:33,17/06/2021 12:41,IP Address,For (I feel positively about the vaccines),Most months,Most months,20,Female,NA,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",control,4,3,For,For
5,1659960000000,08/08/2022 11:05,1659960000000,1,08/08/2022 12:05,94118,2,task-b5vt,NA,23522610,6893760,NA,complete,NA,62f0ed544dcb389419e8cf9b,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1280x720,1280x569,NA,ITT Ratings,2,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,24,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4624.5,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,There are too many on the market at the moment,1,17/06/2021 12:33,17/06/2021 12:41,IP Address,For (I feel positively about the vaccines),Most months,Most months,20,Female,NA,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",control,4,3,For,Against
6,1659960000000,08/08/2022 11:05,1659960000000,1,08/08/2022 12:05,94118,2,task-b5vt,NA,23522610,6893760,NA,complete,NA,62f0ed544dcb389419e8cf9b,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1280x720,1280x569,NA,ITT Ratings,2,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,3,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2995.5,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Disagree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
7,1659960000000,08/08/2022 11:05,1659960000000,1,08/08/2022 12:05,94118,2,task-b5vt,NA,23522610,6893760,NA,complete,NA,62f0ed544dcb389419e8cf9b,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1280x720,1280x569,NA,ITT Ratings,2,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,61,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4542.7,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Reduced risk of getting COVID.,1,17/06/2021 13:01,17/06/2021 13:10,IP Address,For (I feel positively about the vaccines),Most months,Most weeks,35,Non-binary,NA,"Postgraduate degree (MSc, MA, MPhil)",control,10,1,For,For
8,1659960000000,08/08/2022 11:05,1659960000000,1,08/08/2022 12:05,94118,2,task-b5vt,NA,23522610,6893760,NA,complete,NA,62f0ed544dcb389419e8cf9b,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1280x720,1280x569,NA,ITT Ratings,2,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,50,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5376.8,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To protect others by giving herd immunity.,1,17/06/2021 12:29,17/06/2021 12:42,IP Address,For (I feel positively about the vaccines),Most months,Most months,20,Male,NA,A levels,choice,8,2,For,For
9,1659960000000,08/08/2022 11:05,1659960000000,1,08/08/2022 12:05,94118,2,task-b5vt,NA,23522610,6893760,NA,complete,NA,62f0ed544dcb389419e8cf9b,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1280x720,1280x569,NA,ITT Ratings,2,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,23,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2730.4,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The government is trying to control us through this vaccine,1,17/06/2021 12:33,17/06/2021 12:41,IP Address,For (I feel positively about the vaccines),Most months,Most months,20,Female,NA,"Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)",control,4,2,For,Against
10,1659960000000,08/08/2022 11:05,1659960000000,1,08/08/2022 12:05,94118,2,task-b5vt,NA,23522610,6893760,NA,complete,NA,62f0ed544dcb389419e8cf9b,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1280x720,1280x569,NA,ITT Ratings,2,against,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,37,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5813.2,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am scared and if this vaccine will help then I'll do it,1,17/06/2021 12:16,17/06/2021 12:42,IP Address,For (I feel positively about the vaccines),Rarely,Most days,34,Male,NA,GCSEs,control,6,1,For,For
