Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659954823233,08/08/2022 10:33:43,1659954823026,1,08/08/2022 11:33:43,94118,2,task-ig1e,NA,23522100,6893608,NA,complete,NA,62f0e66c107d57a541a85835,mobile,Apple iPhone,iOS 15.6,Mobile Safari 15.6,375x812,724x292,NA,ITT Ratings,2,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659954827724,08/08/2022 10:33:47,1659954827550,1,08/08/2022 11:33:47,94118,2,task-ig1e,NA,23522100,6893608,NA,complete,NA,62f0e66c107d57a541a85835,mobile,Apple iPhone,iOS 15.6,Mobile Safari 15.6,375x812,724x292,NA,ITT Ratings,2,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,1,1,1,Screen 1,advancementZone,continue_button,4486.000000000002,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659954832906,08/08/2022 10:33:52,1659954832712,1,08/08/2022 11:33:52,94118,2,task-ig1e,NA,23522100,6893608,NA,complete,NA,62f0e66c107d57a541a85835,mobile,Apple iPhone,iOS 15.6,Mobile Safari 15.6,375x812,724x292,NA,ITT Ratings,2,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,57,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5137,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to follow the government advice,1,17/06/2021 12:41,17/06/2021 12:51,IP Address,For (I feel positively about the vaccines),Rarely,Once or twice a year,32,Male,NA,"Undergraduate degree (BSc, BA)",control,29,3,For,For
4,1659954840321,08/08/2022 10:34:00,1659954840115,1,08/08/2022 11:34:00,94118,2,task-ig1e,NA,23522100,6893608,NA,complete,NA,62f0e66c107d57a541a85835,mobile,Apple iPhone,iOS 15.6,Mobile Safari 15.6,375x812,724x292,NA,ITT Ratings,2,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,7,2,1,Screen 1,continueButton,response_rating_scale_likert_active,7382,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to get back to some form of normality,1,17/06/2021 12:39,17/06/2021 12:46,IP Address,For (I feel positively about the vaccines),Most months,Rarely,34,Female,NA,"Undergraduate degree (BSc, BA)",control,21,1,For,For
5,1659954844235,08/08/2022 10:34:04,1659954844044,1,08/08/2022 11:34:04,94118,2,task-ig1e,NA,23522100,6893608,NA,complete,NA,62f0e66c107d57a541a85835,mobile,Apple iPhone,iOS 15.6,Mobile Safari 15.6,375x812,724x292,NA,ITT Ratings,2,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,46,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3904,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine has been developed too quickly and has not been properly tested over a long period of time.,1,17/06/2021 12:28,17/06/2021 12:51,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,41,Male,NA,Doctorate (PhD),control,28,1,For,Against
6,1659954849299,08/08/2022 10:34:09,1659954849096,1,08/08/2022 11:34:09,94118,2,task-ig1e,NA,23522100,6893608,NA,complete,NA,62f0e66c107d57a541a85835,mobile,Apple iPhone,iOS 15.6,Mobile Safari 15.6,375x812,724x292,NA,ITT Ratings,2,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,28,4,1,Screen 1,continueButton,response_rating_scale_likert_active,5028,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It can cause long term damage like blood clots,1,17/06/2021 12:27,17/06/2021 12:49,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,22,Male,NA,"GCSEs,Vocational Training / Apprenticeship",choice,25,1,For,Against
7,1659954852467,08/08/2022 10:34:12,1659954852279,1,08/08/2022 11:34:12,94118,2,task-ig1e,NA,23522100,6893608,NA,complete,NA,62f0e66c107d57a541a85835,mobile,Apple iPhone,iOS 15.6,Mobile Safari 15.6,375x812,724x292,NA,ITT Ratings,2,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,38,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3153,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It should be a requirement and safeguards public,1,17/06/2021 12:44,17/06/2021 12:49,IP Address,For (I feel positively about the vaccines),A few times a year,Most weeks,29,Male,NA,"Undergraduate degree (BSc, BA)",control,26,2,For,For
8,1659954856685,08/08/2022 10:34:16,1659954856493,1,08/08/2022 11:34:16,94118,2,task-ig1e,NA,23522100,6893608,NA,complete,NA,62f0e66c107d57a541a85835,mobile,Apple iPhone,iOS 15.6,Mobile Safari 15.6,375x812,724x292,NA,ITT Ratings,2,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,56,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4189,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I want to protect others from COVID-19, especially those who can't receive a vaccine",1,17/06/2021 12:41,17/06/2021 12:51,IP Address,For (I feel positively about the vaccines),Rarely,Once or twice a year,32,Male,NA,"Undergraduate degree (BSc, BA)",control,29,2,For,For
9,1659954873688,08/08/2022 10:34:33,1659954873506,1,08/08/2022 11:34:33,94118,2,task-ig1e,NA,23522100,6893608,NA,complete,NA,62f0e66c107d57a541a85835,mobile,Apple iPhone,iOS 15.6,Mobile Safari 15.6,375x812,724x292,NA,ITT Ratings,2,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,22,7,1,Screen 1,continueButton,response_rating_scale_likert_active,16980,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I do not think the vaccines are safe.,1,17/06/2021 12:39,17/06/2021 12:47,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,22,Male,NA,"Undergraduate degree (BSc, BA)",choice,24,1,For,Against
10,1659954874832,08/08/2022 10:34:34,1659954874649,1,08/08/2022 11:34:34,94118,2,task-ig1e,NA,23522100,6893608,NA,complete,NA,62f0e66c107d57a541a85835,mobile,Apple iPhone,iOS 15.6,Mobile Safari 15.6,375x812,724x292,NA,ITT Ratings,2,against,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,42,8,1,Screen 1,continueButton,response_rating_scale_likert_active,1124,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine has been rushed.,1,17/06/2021 12:43,17/06/2021 12:51,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,32,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",choice,27,3,For,Against
