Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659950000000,08/08/2022 10:09,1659950000000,1,08/08/2022 11:09,94118,2,task-j4ag,NA,23521324,6893376,NA,complete,NA,62f0e0ab2d2fc7b623e8cfc3,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,against,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659950000000,08/08/2022 10:09,1659950000000,1,08/08/2022 11:09,94118,2,task-j4ag,NA,23521324,6893376,NA,complete,NA,62f0e0ab2d2fc7b623e8cfc3,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,against,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,1,1,1,Screen 1,advancementZone,continue_button,5124.7,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659950000000,08/08/2022 10:09,1659950000000,1,08/08/2022 11:09,94118,2,task-j4ag,NA,23521324,6893376,NA,complete,NA,62f0e0ab2d2fc7b623e8cfc3,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,against,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,4,1,1,Screen 1,continueButton,response_rating_scale_likert_active,16483.3,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,A defunct or manipulated research paper is usually brought out on facebook to put into question the vaccines ability to stop transmitting.,1,17/06/2021 12:39,17/06/2021 12:54,IP Address,For (I feel positively about the vaccines),Rarely,Most months,38,Male,NA,"Undergraduate degree (BSc, BA)",choice,41,1,For,Against
4,1659950000000,08/08/2022 10:09,1659950000000,1,08/08/2022 11:09,94118,2,task-j4ag,NA,23521324,6893376,NA,complete,NA,62f0e0ab2d2fc7b623e8cfc3,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,against,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,30,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5909.6,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I believe the benefits of the vaccine do not outweigh the risks and believe that covid would be a mild disease for me.,1,17/06/2021 12:44,17/06/2021 12:56,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,40,Female,NA,"Undergraduate degree (BSc, BA)",choice,45,3,For,Against
5,1659950000000,08/08/2022 10:09,1659950000000,1,08/08/2022 11:09,94118,2,task-j4ag,NA,23521324,6893376,NA,complete,NA,62f0e0ab2d2fc7b623e8cfc3,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,against,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,51,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2797,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I have been told it's the right thing by my doctor,1,17/06/2021 12:48,17/06/2021 12:57,IP Address,For (I feel positively about the vaccines),Rarely,Most months,25,Female,NA,A levels,choice,48,3,For,For
6,1659950000000,08/08/2022 10:09,1659950000000,1,08/08/2022 11:09,94118,2,task-j4ag,NA,23521324,6893376,NA,complete,NA,62f0e0ab2d2fc7b623e8cfc3,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,against,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,5,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4926.2,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The Government are having to insure the vaccines,1,17/06/2021 12:39,17/06/2021 12:54,IP Address,For (I feel positively about the vaccines),Rarely,Most months,38,Male,NA,"Undergraduate degree (BSc, BA)",choice,41,2,For,Against
7,1659950000000,08/08/2022 10:09,1659950000000,1,08/08/2022 11:09,94118,2,task-j4ag,NA,23521324,6893376,NA,complete,NA,62f0e0ab2d2fc7b623e8cfc3,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,against,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,56,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3366.6,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It's for the better good.,1,17/06/2021 12:49,17/06/2021 12:57,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,38,Male,NA,GCSEs,control,49,2,For,For
8,1659950000000,08/08/2022 10:09,1659950000000,1,08/08/2022 11:09,94118,2,task-j4ag,NA,23521324,6893376,NA,complete,NA,62f0e0ab2d2fc7b623e8cfc3,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,against,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,37,6,1,Screen 1,continueButton,response_rating_scale_likert_active,1498.8,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,to protect myself and family,1,17/06/2021 12:46,17/06/2021 12:56,IP Address,For (I feel positively about the vaccines),A few times a year,A few times a year,53,Female,NA,Vocational Training / Apprenticeship,control,46,1,For,For
9,1659950000000,08/08/2022 10:09,1659950000000,1,08/08/2022 11:09,94118,2,task-j4ag,NA,23521324,6893376,NA,complete,NA,62f0e0ab2d2fc7b623e8cfc3,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,against,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,55,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3303.8,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It's safe and I want to ensure people around me are safe,1,17/06/2021 12:49,17/06/2021 12:57,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,38,Male,NA,GCSEs,control,49,1,For,For
10,1659950000000,08/08/2022 10:10,1659950000000,1,08/08/2022 11:10,94118,2,task-j4ag,NA,23521324,6893376,NA,complete,NA,62f0e0ab2d2fc7b623e8cfc3,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,against,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,8,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5084.3,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't want friends or family to get sick.,1,17/06/2021 12:39,17/06/2021 12:54,IP Address,For (I feel positively about the vaccines),Rarely,Most months,38,Male,NA,"Undergraduate degree (BSc, BA)",choice,41,2,For,For
