Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659954824047,08/08/2022 10:33:44,1659954823922,1,08/08/2022 11:33:43,94118,2,task-k2dt,NA,23522101,6893602,NA,complete,NA,62f0e62d6a458c5bad9f8894,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x721,NA,ITT Ratings,2,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659954838853,08/08/2022 10:33:58,1659954838777,1,08/08/2022 11:33:58,94118,2,task-k2dt,NA,23522101,6893602,NA,complete,NA,62f0e62d6a458c5bad9f8894,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x721,NA,ITT Ratings,2,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,1,1,1,Screen 1,advancementZone,continue_button,14805.799999952316,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659954858830,08/08/2022 10:34:18,1659954858738,1,08/08/2022 11:34:18,94118,2,task-k2dt,NA,23522101,6893602,NA,complete,NA,62f0e62d6a458c5bad9f8894,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x721,NA,ITT Ratings,2,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,3,1,1,Screen 1,continueButton,response_rating_scale_likert_active,19939,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Disagree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
4,1659954873477,08/08/2022 10:34:33,1659954873369,1,08/08/2022 11:34:33,94118,2,task-k2dt,NA,23522101,6893602,NA,complete,NA,62f0e62d6a458c5bad9f8894,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x721,NA,ITT Ratings,2,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,15,2,1,Screen 1,continueButton,response_rating_scale_likert_active,14607.900000035765,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I see no reason to not get vaccinated and I have been asked to do so,1,17/06/2021 12:55,17/06/2021 13:00,IP Address,For (I feel positively about the vaccines),A few times a year,Most months,26,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",control,62,3,For,For
5,1659954894132,08/08/2022 10:34:54,1659954894054,1,08/08/2022 11:34:54,94118,2,task-k2dt,NA,23522101,6893602,NA,complete,NA,62f0e62d6a458c5bad9f8894,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x721,NA,ITT Ratings,2,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,48,3,1,Screen 1,continueButton,response_rating_scale_likert_active,20674.80000001192,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,the body needs to deal with this natural.,1,17/06/2021 12:49,17/06/2021 13:02,IP Address,For (I feel positively about the vaccines),Most months,A few times a year,35,Male,NA,Vocational Training / Apprenticeship,control,68,3,For,Against
6,1659954908929,08/08/2022 10:35:08,1659954908834,1,08/08/2022 11:35:08,94118,2,task-k2dt,NA,23522101,6893602,NA,complete,NA,62f0e62d6a458c5bad9f8894,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x721,NA,ITT Ratings,2,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,43,4,1,Screen 1,continueButton,response_rating_scale_likert_active,14758.80000001192,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"If everyone is vaccinated, vulnerable people will be safer",1,17/06/2021 12:56,17/06/2021 13:01,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,20,Female,NA,A levels,choice,67,1,For,For
7,1659954913185,08/08/2022 10:35:13,1659954913062,1,08/08/2022 11:35:13,94118,2,task-k2dt,NA,23522101,6893602,NA,complete,NA,62f0e62d6a458c5bad9f8894,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x721,NA,ITT Ratings,2,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,20,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4218.699999988079,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to have more freedoms again,1,17/06/2021 12:48,17/06/2021 13:00,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,38,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",control,63,2,For,For
8,1659954917535,08/08/2022 10:35:17,1659954917460,1,08/08/2022 11:35:17,94118,2,task-k2dt,NA,23522101,6893602,NA,complete,NA,62f0e62d6a458c5bad9f8894,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x721,NA,ITT Ratings,2,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,29,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4388.899999976158,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It isn't necessary unless you're a vulnerable person,1,17/06/2021 12:55,17/06/2021 13:01,IP Address,For (I feel positively about the vaccines),Never,A few times a year,36,Male,NA,GCSEs,choice,65,2,For,Against
9,1659954924160,08/08/2022 10:35:24,1659954924068,1,08/08/2022 11:35:24,94118,2,task-k2dt,NA,23522101,6893602,NA,complete,NA,62f0e62d6a458c5bad9f8894,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x721,NA,ITT Ratings,2,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,45,7,1,Screen 1,continueButton,response_rating_scale_likert_active,6597.799999952316,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"The quicker society is vaccinated, the quicker normality can return",1,17/06/2021 12:56,17/06/2021 13:01,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,20,Female,NA,A levels,choice,67,3,For,For
10,1659954929519,08/08/2022 10:35:29,1659954929448,1,08/08/2022 11:35:29,94118,2,task-k2dt,NA,23522101,6893602,NA,complete,NA,62f0e62d6a458c5bad9f8894,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x721,NA,ITT Ratings,2,against,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,49,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5370.900000035763,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't want to die so i better get one soon.,1,17/06/2021 12:49,17/06/2021 13:02,IP Address,For (I feel positively about the vaccines),Most months,A few times a year,35,Male,NA,Vocational Training / Apprenticeship,control,68,1,For,For
