Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659953328695,08/08/2022 10:08:48,1659953331073,1,08/08/2022 11:08:51,94118,2,task-lkrz,NA,23521309,6893369,NA,complete,NA,62f0e07f72fb446fb73f4183,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,1,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,REJECT,batch2pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659953337139,08/08/2022 10:08:57,1659953339557,1,08/08/2022 11:08:59,94118,2,task-lkrz,NA,23521309,6893369,NA,complete,NA,62f0e07f72fb446fb73f4183,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,1,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,REJECT,batch2pro,batch2pro,1,1,1,Screen 1,advancementZone,continue_button,8365.799999952316,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659953351070,08/08/2022 10:09:11,1659953353484,1,08/08/2022 11:09:13,94118,2,task-lkrz,NA,23521309,6893369,NA,complete,NA,62f0e07f72fb446fb73f4183,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,1,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,REJECT,batch2pro,batch2pro,18,1,1,Screen 1,continueButton,response_rating_scale_likert_active,13902.099999904633,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,what if i have a reaction to it?,1,17/06/2021 12:37,17/06/2021 12:44,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,33,Female,NA,A levels,choice,13,3,For,Against
4,1659953358781,08/08/2022 10:09:18,1659953361181,1,08/08/2022 11:09:21,94118,2,task-lkrz,NA,23521309,6893369,NA,complete,NA,62f0e07f72fb446fb73f4183,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,1,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,REJECT,batch2pro,batch2pro,11,2,1,Screen 1,continueButton,response_rating_scale_likert_active,7680.900000095367,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,They know people who have had bad side effects.,1,17/06/2021 12:36,17/06/2021 12:44,IP Address,For (I feel positively about the vaccines),Most months,Most months,24,Male,NA,"Undergraduate degree (BSc, BA)",control,12,2,For,Against
5,1659953364641,08/08/2022 10:09:24,1659953367046,1,08/08/2022 11:09:27,94118,2,task-lkrz,NA,23521309,6893369,NA,complete,NA,62f0e07f72fb446fb73f4183,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,1,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,REJECT,batch2pro,batch2pro,41,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5851.899999856949,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The government might impact a chip in me through the needle or change my dna,1,17/06/2021 12:32,17/06/2021 12:45,IP Address,For (I feel positively about the vaccines),A few times a year,A few times a year,20,Female,NA,A levels,choice,17,2,For,Against
6,1659953369403,08/08/2022 10:09:29,1659953371808,1,08/08/2022 11:09:31,94118,2,task-lkrz,NA,23521309,6893369,NA,complete,NA,62f0e07f72fb446fb73f4183,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,1,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,REJECT,batch2pro,batch2pro,60,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4748.400000095367,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I think some people are influenced against the vaccine by family or friends who believe the above reasons,1,17/06/2021 12:29,17/06/2021 12:46,IP Address,For (I feel positively about the vaccines),Never,A few times a year,57,Female,NA,"Undergraduate degree (BSc, BA)",choice,20,3,For,Against
7,1659953375509,08/08/2022 10:09:35,1659953377926,1,08/08/2022 11:09:37,94118,2,task-lkrz,NA,23521309,6893369,NA,complete,NA,62f0e07f72fb446fb73f4183,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,1,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,REJECT,batch2pro,batch2pro,52,5,1,Screen 1,continueButton,response_rating_scale_likert_active,6101.5,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We have no information about long term side effects,1,17/06/2021 12:31,17/06/2021 12:46,IP Address,For (I feel positively about the vaccines),A few times a year,Most months,21,Female,NA,A levels,choice,19,1,For,Against
8,1659953382954,08/08/2022 10:09:42,1659953385351,1,08/08/2022 11:09:45,94118,2,task-lkrz,NA,23521309,6893369,NA,complete,NA,62f0e07f72fb446fb73f4183,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,1,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,REJECT,batch2pro,batch2pro,5,6,1,Screen 1,continueButton,response_rating_scale_likert_active,7408.199999809265,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It's a money making scheme,1,17/06/2021 12:39,17/06/2021 12:44,IP Address,For (I feel positively about the vaccines),Most weeks,Once or twice a year,25,Female,NA,"Undergraduate degree (BSc, BA)",control,11,2,For,Against
9,1659953391325,08/08/2022 10:09:51,1659953393716,1,08/08/2022 11:09:53,94118,2,task-lkrz,NA,23521309,6893369,NA,complete,NA,62f0e07f72fb446fb73f4183,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,1,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,REJECT,batch2pro,batch2pro,33,7,1,Screen 1,continueButton,response_rating_scale_likert_active,8350.399999856949,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Get back to life without restrictions faster,1,17/06/2021 12:39,17/06/2021 12:45,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,35,Female,NA,"Undergraduate degree (BSc, BA)",choice,15,3,For,For
10,1659953399350,08/08/2022 10:09:59,1659953401728,1,08/08/2022 11:10:01,94118,2,task-lkrz,NA,23521309,6893369,NA,complete,NA,62f0e07f72fb446fb73f4183,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,1,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,REJECT,batch2pro,batch2pro,20,8,1,Screen 1,continueButton,response_rating_scale_likert_active,7997.799999952316,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,i want to protect the vulnerable people and people who cant have it,1,17/06/2021 12:37,17/06/2021 12:44,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,33,Female,NA,A levels,choice,13,2,For,For
