Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659954179517,08/08/2022 10:22:59,1659954179498,1,08/08/2022 11:22:59,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1536x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659954181800,08/08/2022 10:23:01,1659954181825,1,08/08/2022 11:23:01,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,1,1,1,Screen 1,advancementZone,continue_button,2283.2999999523163,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659954204220,08/08/2022 10:23:24,1659954203823,1,08/08/2022 11:23:23,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,47,1,1,Screen 1,continueButton,response_rating_scale_likert_active,21967.599999964237,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Will make the world go back to some sort of normal,1,17/06/2021 12:49,17/06/2021 12:54,IP Address,For (I feel positively about the vaccines),Rarely,Once or twice a year,20,Female,NA,Vocational Training / Apprenticeship,control,38,2,For,Against
4,1659954209884,08/08/2022 10:23:29,1659954209843,1,08/08/2022 11:23:29,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,62,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5993.699999988079,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I wish to protect other people including family, friends and colleagues",1,17/06/2021 12:46,17/06/2021 12:54,IP Address,For (I feel positively about the vaccines),Once or twice a year,Once or twice a year,38,Female,NA,"Undergraduate degree (BSc, BA)",control,40,2,For,For
5,1659954216267,08/08/2022 10:23:36,1659954216290,1,08/08/2022 11:23:36,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,13,3,1,Screen 1,continueButton,response_rating_scale_likert_active,6429,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Vaccines have been going on for years so they are good to protect us,1,17/06/2021 12:43,17/06/2021 12:52,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,25,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",choice,32,1,For,For
6,1659954226497,08/08/2022 10:23:46,1659954225851,1,08/08/2022 11:23:45,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,59,4,1,Screen 1,continueButton,response_rating_scale_likert_active,9542.30000001192,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We do not know what harm they can cause in the future,1,17/06/2021 12:46,17/06/2021 12:54,IP Address,For (I feel positively about the vaccines),Once or twice a year,Once or twice a year,38,Female,NA,"Undergraduate degree (BSc, BA)",control,40,2,For,Against
7,1659954232062,08/08/2022 10:23:52,1659954231464,1,08/08/2022 11:23:51,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,18,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5601.100000023842,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I have a bee allergy,1,17/06/2021 12:41,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,45,Female,NA,"Undergraduate degree (BSc, BA)",choice,33,3,For,Against
8,1659954234474,08/08/2022 10:23:54,1659954234495,1,08/08/2022 11:23:54,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,3,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3007.600000023842,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Disagree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
9,1659954243143,08/08/2022 10:24:03,1659954243160,1,08/08/2022 11:24:03,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,61,7,1,Screen 1,continueButton,response_rating_scale_likert_active,8646.100000023842,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am vulnerable to covid 19,1,17/06/2021 12:46,17/06/2021 12:54,IP Address,For (I feel positively about the vaccines),Once or twice a year,Once or twice a year,38,Female,NA,"Undergraduate degree (BSc, BA)",control,40,1,For,For
10,1659954245506,08/08/2022 10:24:05,1659954245528,1,08/08/2022 11:24:05,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,33,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2356.100000023842,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I trust those who have made the vaccine,1,17/06/2021 12:45,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Once or twice a year,30,Female,NA,"Undergraduate degree (BSc, BA)",choice,35,3,For,For
11,1659954250275,08/08/2022 10:24:10,1659954249426,1,08/08/2022 11:24:09,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,35,9,1,Screen 1,continueButton,response_rating_scale_likert_active,3882.299999952316,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Fear of needles/injections,1,17/06/2021 12:46,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,22,Non-binary,NA,"Undergraduate degree (BSc, BA)",control,36,2,For,Against
12,1659954254037,08/08/2022 10:24:14,1659954254064,1,08/08/2022 11:24:14,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,17,10,1,Screen 1,continueButton,response_rating_scale_likert_active,4620.899999976158,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We don't know what's in it,1,17/06/2021 12:41,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,45,Female,NA,"Undergraduate degree (BSc, BA)",choice,33,2,For,Against
13,1659954259717,08/08/2022 10:24:19,1659954258890,1,08/08/2022 11:24:18,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,11,11,1,Screen 1,continueButton,response_rating_scale_likert_active,4814.800000011921,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine puts a chip in you so you can be tracked,1,17/06/2021 12:43,17/06/2021 12:52,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,25,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",choice,32,2,For,Against
14,1659954278557,08/08/2022 10:24:38,1659954277983,1,08/08/2022 11:24:37,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,25,12,1,Screen 1,continueButton,response_rating_scale_likert_active,19072.30000001192,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Protecting Health of yourself and protecting people around you by breaking the infection trend therefore avoiding illness and hospital stays.,1,17/06/2021 12:45,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,38,Male,NA,"Undergraduate degree (BSc, BA)",choice,34,1,For,For
15,1659954282171,08/08/2022 10:24:42,1659954282209,1,08/08/2022 11:24:42,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,31,13,1,Screen 1,continueButton,response_rating_scale_likert_active,4207.600000023842,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to be well protected,1,17/06/2021 12:45,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Once or twice a year,30,Female,NA,"Undergraduate degree (BSc, BA)",choice,35,1,For,For
16,1659954285351,08/08/2022 10:24:45,1659954285379,1,08/08/2022 11:24:45,94118,2,task-mn1e,NA,23521831,6893517,NA,complete,NA,62f0e3aafd49c74c0958035d,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x746,NA,ITT Ratings,2,against,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,40,14,1,Screen 1,continueButton,response_rating_scale_likert_active,3151.7000000476837,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't believe in vaccines,1,17/06/2021 12:45,17/06/2021 12:54,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,30,Female,NA,"Undergraduate degree (BSc, BA)",choice,37,1,For,Against
