Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659954718156,08/08/2022 10:31:58,1659954717265,1,08/08/2022 11:31:57,94118,2,task-net4,NA,23522067,6893591,NA,complete,NA,62f0e5fc6dd1e076c264e153,computer,Desktop or Laptop,Windows 7,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659954811078,08/08/2022 10:33:31,1659954810217,1,08/08/2022 11:33:30,94118,2,task-net4,NA,23522067,6893591,NA,complete,NA,62f0e5fc6dd1e076c264e153,computer,Desktop or Laptop,Windows 7,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,1,1,1,Screen 1,advancementZone,continue_button,92874.59999999404,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659954819128,08/08/2022 10:33:39,1659954818273,1,08/08/2022 11:33:38,94118,2,task-net4,NA,23522067,6893591,NA,complete,NA,62f0e5fc6dd1e076c264e153,computer,Desktop or Laptop,Windows 7,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,38,1,1,Screen 1,continueButton,response_rating_scale_likert_active,8003.899999991059,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To preserve the life of others,1,17/06/2021 12:57,17/06/2021 13:04,IP Address,For (I feel positively about the vaccines),Rarely,Most months,26,Male,NA,"Undergraduate degree (BSc, BA)",control,76,2,For,For
4,1659954825801,08/08/2022 10:33:45,1659954824914,1,08/08/2022 11:33:44,94118,2,task-net4,NA,23522067,6893591,NA,complete,NA,62f0e5fc6dd1e076c264e153,computer,Desktop or Laptop,Windows 7,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,14,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6583.79999999702,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I know people who suffer from long COVID.,1,17/06/2021 12:51,17/06/2021 13:03,IP Address,For (I feel positively about the vaccines),A few times a year,Most weeks,29,Female,NA,"Undergraduate degree (BSc, BA)",control,72,2,For,For
5,1659954829883,08/08/2022 10:33:49,1659954829021,1,08/08/2022 11:33:49,94118,2,task-net4,NA,23522067,6893591,NA,complete,NA,62f0e5fc6dd1e076c264e153,computer,Desktop or Laptop,Windows 7,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,34,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4067.599999994039,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't trust whats in the vaccine,1,17/06/2021 12:57,17/06/2021 13:04,IP Address,For (I feel positively about the vaccines),Rarely,Most months,26,Male,NA,"Undergraduate degree (BSc, BA)",control,76,1,For,Against
6,1659954834061,08/08/2022 10:33:54,1659954833201,1,08/08/2022 11:33:53,94118,2,task-net4,NA,23522067,6893591,NA,complete,NA,62f0e5fc6dd1e076c264e153,computer,Desktop or Laptop,Windows 7,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,37,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4139,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to get back to normal,1,17/06/2021 12:57,17/06/2021 13:04,IP Address,For (I feel positively about the vaccines),Rarely,Most months,26,Male,NA,"Undergraduate degree (BSc, BA)",control,76,1,For,For
7,1659954842321,08/08/2022 10:34:02,1659954841463,1,08/08/2022 11:34:01,94118,2,task-net4,NA,23522067,6893591,NA,complete,NA,62f0e5fc6dd1e076c264e153,computer,Desktop or Laptop,Windows 7,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,62,5,1,Screen 1,continueButton,response_rating_scale_likert_active,8226.5,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Survival does not mean that COVID does not affect you, you may suffer from 'long-covid'.",1,17/06/2021 12:58,17/06/2021 13:05,IP Address,For (I feel positively about the vaccines),Once or twice a year,A few times a year,21,Male,NA,A levels,control,80,2,For,For
8,1659954845177,08/08/2022 10:34:05,1659954844314,1,08/08/2022 11:34:04,94118,2,task-net4,NA,23522067,6893591,NA,complete,NA,62f0e5fc6dd1e076c264e153,computer,Desktop or Laptop,Windows 7,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,56,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2810.8999999910593,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to protect my loved ones and vulnerable people.,1,17/06/2021 12:51,17/06/2021 13:05,IP Address,For (I feel positively about the vaccines),Rarely,Most months,37,Female,NA,"Undergraduate degree (BSc, BA)",control,79,2,For,For
9,1659954855893,08/08/2022 10:34:15,1659954855045,1,08/08/2022 11:34:15,94118,2,task-net4,NA,23522067,6893591,NA,complete,NA,62f0e5fc6dd1e076c264e153,computer,Desktop or Laptop,Windows 7,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,21,7,1,Screen 1,continueButton,response_rating_scale_likert_active,10690.20000000298,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I'm clinically vulnerable, I would like to go out safely.",1,17/06/2021 12:46,17/06/2021 13:03,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,49,Other,"my SEX (protected characteristic, please see EA 2010) is female. I don't have a gender",A levels,choice,73,3,For,For
10,1659954861473,08/08/2022 10:34:21,1659954860625,1,08/08/2022 11:34:20,94118,2,task-net4,NA,23522067,6893591,NA,complete,NA,62f0e5fc6dd1e076c264e153,computer,Desktop or Laptop,Windows 7,Chrome 103.0.0.0,1366x768,1366x657,NA,ITT Ratings,2,against,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,6,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5543.4000000059605,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I have a history of blood clots and are concerned about receiving the AstraZeneca/JJ vaccines as a result,1,17/06/2021 12:51,17/06/2021 13:02,IP Address,For (I feel positively about the vaccines),Most weeks,Most months,20,Male,NA,A levels,choice,71,3,For,Against
