Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659955387752,08/08/2022 10:43:07,1659955387614,1,08/08/2022 11:43:07,94118,2,task-s8ki,NA,23522264,6893650,NA,complete,NA,62f0e819bde5958f27a625db,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,2240x1260,1571x1039,NA,ITT Ratings,2,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659955390389,08/08/2022 10:43:10,1659955390294,1,08/08/2022 11:43:10,94118,2,task-s8ki,NA,23522264,6893650,NA,complete,NA,62f0e819bde5958f27a625db,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,2240x1260,1571x1039,NA,ITT Ratings,2,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,1,1,1,Screen 1,advancementZone,continue_button,2662.3000000000466,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659955469259,08/08/2022 10:44:29,1659955469034,1,08/08/2022 11:44:29,94118,2,task-s8ki,NA,23522264,6893650,NA,complete,NA,62f0e819bde5958f27a625db,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,2240x1260,1571x1039,NA,ITT Ratings,2,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,42,1,1,Screen 1,continueButton,response_rating_scale_likert_active,78734.79999999981,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,They only tackle one variant which means they wont be effective for other variants,1,17/06/2021 12:44,17/06/2021 12:58,IP Address,For (I feel positively about the vaccines),A few times a year,Most months,49,Female,NA,"Undergraduate degree (BSc, BA)",control,57,3,For,Against
4,1659955512094,08/08/2022 10:45:12,1659955511997,1,08/08/2022 11:45:11,94118,2,task-s8ki,NA,23522264,6893650,NA,complete,NA,62f0e819bde5958f27a625db,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,2240x1260,1571x1039,NA,ITT Ratings,2,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,44,2,1,Screen 1,continueButton,response_rating_scale_likert_active,42949.30000000005,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,They are effective at protecting against other variants,1,17/06/2021 12:44,17/06/2021 12:58,IP Address,For (I feel positively about the vaccines),A few times a year,Most months,49,Female,NA,"Undergraduate degree (BSc, BA)",control,57,2,For,For
5,1659955514841,08/08/2022 10:45:14,1659955514741,1,08/08/2022 11:45:14,94118,2,task-s8ki,NA,23522264,6893650,NA,complete,NA,62f0e819bde5958f27a625db,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,2240x1260,1571x1039,NA,ITT Ratings,2,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,51,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2734.3000000000466,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Good for the community.,1,17/06/2021 12:49,17/06/2021 12:59,IP Address,For (I feel positively about the vaccines),Most months,A few times a year,45,Male,NA,Vocational Training / Apprenticeship,control,58,3,For,For
6,1659955519755,08/08/2022 10:45:19,1659955519658,1,08/08/2022 11:45:19,94118,2,task-s8ki,NA,23522264,6893650,NA,complete,NA,62f0e819bde5958f27a625db,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,2240x1260,1571x1039,NA,ITT Ratings,2,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,28,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4907.699999999953,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Im young and want to start a family. I'm not sure about the long term effects on fertility.,1,17/06/2021 12:48,17/06/2021 12:58,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,54,Female,NA,GCSEs,control,55,1,For,Against
7,1659955522152,08/08/2022 10:45:22,1659955522063,1,08/08/2022 11:45:22,94118,2,task-s8ki,NA,23522264,6893650,NA,complete,NA,62f0e819bde5958f27a625db,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,2240x1260,1571x1039,NA,ITT Ratings,2,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,56,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2394.5,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,to protect others around me,1,17/06/2021 12:55,17/06/2021 12:59,IP Address,For (I feel positively about the vaccines),Most weeks,Most months,41,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",control,59,2,For,For
8,1659955524990,08/08/2022 10:45:24,1659955524889,1,08/08/2022 11:45:24,94118,2,task-s8ki,NA,23522264,6893650,NA,complete,NA,62f0e819bde5958f27a625db,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,2240x1260,1571x1039,NA,ITT Ratings,2,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,32,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2817.2000000001863,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It's for the good of the whole world.,1,17/06/2021 12:48,17/06/2021 12:58,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,54,Female,NA,GCSEs,control,55,2,For,For
9,1659955530477,08/08/2022 10:45:30,1659955530399,1,08/08/2022 11:45:30,94118,2,task-s8ki,NA,23522264,6893650,NA,complete,NA,62f0e819bde5958f27a625db,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,2240x1260,1571x1039,NA,ITT Ratings,2,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,3,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5502.600000000093,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Disagree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
10,1659955532813,08/08/2022 10:45:32,1659955532718,1,08/08/2022 11:45:32,94118,2,task-s8ki,NA,23522264,6893650,NA,complete,NA,62f0e819bde5958f27a625db,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 103.0.0.0,2240x1260,1571x1039,NA,ITT Ratings,2,against,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,25,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2311.1999999999534,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Vaccination keeps hospitalisation down,1,17/06/2021 12:49,17/06/2021 12:58,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,56,Male,NA,"GCSEs,Vocational Training / Apprenticeship",choice,54,1,For,For
