Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659953744958,08/08/2022 10:15:44,1659953744788,1,08/08/2022 11:15:44,94118,2,task-xidh,NA,23521556,6893452,NA,complete,NA,62f0e2323a7e5971a931382f,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.77,1504x1003,1504x860,NA,ITT Ratings,2,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659953751005,08/08/2022 10:15:51,1659953750742,1,08/08/2022 11:15:50,94118,2,task-xidh,NA,23521556,6893452,NA,complete,NA,62f0e2323a7e5971a931382f,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.77,1504x1003,1504x860,NA,ITT Ratings,2,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,1,1,1,Screen 1,advancementZone,continue_button,5888.5999999940395,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659953756252,08/08/2022 10:15:56,1659953756114,1,08/08/2022 11:15:56,94118,2,task-xidh,NA,23521556,6893452,NA,complete,NA,62f0e2323a7e5971a931382f,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.77,1504x1003,1504x860,NA,ITT Ratings,2,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,54,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5342.5,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,There's not been enough time to make the vaccine work properly,1,17/06/2021 12:53,17/06/2021 13:08,IP Address,For (I feel positively about the vaccines),A few times a year,Rarely,33,Female,NA,"Undergraduate degree (BSc, BA)",control,89,3,For,Against
4,1659953760598,08/08/2022 10:16:00,1659953760380,1,08/08/2022 11:16:00,94118,2,task-xidh,NA,23521556,6893452,NA,complete,NA,62f0e2323a7e5971a931382f,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.77,1504x1003,1504x860,NA,ITT Ratings,2,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,63,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4249.9000000059605,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to help with group immunity for those who are unable to have vaccines,1,17/06/2021 12:53,17/06/2021 13:08,IP Address,For (I feel positively about the vaccines),Most weeks,Most months,25,Female,NA,"Undergraduate degree (BSc, BA)",control,90,3,For,For
5,1659953764832,08/08/2022 10:16:04,1659953764655,1,08/08/2022 11:16:04,94118,2,task-xidh,NA,23521556,6893452,NA,complete,NA,62f0e2323a7e5971a931382f,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.77,1504x1003,1504x860,NA,ITT Ratings,2,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,7,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4256.399999976158,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I will be fully protected from covid 19 and protect those around me,1,17/06/2021 12:57,17/06/2021 13:05,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,31,Male,NA,"Undergraduate degree (BSc, BA)",choice,81,1,For,For
6,1659953766587,08/08/2022 10:16:06,1659953766586,1,08/08/2022 11:16:06,94118,2,task-xidh,NA,23521556,6893452,NA,complete,NA,62f0e2323a7e5971a931382f,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.77,1504x1003,1504x860,NA,ITT Ratings,2,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,31,4,1,Screen 1,continueButton,response_rating_scale_likert_active,1915.5,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It's the only way to conquer and get rid of the virus,1,17/06/2021 12:58,17/06/2021 13:06,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,57,Female,NA,"Undergraduate degree (BSc, BA)",control,85,1,For,For
7,1659953768919,08/08/2022 10:16:08,1659953768826,1,08/08/2022 11:16:08,94118,2,task-xidh,NA,23521556,6893452,NA,complete,NA,62f0e2323a7e5971a931382f,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.77,1504x1003,1504x860,NA,ITT Ratings,2,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,41,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2226.0999999940395,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,They are trying to control us,1,17/06/2021 12:58,17/06/2021 13:06,IP Address,For (I feel positively about the vaccines),Never,Most months,35,Female,NA,A levels,control,87,2,For,Against
8,1659953771300,08/08/2022 10:16:11,1659953771212,1,08/08/2022 11:16:11,94118,2,task-xidh,NA,23521556,6893452,NA,complete,NA,62f0e2323a7e5971a931382f,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.77,1504x1003,1504x860,NA,ITT Ratings,2,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,55,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2363.100000023842,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to protect myself and my family,1,17/06/2021 12:53,17/06/2021 13:08,IP Address,For (I feel positively about the vaccines),A few times a year,Rarely,33,Female,NA,"Undergraduate degree (BSc, BA)",control,89,1,For,For
9,1659953773286,08/08/2022 10:16:13,1659953773200,1,08/08/2022 11:16:13,94118,2,task-xidh,NA,23521556,6893452,NA,complete,NA,62f0e2323a7e5971a931382f,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.77,1504x1003,1504x860,NA,ITT Ratings,2,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,40,7,1,Screen 1,continueButton,response_rating_scale_likert_active,1970.199999988079,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,There hasn't been long enough to develop a vaccination,1,17/06/2021 12:58,17/06/2021 13:06,IP Address,For (I feel positively about the vaccines),Never,Most months,35,Female,NA,A levels,control,87,1,For,Against
10,1659953777503,08/08/2022 10:16:17,1659953777407,1,08/08/2022 11:16:17,94118,2,task-xidh,NA,23521556,6893452,NA,complete,NA,62f0e2323a7e5971a931382f,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.77,1504x1003,1504x860,NA,ITT Ratings,2,against,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,62,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4191,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It helps me feel safer about returning to normal life,1,17/06/2021 12:53,17/06/2021 13:08,IP Address,For (I feel positively about the vaccines),Most weeks,Most months,25,Female,NA,"Undergraduate degree (BSc, BA)",control,90,2,For,For
