Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659975137130,08/08/2022 16:12:17,1659975135815,1,08/08/2022 17:12:15,94826,3,task-b5vt,NA,23527333,6895694,NA,complete,NA,62f135a93e7832ac25aa58bf,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x789,NA,ITT Ratings,2,for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659975145528,08/08/2022 16:12:25,1659975144261,1,08/08/2022 17:12:24,94826,3,task-b5vt,NA,23527333,6895694,NA,complete,NA,62f135a93e7832ac25aa58bf,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x789,NA,ITT Ratings,2,for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,1,1,1,Screen 1,advancementZone,continue_button,8385,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659975152187,08/08/2022 16:12:32,1659975150906,1,08/08/2022 17:12:30,94826,3,task-b5vt,NA,23527333,6895694,NA,complete,NA,62f135a93e7832ac25aa58bf,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x789,NA,ITT Ratings,2,for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,52,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6622,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The covid 19 vaccines are a conspiracy,1,17/06/2021 12:36,17/06/2021 12:43,IP Address,For (I feel positively about the vaccines),Rarely,Most days,38,Male,NA,"GCSEs,Vocational Training / Apprenticeship",choice,9,1,For,Against
4,1659975163618,08/08/2022 16:12:43,1659975162335,1,08/08/2022 17:12:42,94826,3,task-b5vt,NA,23527333,6895694,NA,complete,NA,62f135a93e7832ac25aa58bf,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x789,NA,ITT Ratings,2,for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,32,2,1,Screen 1,continueButton,response_rating_scale_likert_active,11408,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I am aware of the risks and complications of contracting xovid 19 and wish to protect myself and others,1,17/06/2021 12:31,17/06/2021 12:41,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,31,Female,NA,"Undergraduate degree (BSc, BA)",choice,5,2,For,For
5,1659975169348,08/08/2022 16:12:49,1659975168080,1,08/08/2022 17:12:48,94826,3,task-b5vt,NA,23527333,6895694,NA,complete,NA,62f135a93e7832ac25aa58bf,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x789,NA,ITT Ratings,2,for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,18,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5725,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Unless everyone has it then what is the point,1,17/06/2021 12:29,17/06/2021 12:41,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,55,Female,NA,A levels,choice,3,3,For,Against
6,1659975172190,08/08/2022 16:12:52,1659975170912,1,08/08/2022 17:12:50,94826,3,task-b5vt,NA,23527333,6895694,NA,complete,NA,62f135a93e7832ac25aa58bf,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x789,NA,ITT Ratings,2,for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,48,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2809,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I'm young and healthy so why should I get vaccinated?,1,17/06/2021 12:29,17/06/2021 12:42,IP Address,For (I feel positively about the vaccines),Most months,Most months,20,Male,NA,A levels,choice,8,3,For,Against
7,1659975174551,08/08/2022 16:12:54,1659975173265,1,08/08/2022 17:12:53,94826,3,task-b5vt,NA,23527333,6895694,NA,complete,NA,62f135a93e7832ac25aa58bf,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x789,NA,ITT Ratings,2,for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,11,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2331,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I believe that the vaccine is ineffective or rushed,1,17/06/2021 12:34,17/06/2021 12:40,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,26,Female,NA,"Undergraduate degree (BSc, BA)",choice,2,2,For,Against
8,1659975182422,08/08/2022 16:13:02,1659975181150,1,08/08/2022 17:13:01,94826,3,task-b5vt,NA,23527333,6895694,NA,complete,NA,62f135a93e7832ac25aa58bf,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x789,NA,ITT Ratings,2,for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,31,6,1,Screen 1,continueButton,response_rating_scale_likert_active,7859,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,They wish for life to return to normal and the best way to achieve this is maximum uptake,1,17/06/2021 12:31,17/06/2021 12:41,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,31,Female,NA,"Undergraduate degree (BSc, BA)",choice,5,1,For,For
9,1659975188287,08/08/2022 16:13:08,1659975187013,1,08/08/2022 17:13:07,94826,3,task-b5vt,NA,23527333,6895694,NA,complete,NA,62f135a93e7832ac25aa58bf,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x789,NA,ITT Ratings,2,for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,61,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5842.999999999993,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Reduced risk of getting COVID.,1,17/06/2021 13:01,17/06/2021 13:10,IP Address,For (I feel positively about the vaccines),Most months,Most weeks,35,Non-binary,NA,"Postgraduate degree (MSc, MA, MPhil)",control,10,1,For,For
10,1659975194791,08/08/2022 16:13:14,1659975193524,1,08/08/2022 17:13:13,94826,3,task-b5vt,NA,23527333,6895694,NA,complete,NA,62f135a93e7832ac25aa58bf,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x789,NA,ITT Ratings,2,for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1pro,batch1pro,33,8,1,Screen 1,continueButton,response_rating_scale_likert_active,6492,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,More vaccinations will hopefully mean less admissions and deaths and less pressure on the nhs,1,17/06/2021 12:31,17/06/2021 12:41,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,31,Female,NA,"Undergraduate degree (BSc, BA)",choice,5,3,For,For
