Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659975755956,08/08/2022 16:22:35,1659975755832,1,08/08/2022 17:22:35,94826,3,task-fbpo,NA,23527526,6895758,NA,complete,NA,62f138210b18c6ea269e732f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659975761442,08/08/2022 16:22:41,1659975761355,1,08/08/2022 17:22:41,94826,3,task-fbpo,NA,23527526,6895758,NA,complete,NA,62f138210b18c6ea269e732f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10pro,batch10pro,1,1,1,Screen 1,advancementZone,continue_button,5448.200000047684,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659975771472,08/08/2022 16:22:51,1659975771401,1,08/08/2022 17:22:51,94826,3,task-fbpo,NA,23527526,6895758,NA,complete,NA,62f138210b18c6ea269e732f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10pro,batch10pro,18,1,1,Screen 1,continueButton,response_rating_scale_likert_active,9993.5,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am easily led by people in the media,1,17/06/2021 12:59,17/06/2021 13:08,IP Address,For (I feel positively about the vaccines),Most weeks,Most days,31,Male,NA,"Undergraduate degree (BSc, BA)",control,93,3,For,Against
4,1659975778060,08/08/2022 16:22:58,1659975777973,1,08/08/2022 17:22:57,94826,3,task-fbpo,NA,23527526,6895758,NA,complete,NA,62f138210b18c6ea269e732f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10pro,batch10pro,21,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6532.899999856949,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to be safe from this virus,1,17/06/2021 12:59,17/06/2021 13:08,IP Address,For (I feel positively about the vaccines),Most weeks,Most days,31,Male,NA,"Undergraduate degree (BSc, BA)",control,93,3,For,For
5,1659975780308,08/08/2022 16:23:00,1659975780218,1,08/08/2022 17:23:00,94826,3,task-fbpo,NA,23527526,6895758,NA,complete,NA,62f138210b18c6ea269e732f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10pro,batch10pro,35,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2211.100000143051,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,the vaccines are full of bad things,1,17/06/2021 12:58,17/06/2021 13:09,IP Address,For (I feel positively about the vaccines),A few times a year,Rarely,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",control,96,2,For,Against
6,1659975782181,08/08/2022 16:23:02,1659975782106,1,08/08/2022 17:23:02,94826,3,task-fbpo,NA,23527526,6895758,NA,complete,NA,62f138210b18c6ea269e732f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10pro,batch10pro,22,4,1,Screen 1,continueButton,response_rating_scale_likert_active,1866.4000000953672,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Not been tested not enough time,1,17/06/2021 13:01,17/06/2021 13:09,IP Address,For (I feel positively about the vaccines),Most weeks,Most weeks,38,Male,NA,A levels,choice,94,1,For,Against
7,1659975783957,08/08/2022 16:23:03,1659975783889,1,08/08/2022 17:23:03,94826,3,task-fbpo,NA,23527526,6895758,NA,complete,NA,62f138210b18c6ea269e732f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10pro,batch10pro,24,5,1,Screen 1,continueButton,response_rating_scale_likert_active,1763.5999999046326,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I have an immune system already,1,17/06/2021 13:01,17/06/2021 13:09,IP Address,For (I feel positively about the vaccines),Most weeks,Most weeks,38,Male,NA,A levels,choice,94,3,For,Against
8,1659975791786,08/08/2022 16:23:11,1659975791720,1,08/08/2022 17:23:11,94826,3,task-fbpo,NA,23527526,6895758,NA,complete,NA,62f138210b18c6ea269e732f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10pro,batch10pro,39,6,1,Screen 1,continueButton,response_rating_scale_likert_active,7788.600000143051,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,because they trust science and not conspiracies,1,17/06/2021 12:58,17/06/2021 13:09,IP Address,For (I feel positively about the vaccines),A few times a year,Rarely,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",control,96,3,For,For
9,1659975796708,08/08/2022 16:23:16,1659975796631,1,08/08/2022 17:23:16,94826,3,task-fbpo,NA,23527526,6895758,NA,complete,NA,62f138210b18c6ea269e732f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10pro,batch10pro,50,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4879.899999856949,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"By having the vaccination I am not only protecting myself but also people I come into contact with. Hopefully, the vaccine will stop the spread of the virus.",1,17/06/2021 12:47,17/06/2021 13:09,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,54,Female,NA,GCSEs,choice,98,2,For,For
10,1659975799041,08/08/2022 16:23:19,1659975798972,1,08/08/2022 17:23:18,94826,3,task-fbpo,NA,23527526,6895758,NA,complete,NA,62f138210b18c6ea269e732f,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x577,NA,ITT Ratings,2,for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10pro,batch10pro,27,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2307.7999999523163,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,So I don't catch it again,1,17/06/2021 13:01,17/06/2021 13:09,IP Address,For (I feel positively about the vaccines),Most weeks,Most weeks,38,Male,NA,A levels,choice,94,3,For,For
